channel,pearson,pearson p-value,spearman,spearman p-value,r2
Fz,-0.09404043347120562,0.40368291287170954,-0.06773171763703432,0.5479723071731548,0.00884359833253956
Cz,0.10792609965780688,0.3375372648750753,0.10221311399285654,0.36387766014206835,0.011648041864103509
F3,0.04413595787166889,0.6937845393101856,0.02737832224347822,0.807106178914335,0.0019479930917507549
Fpz,-0.1553783236503259,0.16602253727859814,-0.09896036517186838,0.3794227590433784,0.024142425398127054
T5,-0.1128365889676709,0.3189857927165853,-0.11287089528656054,0.3188377334684115,0.012732092677165463
Fp1,-0.21154164704791178,0.05641260380455142,-0.1724235570634002,0.12137737299214583,0.04474987812825726
F4,0.07636018138146021,0.5008067303998506,0.1668093029738751,0.1391699163813792,0.005830879325042226
O1,0.14454985446832,0.200800034154949,0.0969390769759627,0.3923183960373223,0.02089466092865433
P4,0.255581700730641,0.020476868880955092,0.23018474108880596,0.03748547388745514,0.0653219996207498
F7,0.08510634789095983,0.4528950805756045,0.17835664737118112,0.11344801149497115,0.007243088110436724
O2,0.12999179653909546,0.24442349461379484,0.07759549938429931,0.4883624051673121,0.016897862762257354
Fp2,-0.1530707057036906,0.1724797767732144,-0.1257051888111042,0.26347955315404636,0.02343064338465306
T6,0.016523537806473303,0.8828636857813663,-0.026398581089636056,0.8138824059495364,0.0002730338529948195
C4,0.182639098048348,0.10268755699225281,0.2338590871089599,0.03561899938148193,0.033357040992595066
C3,0.08042662382425914,0.4782090455998627,0.06161709863171605,0.5871555407633133,0.0064684550901470406
P3,0.014789707150017924,0.8957392014069986,0.01188156860999835,0.9161570021305248,0.00021873878859379747
T4,-0.10983941545357102,0.32592996279034225,-0.08392027283299149,0.4535030677360955,0.012064686698499805
Pz,0.06564615597291715,0.5579038357497451,0.12589673826871794,0.25972865206629175,0.004309419482767862
F8,-0.02534444747677428,0.8245385571902779,-0.07622213082051348,0.5043564432191661,0.0006423435394369292
T3,0.0796285503721397,0.482600462371986,0.09836930643430923,0.3853382411331656,0.0063407043572663024
