channel,pearson,pearson p-value,spearman,spearman p-value,r2
Fz,-0.07890579933863952,0.48379785814859,-0.060656393761878924,0.5906334519382019,0.006226120361694343
Cz,0.07503616908025244,0.505559034529521,0.06973960117192748,0.536143792302576,0.005630425540157469
F3,0.1335178378793529,0.23175234353429994,0.16119479949593216,0.14796642361084184,0.017827023182374058
Fpz,-0.18568521478780695,0.0969829447373193,-0.08614360261395546,0.4444709414405945,0.034479000908010815
T5,-0.05453550101581366,0.6308994740954392,-0.03913199517279377,0.730372056095608,0.002974117707389645
Fp1,-0.19766683591848053,0.07506312438730177,-0.12606581056302146,0.25908414944691355,0.039072187772146494
F4,0.12125184355726176,0.2839896978870661,0.20792610320911187,0.06420393502431553,0.014702011572403029
O1,-0.033373205865313546,0.7688473371375434,-0.008877111281332,0.9377077873470014,0.0011137713817092054
P4,0.2259519128072638,0.04123604488660188,0.20024394838415838,0.0712681273631391,0.05105426068010721
F7,0.20430015734315704,0.06909758733693999,0.2461785959432003,0.02771975114303011,0.04173855203087784
O2,-0.0006361187601369687,0.9954745284468768,-0.0035499226262023834,0.9747491696929445,4.001661569885684e-07
Fp2,-0.20449351388252882,0.0670648108173005,-0.10218608336304616,0.36400520916714707,0.04181759961411036
T6,0.08449849297604867,0.4503864351461964,0.042740632846148326,0.7030062535827848,0.007140001821576369
C4,0.3313729975125216,0.002512146124708641,0.3434220632470843,0.0016963667610687572,0.10980806426936063
C3,0.15293418944871384,0.17562840025885865,0.14718144066438746,0.1926361895546167,0.0233888793467113
P3,0.05528277021244345,0.6240017085963352,0.07587629958561737,0.5007919396383663,0.003056188023861983
T4,0.11935814639159747,0.28549128777495025,0.1053978561319413,0.3459908165884552,0.014246356644517899
Pz,0.04597957683292417,0.6816681408575939,0.07858831777086686,0.48279836698830103,0.0021141231782052516
F8,0.04651023033580757,0.6839909378507543,0.05184130511856184,0.6500184893386641,0.0021632040435864974
T3,0.18271266846419507,0.1047608019719606,0.1716296006217845,0.1279435942208764,0.03338391758584858
