channel,pearson,pearson p-value,spearman,spearman p-value,r2
Fz,0.18106911952120253,0.10572824284595483,0.27654724765972344,0.012447870313941442,0.03278602136509712
Cz,0.20970487134897142,0.060250004202892796,0.31288563743277636,0.004455367681177867,0.04397613198098538
F3,0.0536211778828374,0.6323295412096224,0.028515558857181413,0.7992584650908421,0.0028752410224611724
Fpz,0.1715411804917796,0.12570781378348148,0.17844603605329282,0.11096429425289878,0.029426378531762998
T5,0.08359790923294431,0.4609725814012951,0.12728432015927035,0.2605333970911676,0.0069886072772014085
Fp1,0.10894699516942802,0.32989992148834013,0.14376594257162295,0.197545684544367,0.011869457782584858
F4,0.07174011173127423,0.5271387074705575,0.10771385698776108,0.3415892291069884,0.005146645657041482
O1,0.3953522625757716,0.0002839270287131949,0.4221796197424388,9.592341353320876e-05,0.15630341195621966
P4,0.20040064810118063,0.07104244492602516,0.17918148184034707,0.10724233286881364,0.04016041346680033
F7,-0.038803636358599874,0.7325490889938021,-0.02978823676501222,0.7930909268464001,0.001505719840221409
O2,0.34601375364523485,0.001451776683840841,0.3333137456937665,0.002213676230570475,0.11972551376722385
Fp2,0.1462864847053917,0.19252769914649176,0.1279138463533237,0.25511486057893656,0.021399738052562567
T6,0.0862853320147556,0.4408309119404688,0.08018365862134037,0.4739288607514093,0.007445165025249723
C4,-0.08880363969604332,0.4304804520279808,-0.06410395058626339,0.5696591053821751,0.007886087302519385
C3,0.0345523970606103,0.7609199338005939,-0.09713618013261419,0.3913520031736136,0.0011938814834637768
P3,0.08965976065168986,0.4260315905838428,0.1003066227504534,0.37294093106163817,0.008038876004917928
T4,-0.16887207725280087,0.12935742180394283,-0.18440279403170406,0.09722490586964719,0.028517768161672175
Pz,0.138809823110377,0.2136061517221634,0.20419799849831013,0.06574695493564792,0.019268168655310225
F8,0.028314988574724427,0.80436083386904,0.04690326266945986,0.6814637566669671,0.0008017410991185692
T3,-0.04477261300781495,0.6933199534511768,-0.09080835790739314,0.4230803402497858,0.0020045851911271173
