channel,pearson,pearson p-value,spearman,spearman p-value,r2
Fz,0.015050582927748999,0.8939107205543931,0.07688702260059098,0.49508798735226034,0.00022651520986605167
Cz,0.024412960548021622,0.828727526571357,0.13145455693046534,0.24208677025712125,0.0005959915069149169
F3,-0.1558332453569502,0.16210603461438994,-0.16020163395524045,0.15051332465992043,0.024284010442145565
Fpz,0.11409174832246277,0.31049580423675627,0.06178522309758081,0.5837275412909325,0.013016928995109756
T5,-0.04156017919665544,0.7143401930624489,-0.028114852568779918,0.8044763411288678,0.0017272453272449972
Fp1,0.06280741246654488,0.5750921492970749,0.013205883927129234,0.9062628746952408,0.00394478116728858
F4,-0.1321875531663908,0.24246370697619804,-0.07417959641479172,0.5131491134564646,0.01747355121284211
O1,0.3079045368729136,0.005461329581040524,0.31499655711651803,0.004428554889301134,0.0948052042908818
P4,0.0018241754662852334,0.987022956998761,0.029993578086760956,0.7890888782526206,3.3210602948807733e-06
F7,-0.17959963258998105,0.1109142685127434,-0.1564958515796807,0.16566458989719704,0.03225602574453579
O2,0.22945088756256762,0.03811451004226813,0.21051028162817054,0.05765418448137992,0.05264770555823817
Fp2,0.15317896059683944,0.17217279528772533,0.07283201435707516,0.5181764124598307,0.023463796409472715
T6,-0.09058449686916423,0.41831356527472213,-0.10154268704726659,0.3640149981304498,0.008205557572409594
C4,-0.3103676599963479,0.004804042102908242,-0.26394828031887907,0.017265607797692824,0.09632808517248248
C3,-0.17678319884650767,0.11671922664147355,-0.2141848134267503,0.05641966932107248,0.03125231233374948
P3,-0.04144497047050013,0.7133467013562018,-0.029819559228082878,0.791576905878664,0.001717688923286942
T4,-0.3274961035644345,0.00267009999634247,-0.3587798061158647,0.0009331453040453939,0.10725368837180438
Pz,0.05920549085461786,0.5972482690476991,0.0814453566849578,0.46697700155111554,0.0035052918374471886
F8,-0.05756974950542029,0.6142940841957102,-0.07693572450832178,0.5003621668305867,0.003314278572909335
T3,-0.19909934480402575,0.0766366003530247,-0.20448910809509985,0.0688353637414806,0.03964054748049384
