channel,pearson,pearson p-value,spearman,spearman p-value,r2
Fz,0.11281289032981412,0.3159860257942536,0.08516508147492398,0.44968079069019395,0.012726743448439382
Cz,-0.03224823615284919,0.7750332973299694,-0.01235210112156209,0.9128493974026601,0.001039947599670299
F3,-0.08905354164287922,0.4262548827460345,-0.18708137775941996,0.09237885644612202,0.007930543531813106
Fpz,0.2340062641781303,0.035499815347816197,0.09142589027761874,0.41693744569657587,0.054758933551552036
T5,0.10125256325969408,0.371494835743456,0.010099710149626377,0.9291494080365323,0.010252078426095435
Fp1,0.22347496227137906,0.04357189967271723,0.08246830340707821,0.46138163368943497,0.04994106840203538
F4,-0.12027258199566072,0.28792563002179195,-0.16239301662186706,0.15009395371894435,0.014465495986752952
O1,0.1950879003995914,0.08288943548071942,0.09987100140989429,0.3780899780888418,0.038059289375364735
P4,-0.10642104964950533,0.3413023873931416,-0.13229131486976156,0.2361069929504409,0.011325433326891732
F7,-0.13744776694916533,0.22406043833865186,-0.2509971239025744,0.02472100551511877,0.018891886325879015
O2,0.12337803516230143,0.2694589610305623,0.04884267236525408,0.6630112630660407,0.015222135147797244
Fp2,0.2569157061180454,0.020595866904504514,0.09998082216144538,0.37450336004714424,0.06600568238378457
T6,-0.011938721316328274,0.9152223098974139,-0.07575842691800673,0.4987466798099994,0.00014253961887733535
C4,-0.3238005979651828,0.003190173676335413,-0.35239086658055724,0.0012536421733623513,0.10484682803593404
C3,-0.18228716655243749,0.10558584475270825,-0.18834576740172562,0.09430512575714947,0.033228624002664686
P3,0.04269591164090281,0.705086428890727,-0.07692658036090864,0.4948654400584943,0.001822944216481659
T4,-0.11814672861199338,0.29044427326216804,-0.23274339438634795,0.035359673176012636,0.013958639013141316
Pz,0.03851838138305622,0.7311684943218381,-0.05545451494458264,0.6207173807735235,0.0014836673979103931
F8,0.06792737615723356,0.551966436660456,-0.08948663527109468,0.4328803858236695,0.004614130943119021
T3,-0.1589749325014956,0.15897972577739794,-0.2065750475799943,0.06599347868951011,0.02527302751870708
