channel,pearson,pearson p-value,spearman,spearman p-value,r2
Fz,-0.026787690456015582,0.5218454007073844,-0.026787690456015582,0.5218454007073844,0.0007175817772745452
Cz,-0.047586520005261236,0.2529472601286807,-0.047586520005261236,0.2529472601286807,0.0022644785378354015
F3,-0.04462965939226831,0.2845069009703669,-0.04462965939226831,0.2845069009703669,0.0019918043538369457
Fpz,-0.07070679500924257,0.09112817628277806,-0.07070679500924257,0.09112817628277806,0.004999449802652767
T5,0.007294697053676831,0.8615590794867244,0.007294697053676831,0.8615590794867244,5.3212381136091835e-05
Fp1,-0.04804226110491262,0.2504878172455613,-0.04804226110491262,0.2504878172455613,0.002308059881431901
F4,-0.031605082548465675,0.4482221513491519,-0.031605082548465675,0.4482221513491519,0.000998877344145499
O1,-0.0013876157760961492,0.9735833901968365,-0.0013876157760961492,0.9735833901968365,1.928138416706915e-06
P4,-0.043566184399630836,0.296993549089014,-0.043566184399630836,0.296993549089014,0.0018980144432306778
F7,-0.09847926373255704,0.017972833244733963,-0.09847926373255704,0.017972833244733963,0.009698167322126361
O2,0.01066989851000259,0.7984870119342694,0.01066989851000259,0.7984870119342694,0.00011384631027167025
Fp2,-0.069887945502324,0.09465693813525705,-0.069887945502324,0.09465693813525705,0.004884322103782424
T6,-0.004602022441516677,0.9124723753296117,-0.004602022441516677,0.9124723753296117,2.117772270260332e-05
C4,-0.018809216891860946,0.6523640603790113,-0.018809216891860946,0.6523640603790113,0.00035378641164307556
C3,-0.06111565364081412,0.1432810541454584,-0.06111565364081412,0.1432810541454584,0.0037351246456951426
P3,-0.06809138097197281,0.10407604162356428,-0.06809138097197281,0.10407604162356428,0.004636435777591652
T4,-0.0226052153265695,0.5878959099536217,-0.0226052153265695,0.5878959099536217,0.0005109969216989807
Pz,0.000833857700204124,0.9841236608795784,0.000833857700204124,0.9841236608795784,6.963341145915791e-07
F8,-0.040672581018169375,0.33069042582202385,-0.040672581018169375,0.33069042582202385,0.0016542603613600715
T3,-0.09425712138824888,0.023557705483644473,-0.09425712138824888,0.023557705483644473,0.008884404656205547
