channel,pearson,pearson p-value,spearman,spearman p-value,r2
Fz,-0.046703196232284604,0.6769341792416267,-0.046703196232284604,0.6769341792416267,0.0021811888604321705
Cz,0.025965668485803332,0.8180159494600052,0.025965668485803332,0.8180159494600052,0.0006742244547059961
F3,0.044389274747048096,0.6921150799611683,0.044389274747048096,0.6921150799611683,0.0019704030262557293
Fpz,-0.1150132113156763,0.306578420598824,-0.1150132113156763,0.306578420598824,0.01322804249474474
T5,-0.08993103051531981,0.427592942443235,-0.08993103051531981,0.427592942443235,0.008087590013870383
Fp1,-0.11948450389104949,0.28497791031059216,-0.11948450389104949,0.28497791031059216,0.014276551940249682
F4,0.09225013739139083,0.4127319684245921,0.09225013739139083,0.4127319684245921,0.008510092532929003
O1,-0.052849048528036534,0.6415145072485253,-0.052849048528036534,0.6415145072485253,0.00279301956497946
P4,0.19015674756597373,0.08906265495006724,0.19015674756597373,0.08906265495006724,0.03615958087562832
F7,0.1036341804208166,0.35721074223095,0.1036341804208166,0.35721074223095,0.010740040998744815
O2,-0.007903244939081174,0.9438201178011142,-0.007903244939081174,0.9438201178011142,6.24578171452006e-05
Fp2,-0.13117648796259107,0.2430929960166086,-0.13117648796259107,0.2430929960166086,0.017207264708121173
T6,0.08915827747188178,0.4286343647917197,0.08915827747188178,0.4286343647917197,0.007949204127834286
C4,0.24634400588094016,0.026628491505523832,0.24634400588094016,0.026628491505523832,0.06068536760434984
C3,0.14337047275982157,0.2016421732936569,0.14337047275982157,0.2016421732936569,0.020555089946566407
P3,-0.028265487908578482,0.8009824505224389,-0.028265487908578482,0.8009824505224389,0.0007989420819609627
T4,0.04268486638676212,0.7033757177936748,0.04268486638676212,0.7033757177936748,0.0018219926352174287
Pz,0.05163037759137406,0.6450404972530283,0.05163037759137406,0.6450404972530283,0.0026656939817740755
F8,-0.03233780929538822,0.773031974968979,-0.03233780929538822,0.773031974968979,0.001045737614960629
T3,0.16753256189106558,0.13492867879649484,0.16753256189106558,0.13492867879649484,0.028067164053583782
