channel,pearson,pearson p-value,spearman,spearman p-value,r2
Fz,0.06484389076553616,0.5627365371292257,0.07896086796960904,0.4807192416804805,0.0042047304910806105
Cz,0.13859792334487772,0.21721820157991567,0.10069279139352078,0.37109413471592256,0.01920939271237465
F3,0.15601727093771312,0.1616047067642889,0.22686135980177227,0.040404949250629804,0.02434138424958343
Fpz,-0.057308096414380845,0.6113311408591943,-0.017482800032073698,0.8768911468963368,0.0032842216697033244
T5,0.017390085539872598,0.8783153094294077,0.012152496765404096,0.9147981346821475,0.0003024148375574409
Fp1,-0.06701209416726413,0.5497215347989169,0.0036490399737645223,0.9740443822953592,0.004490626087161997
F4,0.20050620257728086,0.07268846777014307,0.1480669980738394,0.18711058188853041,0.04020274180643146
O1,0.006085460024583489,0.9572746960108729,0.00034017606775745056,0.9976105466750855,3.703045183434117e-05
P4,0.2585798151451538,0.01976187052786451,0.2103080966058273,0.059498913731219676,0.0668635132787565
F7,0.17295857943896034,0.12256532359282132,0.21590780723846037,0.05288399160986971,0.029914667894396563
O2,0.054362433512509384,0.6276235783448204,0.032917608360347426,0.7690749909541655,0.0029552707239993703
Fp2,-0.1150701080879014,0.3063375948869964,-0.0582910682388081,0.6052221894317207,0.013241123463914928
T6,0.18716763737161154,0.09429818116546831,0.20642666779152913,0.06446765768659554,0.03503173001012494
C4,0.3655388075677814,0.000791804462828276,0.2785686642612196,0.011795285328047451,0.13361861833544997
C3,0.272389372537829,0.013889397381615749,0.21677767951857638,0.051912699902133305,0.07419596789636174
P3,0.04441478233230856,0.6919470559400058,0.054103825521457864,0.6292637122382416,0.001972677159855385
T4,0.15125742027764214,0.17494467542015457,0.21217805865360936,0.05565743219636519,0.022878802115150587
Pz,0.10524379029979526,0.3467002404938996,0.1499265259668504,0.17881496773874384,0.011076253504308076
F8,0.02669680450201285,0.8118183183369106,0.05108655963270332,0.6485306644578714,0.0007127230767897119
T3,0.24574267618787898,0.027012513323851614,0.297535332413986,0.006984488406739886,0.06038946750149021
