channel,pearson,pearson p-value,spearman,spearman p-value,r2
Fz,0.03832746514137994,0.38725829857372857,0.03832746514137994,0.38725829857372857,0.0014689932152796015
Cz,0.06809931002157994,0.12345272993416359,0.06809931002157994,0.12345272993416359,0.00463751680264235
F3,0.03098599354707637,0.4846142528976489,0.03098599354707637,0.4846142528976489,0.0009601308533515596
Fpz,0.04430109463211413,0.318994859035868,0.04430109463211413,0.318994859035868,0.001962587842800234
T5,0.06775853243274876,0.12646162414349507,0.06775853243274876,0.12646162414349507,0.004591219914220179
Fp1,0.005852653771977621,0.8951042468355858,0.005852653771977621,0.8951042468355858,3.425324614647618e-05
F4,0.04821530222308413,0.2757031257567989,0.04821530222308413,0.2757031257567989,0.0023247157741401736
O1,0.05899780682187788,0.1838689239210427,0.05899780682187788,0.1838689239210427,0.0034807361385885693
P4,-0.01595512900462479,0.7192537664094572,-0.01595512900462479,0.7192537664094572,0.00025456614878149875
F7,-0.019811432284568078,0.6547091713039861,-0.019811432284568078,0.6547091713039861,0.00039249315926104256
O2,-0.0009689549988884799,0.9825505659282551,-0.0009689549988884799,0.9825505659282551,9.382262297075172e-07
Fp2,0.06356229938999883,0.1521571456604457,0.06356229938999883,0.1521571456604457,0.004040165394544215
T6,0.005038635441120013,0.9096262978253863,0.005038635441120013,0.9096262978253863,2.5389237469641834e-05
C4,0.07652992091812467,0.08424294429075785,0.07652992091812467,0.08424294429075785,0.005856830696118753
C3,-0.009174729325728917,0.8360926093308422,-0.009174729325728917,0.8360926093308422,8.417475388089457e-05
P3,0.11875295124043969,0.007432947889586064,0.11875295124043969,0.007432947889586064,0.014102266858159629
T4,0.01914506864607831,0.6656075061270836,0.01914506864607831,0.6656075061270836,0.0003665324397889025
Pz,0.005463660751245747,0.9022320414117766,0.005463660751245747,0.9022320414117766,2.985109371334005e-05
F8,0.049343820789939166,0.2660161910544368,0.049343820789939166,0.2660161910544368,0.0024348100765775316
T3,-0.013960474676179191,0.752426186398906,-0.013960474676179191,0.752426186398906,0.00019489578914899663
