channel,pearson,pearson p-value,spearman,spearman p-value,r2
Fz,-0.017910337668062375,0.6639093108822357,-0.017910337668062375,0.6639093108822357,0.00032077712189526597
Cz,0.011214248475923842,0.7845160767309596,0.011214248475923842,0.7845160767309596,0.0001257595562804692
F3,-0.010168131212932889,0.8046735447625335,-0.010168131212932889,0.8046735447625335,0.00010338903594142579
Fpz,0.011462475241470621,0.7811342398128924,0.011462475241470621,0.7811342398128924,0.00013138792375766428
T5,-0.010864108251872399,0.7917738276834715,-0.010864108251872399,0.7917738276834715,0.0001180278980104088
Fp1,0.04785317311240866,0.24502301376553534,0.04785317311240866,0.24502301376553534,0.0022899249378977027
F4,-0.00582068664910383,0.8872348615168302,-0.00582068664910383,0.8872348615168302,3.3878118848584826e-05
O1,-0.011572398253493378,0.7790894352700204,-0.011572398253493378,0.7790894352700204,0.00013392278900736798
P4,-0.006068677108265237,0.8827598838286153,-0.006068677108265237,0.8827598838286153,3.682689871742362e-05
F7,0.02455541204256832,0.5499724150620843,0.02455541204256832,0.5499724150620843,0.0006029679330178395
O2,0.022451385917591743,0.585311927738726,0.022451385917591743,0.585311927738726,0.0005040639519187096
Fp2,-0.008991451906493697,0.827329186290132,-0.008991451906493697,0.827329186290132,8.084415974485282e-05
T6,0.05141775300131758,0.21196873583028317,0.05141775300131758,0.21196873583028317,0.002643785000889798
C4,-0.03319128220515445,0.41940135283172336,-0.03319128220515445,0.41940135283172336,0.0011016585242481503
C3,-0.0320573297960595,0.4358618343054544,-0.0320573297960595,0.4358618343054544,0.0010276752835408631
P3,-0.04162328691863244,0.31323362633995927,-0.04162328691863244,0.31323362633995927,0.0017324989339473351
T4,0.014639250525350686,0.7215725656604842,0.014639250525350686,0.7215725656604842,0.00021430818617762526
Pz,-0.034810424690604615,0.3986666470583634,-0.034810424690604615,0.3986666470583634,0.0012117647879033022
F8,-0.04241445952827465,0.3028828738159849,-0.04241445952827465,0.3028828738159849,0.0017989867807456372
T3,-0.04834834518561437,0.2393721796760811,-0.04834834518561437,0.2393721796760811,0.002337563721968916
