channel,pearson,pearson p-value,spearman,spearman p-value,r2
Fz,0.07280824335087392,0.09128444699874809,0.07280824335087392,0.09128444699874809,0.005301038134104097
Cz,0.04866690243584128,0.25627112481224373,0.04866690243584128,0.25627112481224373,0.0023684683504342496
F3,0.011885340834027966,0.7824925525479485,0.011885340834027966,0.7824925525479485,0.0001412619991938424
Fpz,-0.014555643370211382,0.7362313262983813,-0.014555643370211382,0.7362313262983813,0.00021186864856603815
T5,0.05531010067571193,0.19897129079738274,0.05531010067571193,0.19897129079738274,0.0030592105883620047
Fp1,-6.391789922686629e-06,0.9998817634143892,-6.391789922686629e-06,0.9998817634143892,-1.347440381493925e-09
F4,0.004912782153240085,0.9090663345950795,0.004912782153240085,0.9090663345950795,2.4135134301106476e-05
O1,0.02970118938109056,0.4913867475631079,0.02970118938109056,0.4913867475631079,0.0008821550500897057
P4,4.945519464086246e-05,0.999085168289118,4.945519464086246e-05,0.999085168289118,5.601896724272137e-10
F7,-0.0008744035670504246,0.9837961570036242,-0.0008744035670504246,0.9837961570036242,7.668938932781089e-07
O2,0.037646953948634994,0.3821562250171236,0.037646953948634994,0.3821562250171236,0.0014172925918494172
Fp2,-0.006187370668371328,0.8860404713993504,-0.006187370668371328,0.8860404713993504,3.828509300962679e-05
T6,-0.0033063033954323327,0.9389557781093149,-0.0033063033954323327,0.9389557781093149,1.0929881958832155e-05
C4,0.003334326837537497,0.9382678682382627,0.003334326837537497,0.9382678682382627,1.1116299595492762e-05
C3,0.0007566461978084586,0.9859911137085319,0.0007566461978084586,0.9859911137085319,5.693785918303718e-07
P3,0.03897217958719975,0.366954232026423,0.03897217958719975,0.366954232026423,0.0015188322852166536
T4,0.02022700690596746,0.6381414545024665,0.02022700690596746,0.6381414545024665,0.00040913486265947707
Pz,0.035998267979362,0.4042362819031882,0.035998267979362,0.4042362819031882,0.0012958769179316487
F8,0.0797111743829926,0.0639260694216146,0.0797111743829926,0.0639260694216146,0.006353870299097619
T3,0.009533630655125382,0.8244274403639954,0.009533630655125382,0.8244274403639954,9.08927971045026e-05
