channel,pearson,pearson p-value,spearman,spearman p-value,r2
Fz,-0.08542034466983459,0.3661855237352458,-0.08542034466983459,0.3661855237352458,0.007296631404750564
Cz,-0.06631877515885223,0.48523428218505193,-0.06631877515885223,0.48523428218505193,0.004398181405690371
F3,0.0822561146129871,0.38004141443647727,0.0822561146129871,0.38004141443647727,0.0067660655608430265
Fpz,-0.13158113256835016,0.1628667448955453,-0.13158113256835016,0.1628667448955453,0.017313595225395995
T5,-0.030550273202405758,0.7436829156311401,-0.030550273202405758,0.7436829156311401,0.0009333134903417584
Fp1,-0.046154309639042365,0.624272599628327,-0.046154309639042365,0.624272599628327,0.0021302248966575954
F4,-0.01708124604412095,0.8562199384008743,-0.01708124604412095,0.8562199384008743,0.00029176227383864717
O1,0.017200938946711177,0.8539565103327474,0.017200938946711177,0.8539565103327474,0.000295867507561165
P4,0.15242352988764074,0.10545212488576393,0.15242352988764074,0.10545212488576393,0.02323293428580664
F7,-0.02578712885973033,0.7834900377950992,-0.02578712885973033,0.7834900377950992,0.0006649734214370095
O2,-0.07474578070266391,0.4251985630312383,-0.07474578070266391,0.4251985630312383,0.005586944005917305
Fp2,0.009075832481882392,0.9236497104684468,0.009075832481882392,0.9236497104684468,8.237314965264808e-05
T6,0.07471955907460491,0.42332956544127287,0.07471955907460491,0.42332956544127287,0.005583012071246007
C4,0.054199640797977025,0.5650884092300177,0.054199640797977025,0.5650884092300177,0.002937606759427558
C3,-0.02894891192956518,0.7608434303518565,-0.02894891192956518,0.7608434303518565,0.0008380400103917829
P3,0.007878735441269212,0.9331050068771505,0.007878735441269212,0.9331050068771505,6.208103888261096e-05
T4,-0.05020057035753659,0.5909145076189803,-0.05020057035753659,0.5909145076189803,0.0025200903781542605
Pz,-0.0867859650655739,0.35639798831937164,-0.0867859650655739,0.35639798831937164,0.007531801553895767
F8,-0.041110851822099614,0.6612647811426707,-0.041110851822099614,0.6612647811426707,0.0016901105586627496
T3,-0.011979519022216356,0.8984412669003211,-0.011979519022216356,0.8984412669003211,0.00014351021069303194
