channel,pearson,pearson p-value,spearman,spearman p-value,r2
Fz,-0.014726408337507806,0.7222586783152201,-0.014726408337507806,0.7222586783152201,0.00021686543339671793
Cz,-0.018264326171818647,0.6576849593008978,-0.018264326171818647,0.6576849593008978,0.0003335876214241029
F3,-0.033522371230895624,0.4155650697877629,-0.033522371230895624,0.4155650697877629,0.0011237525397831405
Fpz,-0.054506393219035915,0.18687555469020167,-0.054506393219035915,0.18687555469020167,0.0029709502495424145
T5,-0.019490988753212122,0.6377377394764776,-0.019490988753212122,0.6377377394764776,0.0003799001861847229
Fp1,-0.027025659211348353,0.5141531192339904,-0.027025659211348353,0.5141531192339904,0.0007303886283168692
F4,0.017171522740758192,0.6772336679743435,0.017171522740758192,0.6772336679743435,0.0002948641418518694
O1,-0.03308752919490005,0.42401621545450974,-0.03308752919490005,0.42401621545450974,0.0010947850935856263
P4,-0.019903263408292696,0.6297630835597781,-0.019903263408292696,0.6297630835597781,0.00039613937873828053
F7,0.0001247997525201168,0.9975905570025011,0.0001247997525201168,0.9975905570025011,1.561506335345797e-08
O2,-0.04939544706099196,0.233314171707322,-0.04939544706099196,0.233314171707322,0.0024399088640584266
Fp2,-0.029360120411104175,0.47771887653584405,-0.029360120411104175,0.47771887653584405,0.0008620138867266869
T6,0.0007249529354011403,0.986028332404448,0.0007249529354011403,0.986028332404448,5.246998026064986e-07
C4,-0.07530715895602144,0.06779526104615698,-0.07530715895602144,0.06779526104615698,0.0056711713120631835
C3,-0.02322348105431938,0.5734512003107639,-0.02322348105431938,0.5734512003107639,0.0005393316824412464
P3,-0.06059321110197497,0.14325821004432018,-0.06059321110197497,0.14325821004432018,0.0036715383387074807
T4,-0.007562877075274059,0.8541843752454613,-0.007562877075274059,0.8541843752454613,5.719695088790555e-05
Pz,0.017807118201128184,0.6665301793302504,0.017807118201128184,0.6665301793302504,0.0003170944764900874
F8,-0.023987631540391543,0.5619018193338039,-0.023987631540391543,0.5619018193338039,0.0005754116248153363
T3,-0.057459983499280644,0.16299296283426284,-0.057459983499280644,0.16299296283426284,0.003301651044257836
