channel,pearson,pearson p-value,spearman,spearman p-value,r2
Fz,0.24925222353769397,0.006971972505492739,0.24925222353769397,0.006971972505492739,0.06212666765572439
Cz,0.20813407093112504,0.024330903339978564,0.20813407093112504,0.024330903339978564,0.043319784954629736
F3,0.2123442627923997,0.022708123464489936,0.2123442627923997,0.022708123464489936,0.045090084685674214
Fpz,0.10844726490759683,0.24654390417513408,0.10844726490759683,0.24654390417513408,0.011760804764313626
T5,0.15275897081980697,0.10313481000357584,0.15275897081980697,0.10313481000357584,0.023335309321860676
Fp1,0.07862714489343722,0.40148661214289894,0.07862714489343722,0.40148661214289894,0.00618222396459267
F4,0.20563939276420884,0.02816749985430521,0.20563939276420884,0.02816749985430521,0.042287554527488
O1,0.09796010462348802,0.29762661151398473,0.09796010462348802,0.29762661151398473,0.009596182855439839
P4,0.2058432510681364,0.02597867295594952,0.2058432510681364,0.02597867295594952,0.042371442276056714
F7,0.2766147965482371,0.002648409095180039,0.2766147965482371,0.002648409095180039,0.07651574357092783
O2,0.09065462362821387,0.3310232505939773,0.09065462362821387,0.3310232505939773,0.0082182663270427
Fp2,0.05028967377050294,0.595165383968221,0.05028967377050294,0.595165383968221,0.0025290474388819373
T6,0.15294369826715584,0.1011980164245059,0.15294369826715584,0.1011980164245059,0.023391778882864256
C4,0.2109150252568678,0.02304711226088662,0.2109150252568678,0.02304711226088662,0.04448514089997113
C3,0.20107969778440432,0.03117409022945809,0.20107969778440432,0.03117409022945809,0.04043304269401815
P3,0.15732642936657423,0.09311669726776699,0.15732642936657423,0.09311669726776699,0.024751608322629348
T4,0.22174533798217458,0.01674458120893163,0.22174533798217458,0.01674458120893163,0.049170992473313135
Pz,0.1874267248504535,0.045841638376252984,0.1874267248504535,0.045841638376252984,0.03512878004942732
F8,0.1075513070702783,0.25258976439624303,0.1075513070702783,0.25258976439624303,0.01156729220754904
T3,0.1309045406989036,0.15948432871562856,0.1309045406989036,0.15948432871562856,0.017136002998415
