channel,pearson,pearson p-value,spearman,spearman p-value,r2
Fz,0.0038520648476079375,0.9254218791205596,0.0038520648476079375,0.9254218791205596,1.484037072596589e-05
Cz,0.015576616424483263,0.7038435321604176,0.015576616424483263,0.7038435321604176,0.00024262942686614775
F3,0.007752335388380744,0.8501992954946755,0.007752335388380744,0.8501992954946755,6.009502501369557e-05
Fpz,0.06505289155208901,0.11384718719350921,0.06505289155208901,0.11384718719350921,0.004231879922823589
T5,0.03428613252121607,0.4042186362299942,0.03428613252121607,0.4042186362299942,0.0011755373403306013
Fp1,0.04713795684392119,0.25135291872863685,0.04713795684392119,0.25135291872863685,0.0022219870809204734
F4,-0.01497106109202467,0.715073721417615,-0.01497106109202467,0.715073721417615,0.0002241306267425358
O1,0.06633408538922292,0.10688733349874778,0.06633408538922292,0.10688733349874778,0.004400210726728138
P4,0.013894218522008077,0.7354125421419486,0.013894218522008077,0.7354125421419486,0.0001930485039478569
F7,0.025720348681466675,0.5305104769659503,0.025720348681466675,0.5305104769659503,0.0006615337747323258
O2,0.06566551199564566,0.10957350921514053,0.06566551199564566,0.10957350921514053,0.004311956574927889
Fp2,0.06827006048050514,0.0967305144380933,0.06827006048050514,0.0967305144380933,0.004660800212905047
T6,0.010991612539456776,0.7893871143472728,0.010991612539456776,0.7893871143472728,0.00012081179277656506
C4,0.045806966807981075,0.2641957470876027,0.045806966807981075,0.2641957470876027,0.002098276051237691
C3,0.016997433239791623,0.6790425734301431,0.016997433239791623,0.6790425734301431,0.00028891609968517695
P3,0.07689342801780934,0.06174450996240717,0.07689342801780934,0.06174450996240717,0.0059125986796224606
T4,-0.0028248841056071304,0.94508711165835,-0.0028248841056071304,0.94508711165835,7.980060031997915e-06
Pz,-0.012389371626566573,0.7637457729885895,-0.012389371626566573,0.7637457729885895,0.0001534980262573038
F8,0.05846446638459151,0.154701735314622,0.05846446638459151,0.154701735314622,0.0034180954825681065
T3,0.056600337877660174,0.16758790066142196,0.056600337877660174,0.16758790066142196,0.003203596363164918
