channel,pearson,pearson p-value,spearman,spearman p-value,r2
Fz,-0.25869796324888633,0.00485785258302399,-0.25869796324888633,0.00485785258302399,0.0669246305580844
Cz,-0.24688423872524284,0.0072864326045552225,-0.24688423872524284,0.0072864326045552225,0.06095183171611451
F3,-0.22545182658818375,0.014525267554134018,-0.22545182658818375,0.014525267554134018,0.05082852610547639
Fpz,-0.12851193295267538,0.1673166069093047,-0.12851193295267538,0.1673166069093047,0.016515316162268645
T5,-0.23245174953331157,0.011668947863452085,-0.23245174953331157,0.011668947863452085,0.054033813439968825
Fp1,-0.1427249499433778,0.12475895235449222,-0.1427249499433778,0.12475895235449222,0.020370412706070873
F4,-0.30110522588120087,0.0009706792243703384,-0.30110522588120087,0.0009706792243703384,0.0906643494850522
O1,-0.05881734735705068,0.5287457168694956,-0.05881734735705068,0.5287457168694956,0.0034594773766596365
P4,-0.24772027244589556,0.007602729410056678,-0.24772027244589556,0.007602729410056678,0.06136533259738208
F7,-0.1595156660351933,0.08581143600700143,-0.1595156660351933,0.08581143600700143,0.025445246588015502
O2,-0.09214328233219216,0.3252331459283825,-0.09214328233219216,0.3252331459283825,0.008490384531351758
Fp2,-0.07541275754241827,0.417004895193879,-0.07541275754241827,0.417004895193879,0.005687090673387796
T6,-0.21527107954911479,0.019758057603816253,-0.21527107954911479,0.019758057603816253,0.046341637806714076
C4,-0.28074414599878383,0.002169308441482966,-0.28074414599878383,0.002169308441482966,0.07881727305170827
C3,-0.18315813753953336,0.04808212179830006,-0.18315813753953336,0.04808212179830006,0.03354690136588456
P3,-0.15380896396216515,0.0977818650973526,-0.15380896396216515,0.0977818650973526,0.02365720061201393
T4,-0.2642185890091283,0.003994240441243001,-0.2642185890091283,0.003994240441243001,0.0698114653745655
Pz,-0.30081324850826713,0.0010339846247119442,-0.30081324850826713,0.0010339846247119442,0.09048861964383914
F8,-0.14622605831649127,0.11568103729043422,-0.14622605831649127,0.11568103729043422,0.02138206130815845
T3,-0.1423883367226031,0.12565985114725273,-0.1423883367226031,0.12565985114725273,0.020274438510415882
