region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.004532672307381603,0.9137109692307022,[-0.08  0.09],0.0005371267917994761,0.9897549714168183,[-0.08  0.08],576
FRONTAL_L/TEMPORAL_L,-0.0017696782572796726,0.9662546931058104,[-0.08  0.08],-0.00479575336826678,0.9087239111635927,[-0.09  0.08],576
FRONTAL_L/TEMPORAL_R,-0.004693237813947682,0.9106668167961327,[-0.09  0.08],-0.0004555903707310103,0.991310110885675,[-0.08  0.08],576
FRONTAL_L/PARIETAL_L,0.01515354817164865,0.7171408618334203,[-0.07  0.1 ],0.0248623038585772,0.5522099126034175,[-0.06  0.11],576
FRONTAL_L/PARIETAL_R,0.0032920412448738394,0.9372712580704263,[-0.08  0.09],0.0093582623326311,0.8229719294625298,[-0.07  0.09],576
FRONTAL_L/OCCIPITAL_L,0.005317071324589346,0.8988524014509212,[-0.08  0.09],0.007564151797354811,0.8564996527330193,[-0.07  0.09],576
FRONTAL_L/OCCIPITAL_R,0.006652856037298883,0.8736330992916391,[-0.08  0.09],0.0026045303344960206,0.9503524437234987,[-0.08  0.08],576
FRONTAL_R/TEMPORAL_L,0.0001012776026169671,0.9980682040501524,[-0.08  0.08],-0.014687363689946156,0.7254862491255134,[-0.1   0.07],576
FRONTAL_R/TEMPORAL_R,0.010468871894016305,0.8023735666050577,[-0.07  0.09],0.015519305944437416,0.7106166983305453,[-0.07  0.1 ],576
FRONTAL_R/PARIETAL_L,0.011556389778703543,0.7823352450854587,[-0.07  0.09],0.029050844911148545,0.4872820842285176,[-0.05  0.11],576
FRONTAL_R/PARIETAL_R,0.009127816887872073,0.8272617679586948,[-0.07  0.09],0.012168324459920206,0.7711219916591459,[-0.07  0.09],576
FRONTAL_R/OCCIPITAL_L,0.003600304633108916,0.9314112356888768,[-0.08  0.09],0.0013491468302802056,0.9742704383770674,[-0.08  0.08],576
FRONTAL_R/OCCIPITAL_R,0.001409174506451736,0.9731260740079037,[-0.08  0.08],0.005144201570381863,0.90212415458252,[-0.08  0.09],576
TEMPORAL_L/TEMPORAL_R,0.008211391226159161,0.8443711278116189,[-0.07  0.09],0.01078273159399209,0.7965765165227309,[-0.07  0.09],576
TEMPORAL_L/PARIETAL_L,0.024526701221291834,0.5575897632412588,[-0.06  0.11],0.033906012275091005,0.4174847469755968,[-0.05  0.12],576
TEMPORAL_L/PARIETAL_R,0.0023377153779455817,0.955432890190323,[-0.08  0.08],0.002261297266027801,0.9568883158264903,[-0.08  0.08],576
TEMPORAL_L/OCCIPITAL_L,0.001716915541646939,0.9672602327864303,[-0.08  0.08],-0.00852093539425287,0.8385834230921739,[-0.09  0.07],576
TEMPORAL_L/OCCIPITAL_R,0.00412156696408304,0.9215107446557957,[-0.08  0.09],0.005009059953601601,0.9046830186843754,[-0.08  0.09],576
TEMPORAL_R/PARIETAL_L,0.00850251345030348,0.8389276271905136,[-0.07  0.09],0.020433183256388526,0.6251758056317456,[-0.06  0.1 ],576
TEMPORAL_R/PARIETAL_R,0.002117411877741036,0.9596290786729743,[-0.08  0.08],0.013215181543240303,0.7520504323314052,[-0.07  0.09],576
TEMPORAL_R/OCCIPITAL_L,0.0052169066252932775,0.9007479249383039,[-0.08  0.09],0.007441248428510742,0.8588066357898068,[-0.07  0.09],576
TEMPORAL_R/OCCIPITAL_R,0.010603875710786755,0.7998786698053235,[-0.07  0.09],0.006538186601773555,0.8757933860807366,[-0.08  0.09],576
PARIETAL_L/PARIETAL_R,0.0055715814377184075,0.894038647920928,[-0.08  0.09],0.016984817989849698,0.6846914959544237,[-0.06  0.1 ],576
PARIETAL_L/OCCIPITAL_L,3.946248623520736e-06,0.9999247281301279,[-0.08  0.08],0.003553221828551576,0.932306037973971,[-0.08  0.09],576
PARIETAL_L/OCCIPITAL_R,0.01350998567931073,0.7467062883414906,[-0.07  0.1 ],0.029426284729282978,0.4816699371769876,[-0.05  0.11],576
PARIETAL_R/OCCIPITAL_L,0.013551743599803543,0.7459502845534055,[-0.07  0.1 ],0.00819318749713577,0.8447117564307248,[-0.07  0.09],576
PARIETAL_R/OCCIPITAL_R,0.008930931370278485,0.8309309562797157,[-0.07  0.09],0.00593110041705663,0.8872454459987493,[-0.08  0.09],576
OCCIPITAL_L/OCCIPITAL_R,0.00650883050037823,0.876346582266141,[-0.08  0.09],-0.0017615586448880768,0.9664094313641973,[-0.08  0.08],576
