region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.09060339972139002,0.42413210374277466,[-0.13  0.3 ],0.026548610575072507,0.8151698005848248,[-0.19  0.24],82
FRONTAL_L/TEMPORAL_L,0.06281485847234079,0.5798951699730146,[-0.16  0.28],0.006457110776412828,0.9546680551990325,[-0.21  0.23],82
FRONTAL_L/TEMPORAL_R,0.06975451714186293,0.5386645770726066,[-0.15  0.29],0.013989009084226445,0.9019817664980485,[-0.21  0.23],82
FRONTAL_L/PARIETAL_L,0.05953151627538095,0.5998950519377959,[-0.16  0.28],-0.008706470125290692,0.9389028853020562,[-0.23  0.21],82
FRONTAL_L/PARIETAL_R,0.050241475701778414,0.6580690976330321,[-0.17  0.27],-0.01965632095066454,0.8626033553565213,[-0.24  0.2 ],82
FRONTAL_L/OCCIPITAL_L,0.07469626338735193,0.5102107374982316,[-0.15  0.29],0.001453432895806104,0.9897911036098022,[-0.22  0.22],82
FRONTAL_L/OCCIPITAL_R,0.05263086393280059,0.6428931502843349,[-0.17  0.27],0.002215664960167064,0.9844377454051718,[-0.22  0.22],82
FRONTAL_R/TEMPORAL_L,0.059468306232726885,0.6002830705885318,[-0.16  0.28],0.009652423494746439,0.9322796027525952,[-0.21  0.23],82
FRONTAL_R/TEMPORAL_R,0.07312363448351424,0.5191813245083812,[-0.15  0.29],0.02986314998961167,0.7925822211436445,[-0.19  0.25],82
FRONTAL_R/PARIETAL_L,0.05614037262340772,0.620866771646494,[-0.17  0.27],-0.01016722459804239,0.9286770216250504,[-0.23  0.21],82
FRONTAL_R/PARIETAL_R,0.09037175263051453,0.4253226269173299,[-0.13  0.3 ],0.03954439448956906,0.7276408479473383,[-0.18  0.26],82
FRONTAL_R/OCCIPITAL_L,0.040328803135394005,0.722455300909801,[-0.18  0.26],-0.07328640724920792,0.5182491458794776,[-0.29  0.15],82
FRONTAL_R/OCCIPITAL_R,0.059130286603974284,0.6023599105756373,[-0.16  0.28],-0.037287789390184886,0.7426263541066509,[-0.25  0.18],82
TEMPORAL_L/TEMPORAL_R,0.061702828404628346,0.5866345102037774,[-0.16  0.28],0.022689250761142483,0.8416600254952289,[-0.2   0.24],82
TEMPORAL_L/PARIETAL_L,0.06725667219649864,0.5533377232075131,[-0.15  0.28],-0.00038956804815827773,0.9972636104323662,[-0.22  0.22],82
TEMPORAL_L/PARIETAL_R,0.04998399541400814,0.6597128749429262,[-0.17  0.27],-0.001026210981212732,0.9927918088342469,[-0.22  0.22],82
TEMPORAL_L/OCCIPITAL_L,0.04430970442256041,0.6963351593257547,[-0.18  0.26],-0.0015189522007926612,0.9893309230631336,[-0.22  0.22],82
TEMPORAL_L/OCCIPITAL_R,0.03892702536718727,0.7317307660229693,[-0.18  0.26],-0.01864104472506912,0.8696361170258329,[-0.24  0.2 ],82
TEMPORAL_R/PARIETAL_L,0.05817265573957251,0.6082608867407417,[-0.16  0.27],0.007477563513555326,0.9475134487023149,[-0.21  0.23],82
TEMPORAL_R/PARIETAL_R,0.05206319472763464,0.6464857274776419,[-0.17  0.27],0.0006694475318296895,0.9952977089025249,[-0.22  0.22],82
TEMPORAL_R/OCCIPITAL_L,0.08956653233402098,0.42947581898183507,[-0.13  0.3 ],0.07249916983930063,0.5227654115642617,[-0.15  0.29],82
TEMPORAL_R/OCCIPITAL_R,0.0883116973401344,0.43599389068059824,[-0.13  0.3 ],0.07538822388251981,0.5062889989371053,[-0.15  0.29],82
PARIETAL_L/PARIETAL_R,0.027809275994965587,0.8065599051761752,[-0.19  0.25],-0.029192928650549198,0.7971364789526638,[-0.25  0.19],82
PARIETAL_L/OCCIPITAL_L,0.030875955173762935,0.7857132458376808,[-0.19  0.25],-0.004740583383084009,0.9667107808323713,[-0.22  0.22],82
PARIETAL_L/OCCIPITAL_R,0.020195466497294007,0.8588730248040481,[-0.2   0.24],-0.029362792179789786,0.7959815824935825,[-0.25  0.19],82
PARIETAL_R/OCCIPITAL_L,0.10268824468431456,0.36471600277977123,[-0.12  0.32],0.09123405851736534,0.4209006064796762,[-0.13  0.3 ],82
PARIETAL_R/OCCIPITAL_R,0.09684364293476688,0.39278681668416005,[-0.13  0.31],0.0789824274915012,0.4861714467871453,[-0.14  0.29],82
OCCIPITAL_L/OCCIPITAL_R,0.06160614807571152,0.5872221089026156,[-0.16  0.28],0.038603110226069735,0.7338796256810949,[-0.18  0.26],82
