region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.11018137122047497,0.33057900012822783,[-0.11  0.32],0.06947336448391792,0.5403065538765511,[-0.15  0.28],82
FRONTAL_L/TEMPORAL_L,0.0951828909265274,0.4009914279531165,[-0.13  0.31],0.06434213427445304,0.5706977536581481,[-0.16  0.28],82
FRONTAL_L/TEMPORAL_R,0.11394821793233456,0.31421067705145034,[-0.11  0.33],0.09121411078029451,0.4210026011844461,[-0.13  0.3 ],82
FRONTAL_L/PARIETAL_L,0.11105683671404286,0.3267273578239509,[-0.11  0.32],0.08910687359468887,0.43185698507201686,[-0.13  0.3 ],82
FRONTAL_L/PARIETAL_R,0.09477448358944418,0.40302443488442796,[-0.13  0.31],0.03916450292145067,0.7301566438572675,[-0.18  0.26],82
FRONTAL_L/OCCIPITAL_L,0.11506270963178394,0.30946979038000383,[-0.11  0.33],0.09304589184794798,0.41169599413160074,[-0.13  0.31],82
FRONTAL_L/OCCIPITAL_R,0.07984966891204234,0.4813816050309553,[-0.14  0.29],0.06278394072844651,0.5800820616024809,[-0.16  0.28],82
FRONTAL_R/TEMPORAL_L,0.10636502056811926,0.34770397566349254,[-0.12  0.32],0.07879234975285014,0.48722462719664494,[-0.14  0.29],82
FRONTAL_R/TEMPORAL_R,0.11779910312632984,0.2980272066193046,[-0.1   0.33],0.0926398212713926,0.4137486970084816,[-0.13  0.31],82
FRONTAL_R/PARIETAL_L,0.09970707302988163,0.37887718618512556,[-0.12  0.31],0.06768327210017544,0.5508181978825155,[-0.15  0.28],82
FRONTAL_R/PARIETAL_R,0.1228018324190264,0.2778331840781181,[-0.1   0.33],0.08451231615556291,0.45606665337437435,[-0.14  0.3 ],82
FRONTAL_R/OCCIPITAL_L,0.07400909321212255,0.5141206883456307,[-0.15  0.29],0.004051458726499735,0.9715477535865351,[-0.22  0.22],82
FRONTAL_R/OCCIPITAL_R,0.08830305046426024,0.43603899884829334,[-0.13  0.3 ],0.01505900431775357,0.894525969714447,[-0.21  0.23],82
TEMPORAL_L/TEMPORAL_R,0.1263570879719886,0.26405060135922154,[-0.1   0.34],0.12168987194120198,0.28224075357552325,[-0.1   0.33],82
TEMPORAL_L/PARIETAL_L,0.10220046143311994,0.3670106110659477,[-0.12  0.31],0.08317840828858333,0.46323290738046896,[-0.14  0.3 ],82
TEMPORAL_L/PARIETAL_R,0.095028321542202,0.40176014602634136,[-0.13  0.31],0.04881149350946388,0.6672185226469438,[-0.17  0.27],82
TEMPORAL_L/OCCIPITAL_L,0.06737330690420851,0.5526483216701543,[-0.15  0.28],0.051005428550320954,0.6532015101796689,[-0.17  0.27],82
TEMPORAL_L/OCCIPITAL_R,0.06576235290627283,0.5622066834685846,[-0.16  0.28],0.04849405124566966,0.6692562645805593,[-0.17  0.27],82
TEMPORAL_R/PARIETAL_L,0.11279168527617246,0.31917965479547894,[-0.11  0.32],0.08690391379033768,0.44337255016133514,[-0.14  0.3 ],82
TEMPORAL_R/PARIETAL_R,0.1242613589409187,0.27211804310940424,[-0.1   0.33],0.08615816909562958,0.4473094166185577,[-0.14  0.3 ],82
TEMPORAL_R/OCCIPITAL_L,0.1274547926321666,0.25989023135417005,[-0.09  0.34],0.12366570752786964,0.2744408606902527,[-0.1   0.33],82
TEMPORAL_R/OCCIPITAL_R,0.1058467584037278,0.3500714786840393,[-0.12  0.32],0.11670718079960268,0.30255954477184915,[-0.11  0.33],82
PARIETAL_L/PARIETAL_R,0.08631185010863517,0.4464965272563878,[-0.14  0.3 ],0.057818062510523724,0.610452300239291,[-0.16  0.27],82
PARIETAL_L/OCCIPITAL_L,0.05798642375473617,0.6094113863043972,[-0.16  0.27],0.06346084333558374,0.5759966679296245,[-0.16  0.28],82
PARIETAL_L/OCCIPITAL_R,0.04286297960547195,0.7057887504229228,[-0.18  0.26],0.037444977165103366,0.7415793327449438,[-0.18  0.26],82
PARIETAL_R/OCCIPITAL_L,0.15963320543847673,0.15723879456381684,[-0.06  0.37],0.1551642677279906,0.16933972286431423,[-0.07  0.36],82
PARIETAL_R/OCCIPITAL_R,0.12574270700063006,0.2663986963686952,[-0.1   0.34],0.1298307539678824,0.2510382405649697,[-0.09  0.34],82
OCCIPITAL_L/OCCIPITAL_R,0.08695768490816265,0.44308943908270393,[-0.14  0.3 ],0.051989860682634385,0.6469504249740254,[-0.17  0.27],82
