region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.07568517343794343,0.5046107955637973,[-0.29  0.15],0.03590663856906918,0.7518460311308661,[-0.19  0.25],82
FRONTAL_L/TEMPORAL_L,-0.0838399289255487,0.4596713026629745,[-0.3   0.14],0.028180473451534058,0.8040290842964118,[-0.19  0.25],82
FRONTAL_L/TEMPORAL_R,-0.09361368755205056,0.4088357214034586,[-0.31  0.13],0.014827809692190252,0.8961361979211067,[-0.21  0.23],82
FRONTAL_L/PARIETAL_L,-0.07630774771788663,0.5011016898836308,[-0.29  0.15],0.025330446234436053,0.8235102857348169,[-0.2   0.24],82
FRONTAL_L/PARIETAL_R,-0.07915663935002945,0.4852072372124989,[-0.29  0.14],0.07987161542696672,0.48126072037946643,[-0.14  0.29],82
FRONTAL_L/OCCIPITAL_L,-0.09034429618465235,0.4254638628456858,[-0.3   0.13],0.017295907415449573,0.8789693141577732,[-0.2   0.24],82
FRONTAL_L/OCCIPITAL_R,-0.06794942159982242,0.5492491115457592,[-0.28  0.15],0.05215199889413674,0.645923181100701,[-0.17  0.27],82
FRONTAL_R/TEMPORAL_L,-0.09622086233266189,0.3958517763508117,[-0.31  0.13],0.006959832818058805,0.9511428833561615,[-0.21  0.23],82
FRONTAL_R/TEMPORAL_R,-0.11283476653359063,0.3189936592138912,[-0.32  0.11],-0.028165873251449976,0.8041285904635739,[-0.25  0.19],82
FRONTAL_R/PARIETAL_L,-0.07731369094426245,0.4954586541058398,[-0.29  0.14],0.022286464624161735,0.8444354019219529,[-0.2   0.24],82
FRONTAL_R/PARIETAL_R,-0.10487792510113544,0.3545240837919754,[-0.32  0.12],0.010149944455747491,0.9287979253219218,[-0.21  0.23],82
FRONTAL_R/OCCIPITAL_L,-0.07018416923804607,0.5361600890144542,[-0.29  0.15],0.08796543734210627,0.4378022870281285,[-0.13  0.3 ],82
FRONTAL_R/OCCIPITAL_R,-0.07179374206795645,0.5268291175898612,[-0.29  0.15],0.061423253784630386,0.5883344245764807,[-0.16  0.28],82
TEMPORAL_L/TEMPORAL_R,-0.10457157383761904,0.3559392917438099,[-0.32  0.12],-0.023051100054112674,0.8391683652758617,[-0.24  0.2 ],82
TEMPORAL_L/PARIETAL_L,-0.07661147543478472,0.4993943584831644,[-0.29  0.15],0.017976931565226385,0.8742419036556883,[-0.2   0.24],82
TEMPORAL_L/PARIETAL_R,-0.07824643176706145,0.49025614856360267,[-0.29  0.14],0.05370996453224114,0.6360864916871702,[-0.17  0.27],82
TEMPORAL_L/OCCIPITAL_L,-0.061216182969189986,0.5895949266057767,[-0.28  0.16],0.028765704776795326,0.8000430804585673,[-0.19  0.25],82
TEMPORAL_L/OCCIPITAL_R,-0.060670527391708834,0.5929223284075158,[-0.28  0.16],0.019790489492942452,0.8616747634186225,[-0.2   0.24],82
TEMPORAL_R/PARIETAL_L,-0.10086272762658118,0.37334866236863773,[-0.31  0.12],0.002620396309922174,0.9815954739118757,[-0.22  0.22],82
TEMPORAL_R/PARIETAL_R,-0.1046164188347825,0.355731909634467,[-0.32  0.12],0.020198032250169265,0.8588552797597558,[-0.2   0.24],82
TEMPORAL_R/OCCIPITAL_L,-0.144160380690553,0.2020290004245969,[-0.35  0.08],-0.06380960847817785,0.5738969352896139,[-0.28  0.16],82
TEMPORAL_R/OCCIPITAL_R,-0.10320353964181367,0.3623015460504251,[-0.32  0.12],-0.022399524675077286,0.8436561749328072,[-0.24  0.2 ],82
PARIETAL_L/PARIETAL_R,-0.07760033472388868,0.4938567838997323,[-0.29  0.14],0.021406556461705296,0.8505049085782487,[-0.2   0.24],82
PARIETAL_L/OCCIPITAL_L,-0.049515374568734574,0.6627087261939365,[-0.27  0.17],0.046135537595783295,0.6844701622718573,[-0.18  0.26],82
PARIETAL_L/OCCIPITAL_R,-0.027494732688510472,0.8087060154533258,[-0.25  0.19],0.06750433305306162,0.5518743487301201,[-0.15  0.28],82
PARIETAL_R/OCCIPITAL_L,-0.14554451760378428,0.19768572007275892,[-0.35  0.08],-0.02622896258450088,0.8173564088172971,[-0.24  0.19],82
PARIETAL_R/OCCIPITAL_R,-0.12589251568527257,0.26582484967028475,[-0.34  0.1 ],-0.028653167594060565,0.8008091768064357,[-0.25  0.19],82
OCCIPITAL_L/OCCIPITAL_R,-0.09312914254140899,0.41127589166205103,[-0.31  0.13],0.04711060898544022,0.6781646767228825,[-0.17  0.26],82
