region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.03790343273631784,0.7385282635597319,[-0.18  0.26],0.026748862737616435,0.8138006582331876,[-0.19  0.25],82
FRONTAL_L/TEMPORAL_L,0.006234726248242436,0.9562277345576812,[-0.21  0.23],-0.039719301622647474,0.7264835071828508,[-0.26  0.18],82
FRONTAL_L/TEMPORAL_R,0.005931531635159342,0.9583544338340881,[-0.21  0.23],-0.03942282698708919,0.7284456055594408,[-0.26  0.18],82
FRONTAL_L/PARIETAL_L,0.01644004330563507,0.8849163829502136,[-0.2   0.24],-0.02334654646471984,0.8371351195536498,[-0.24  0.2 ],82
FRONTAL_L/PARIETAL_R,-0.0010363720427187667,0.9927204386267585,[-0.22  0.22],0.010180576429141797,0.9285836041862228,[-0.21  0.23],82
FRONTAL_L/OCCIPITAL_L,-0.006532965244661435,0.9541360934791415,[-0.23  0.21],-0.024120350705704594,0.8318149280187037,[-0.24  0.2 ],82
FRONTAL_L/OCCIPITAL_R,0.00696759876753902,0.9510884343849717,[-0.21  0.23],-0.007715169068806215,0.9458481213930863,[-0.23  0.21],82
FRONTAL_R/TEMPORAL_L,-0.024994265363317652,0.8258155253476411,[-0.24  0.2 ],-0.059745883427134876,0.5985799759153434,[-0.28  0.16],82
FRONTAL_R/TEMPORAL_R,-0.01995472931645841,0.8605383008711863,[-0.24  0.2 ],-0.07988474921796469,0.48118838526667185,[-0.29  0.14],82
FRONTAL_R/PARIETAL_L,-0.006471841539407479,0.9545647479017733,[-0.23  0.21],-0.040397825954653924,0.7219996006845886,[-0.26  0.18],82
FRONTAL_R/PARIETAL_R,0.00900279374154329,0.9368276487834998,[-0.21  0.23],-0.03480430300309273,0.7592295890728394,[-0.25  0.19],82
FRONTAL_R/OCCIPITAL_L,-0.0043362078273916195,0.9695489624406757,[-0.22  0.22],-0.0041373501336822395,0.9709448213910035,[-0.22  0.22],82
FRONTAL_R/OCCIPITAL_R,0.015595347608077495,0.8907920887265817,[-0.2   0.23],0.007099018256425432,0.9501670543636541,[-0.21  0.23],82
TEMPORAL_L/TEMPORAL_R,-0.030413352587634043,0.7888486813409794,[-0.25  0.19],-0.09603309979130202,0.3967786049296754,[-0.31  0.13],82
TEMPORAL_L/PARIETAL_L,0.00476492463541571,0.9665399502742529,[-0.22  0.22],-0.024727350197629623,0.827646850570607,[-0.24  0.2 ],82
TEMPORAL_L/PARIETAL_R,0.0048996980424013655,0.9655941177600208,[-0.22  0.22],-0.030390018329113092,0.7890069260153205,[-0.25  0.19],82
TEMPORAL_L/OCCIPITAL_L,-0.0009501964053490727,0.9933257288277175,[-0.22  0.22],-0.034142982641025894,0.7636695811311934,[-0.25  0.19],82
TEMPORAL_L/OCCIPITAL_R,-0.009726327678827152,0.9317623354908895,[-0.23  0.21],-0.057528606236017396,0.6122437048270064,[-0.27  0.16],82
TEMPORAL_R/PARIETAL_L,-0.026505368909246253,0.8154655206361353,[-0.24  0.19],-0.05527245674060161,0.6262840339464518,[-0.27  0.17],82
TEMPORAL_R/PARIETAL_R,-0.012754837906702175,0.91059205278969,[-0.23  0.21],-0.062400458442118646,0.5824024339642873,[-0.28  0.16],82
TEMPORAL_R/OCCIPITAL_L,-0.039240098818598794,0.7296557892169492,[-0.26  0.18],-0.09826247398700493,0.38585704423653133,[-0.31  0.12],82
TEMPORAL_R/OCCIPITAL_R,0.010705909777883353,0.9249088349824481,[-0.21  0.23],-0.038252433456417524,0.7362083287216669,[-0.26  0.18],82
PARIETAL_L/PARIETAL_R,-0.018288741889474453,0.8720788930224032,[-0.24  0.2 ],-0.06070444303351352,0.5927152654090713,[-0.28  0.16],82
PARIETAL_L/OCCIPITAL_L,0.017285591895416078,0.879040953544807,[-0.2   0.24],0.01631645347369725,0.8857756944564158,[-0.2   0.24],82
PARIETAL_L/OCCIPITAL_R,0.025489860343770338,0.8224176811927983,[-0.2   0.24],0.04743031324612996,0.6761020238040516,[-0.17  0.26],82
PARIETAL_R/OCCIPITAL_L,-0.0286053312028262,0.8011348797747948,[-0.25  0.19],-0.046155953402325346,0.6843379164021144,[-0.26  0.18],82
PARIETAL_R/OCCIPITAL_R,-0.00037109701933982014,0.9973933534902966,[-0.22  0.22],-0.026857590430691858,0.8130575103877465,[-0.25  0.19],82
OCCIPITAL_L/OCCIPITAL_R,0.00046510663788834774,0.9967330177179945,[-0.22  0.22],0.0018183802798738956,0.9872279104373551,[-0.22  0.22],82
