region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.057349116019678285,0.6133556886317626,[-0.27  0.16],-0.0677406461591625,0.5504797659144856,[-0.28  0.15],82
FRONTAL_L/TEMPORAL_L,-0.07685210849832011,0.4980438523635239,[-0.29  0.15],-0.11984094493921679,0.2896719041149349,[-0.33  0.1 ],82
FRONTAL_L/TEMPORAL_R,-0.09335026116052182,0.4101612876454286,[-0.31  0.13],-0.12595272664386756,0.26559444507066876,[-0.34  0.1 ],82
FRONTAL_L/PARIETAL_L,-0.09375745266440505,0.40811334882970995,[-0.31  0.13],-0.16185911034342515,0.1514568848722195,[-0.37  0.06],82
FRONTAL_L/PARIETAL_R,-0.09400183240054186,0.40688713320185077,[-0.31  0.13],-0.09234221039727204,0.4152568967521051,[-0.31  0.13],82
FRONTAL_L/OCCIPITAL_L,-0.09810396639918176,0.38662756414367294,[-0.31  0.12],-0.11532513762007869,0.3083602369100987,[-0.33  0.11],82
FRONTAL_L/OCCIPITAL_R,-0.07082894933805087,0.532412414610909,[-0.29  0.15],-0.09344210911484463,0.40969882295286075,[-0.31  0.13],82
FRONTAL_R/TEMPORAL_L,-0.10537518486229884,0.35223439301207504,[-0.32  0.12],-0.1389775463597965,0.2188972314298425,[-0.35  0.08],82
FRONTAL_R/TEMPORAL_R,-0.10564379883682529,0.3510013560912215,[-0.32  0.12],-0.13434027650626879,0.2348100763044516,[-0.34  0.09],82
FRONTAL_R/PARIETAL_L,-0.09535350990267218,0.4001438972524669,[-0.31  0.13],-0.1351326974486013,0.2320354705323203,[-0.34  0.09],82
FRONTAL_R/PARIETAL_R,-0.09494251305862215,0.4021872703775946,[-0.31  0.13],-0.13006820579563158,0.2501650603695874,[-0.34  0.09],82
FRONTAL_R/OCCIPITAL_L,-0.06913204065580415,0.5423032335285807,[-0.28  0.15],-0.08509004330086518,0.4529819684718924,[-0.3   0.14],82
FRONTAL_R/OCCIPITAL_R,-0.06884856467322205,0.5439642521199787,[-0.28  0.15],-0.058993250923520056,0.6032027803426688,[-0.28  0.16],82
TEMPORAL_L/TEMPORAL_R,-0.1277293479283999,0.25885664505100026,[-0.34  0.09],-0.1871938374951135,0.09637363920911927,[-0.39  0.03],82
TEMPORAL_L/PARIETAL_L,-0.07429538683699695,0.5124898423586771,[-0.29  0.15],-0.11951012316602302,0.291015034045017,[-0.33  0.1 ],82
TEMPORAL_L/PARIETAL_R,-0.09484775005234146,0.4026592773675274,[-0.31  0.13],-0.11359924423931349,0.31570473870530663,[-0.33  0.11],82
TEMPORAL_L/OCCIPITAL_L,-0.059133570922177865,0.6023397160000441,[-0.28  0.16],-0.08437363080706915,0.4568088629085777,[-0.3   0.14],82
TEMPORAL_L/OCCIPITAL_R,-0.06471851182025568,0.5684416785623181,[-0.28  0.16],-0.10685640065264576,0.3454685195698365,[-0.32  0.12],82
TEMPORAL_R/PARIETAL_L,-0.11566302413187181,0.3069354470772433,[-0.33  0.11],-0.14910269680187632,0.18682893879781784,[-0.36  0.07],82
TEMPORAL_R/PARIETAL_R,-0.1408575154382678,0.21266759668716967,[-0.35  0.08],-0.1833231795882637,0.10358580630338039,[-0.39  0.04],82
TEMPORAL_R/OCCIPITAL_L,-0.11959609091048774,0.2906656123826445,[-0.33  0.1 ],-0.16546952151681665,0.14241855338551446,[-0.37  0.06],82
TEMPORAL_R/OCCIPITAL_R,-0.07655017984271385,0.4997386725472027,[-0.29  0.15],-0.13253147975422053,0.24122952661436609,[-0.34  0.09],82
PARIETAL_L/PARIETAL_R,-0.11565214972837605,0.306981235240001,[-0.33  0.11],-0.15728826206604526,0.1635056767041171,[-0.36  0.06],82
PARIETAL_L/OCCIPITAL_L,-0.07080080715008946,0.5325757144517504,[-0.29  0.15],-0.10995504891698932,0.33157938119257024,[-0.32  0.11],82
PARIETAL_L/OCCIPITAL_R,-0.055383577785108336,0.6255893378515118,[-0.27  0.17],-0.07477619420189836,0.5097569289872959,[-0.29  0.15],82
PARIETAL_R/OCCIPITAL_L,-0.15250272243826296,0.1768645781316229,[-0.36  0.07],-0.17838423759620498,0.11339128960751971,[-0.38  0.04],82
PARIETAL_R/OCCIPITAL_R,-0.10600767942197549,0.3493352950180082,[-0.32  0.12],-0.13928562262421199,0.21786765376834846,[-0.35  0.08],82
OCCIPITAL_L/OCCIPITAL_R,-0.08885038679089782,0.43318891520466685,[-0.3   0.13],-0.081885444594988,0.4702375218039898,[-0.3   0.14],82
