region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.0940787720762677,0.40650152226423186,[-0.31  0.13],-0.09171010030287413,0.41847078182548625,[-0.31  0.13],82
FRONTAL_L/TEMPORAL_L,-0.1038150485962804,0.35944904346512596,[-0.32  0.12],-0.10601471120671405,0.34930314790907624,[-0.32  0.12],82
FRONTAL_L/TEMPORAL_R,-0.1209009070075952,0.2853960851476509,[-0.33  0.1 ],-0.13370316457629042,0.23705752355898163,[-0.34  0.09],82
FRONTAL_L/PARIETAL_L,-0.10600232060925636,0.3493597950616151,[-0.32  0.12],-0.15466187125197722,0.17074178802351478,[-0.36  0.07],82
FRONTAL_L/PARIETAL_R,-0.10514176191276481,0.3533080707997689,[-0.32  0.12],-0.08310442627906872,0.4636321594880036,[-0.3   0.14],82
FRONTAL_L/OCCIPITAL_L,-0.1107849122657964,0.32792062649341636,[-0.32  0.11],-0.1266701026953036,0.2628596924651593,[-0.34  0.1 ],82
FRONTAL_L/OCCIPITAL_R,-0.08728922123352068,0.4413461025016078,[-0.3   0.14],-0.09105032019292565,0.42184061602711,[-0.3   0.13],82
FRONTAL_R/TEMPORAL_L,-0.11740484259318268,0.2996585406492694,[-0.33  0.11],-0.13409940268636134,0.2356580260057755,[-0.34  0.09],82
FRONTAL_R/TEMPORAL_R,-0.13399490174150722,0.2360265614175229,[-0.34  0.09],-0.1358380506263607,0.22958499634073715,[-0.35  0.09],82
FRONTAL_R/PARIETAL_L,-0.1014769792853186,0.37043019060752835,[-0.31  0.12],-0.12563916147955606,0.26679581883569525,[-0.34  0.1 ],82
FRONTAL_R/PARIETAL_R,-0.12968962336215514,0.2515582063610132,[-0.34  0.09],-0.10843997255597386,0.3383256139994575,[-0.32  0.11],82
FRONTAL_R/OCCIPITAL_L,-0.08006404648984448,0.48020147591442275,[-0.29  0.14],-0.058001647867041706,0.6093172995376297,[-0.27  0.16],82
FRONTAL_R/OCCIPITAL_R,-0.10310950515528026,0.3627414183858686,[-0.32  0.12],-0.05950421730621358,0.6000626146479331,[-0.28  0.16],82
TEMPORAL_L/TEMPORAL_R,-0.13195701989899522,0.24329340913639366,[-0.34  0.09],-0.18689616540561066,0.09691391306603335,[-0.39  0.03],82
TEMPORAL_L/PARIETAL_L,-0.09624598620273088,0.39572785790717724,[-0.31  0.13],-0.1334617789922209,0.23791290565255224,[-0.34  0.09],82
TEMPORAL_L/PARIETAL_R,-0.11020170296741057,0.3304892243840607,[-0.32  0.11],-0.09487104428621734,0.4025432204701176,[-0.31  0.13],82
TEMPORAL_L/OCCIPITAL_L,-0.07695122174874336,0.4974881531877583,[-0.29  0.15],-0.08629450478247692,0.44658823334109043,[-0.3   0.14],82
TEMPORAL_L/OCCIPITAL_R,-0.07970227754013601,0.4821938782517172,[-0.29  0.14],-0.10036729748473118,0.3757127212922049,[-0.31  0.12],82
TEMPORAL_R/PARIETAL_L,-0.1224997159842681,0.27902613489631484,[-0.33  0.1 ],-0.1468548086719368,0.19363627572925365,[-0.36  0.08],82
TEMPORAL_R/PARIETAL_R,-0.15131794010880437,0.18029172275236643,[-0.36  0.07],-0.16093526252339785,0.15383704551833308,[-0.37  0.06],82
TEMPORAL_R/OCCIPITAL_L,-0.16691083193389672,0.1389260336429043,[-0.37  0.05],-0.16465118749547694,0.14443070326847696,[-0.37  0.06],82
TEMPORAL_R/OCCIPITAL_R,-0.12615458358744755,0.2648229989052616,[-0.34  0.1 ],-0.14847346846176773,0.18871672812174914,[-0.36  0.07],82
PARIETAL_L/PARIETAL_R,-0.10786971195324888,0.3408870600717673,[-0.32  0.11],-0.12769097514176483,0.25900093445499645,[-0.34  0.09],82
PARIETAL_L/OCCIPITAL_L,-0.0821949566278275,0.46855554063101057,[-0.3   0.14],-0.11021113776464048,0.3304475698683864,[-0.32  0.11],82
PARIETAL_L/OCCIPITAL_R,-0.05936209218342039,0.6009353224270485,[-0.28  0.16],-0.0876043361110183,0.4396926931206798,[-0.3   0.13],82
PARIETAL_R/OCCIPITAL_L,-0.1871177559675798,0.09651150160576862,[-0.39  0.03],-0.18511966419869533,0.1001877994345767,[-0.39  0.04],82
PARIETAL_R/OCCIPITAL_R,-0.15451461005460665,0.17115436931297268,[-0.36  0.07],-0.15075470377109607,0.18193782070576556,[-0.36  0.07],82
OCCIPITAL_L/OCCIPITAL_R,-0.1172403714165614,0.30034079708210026,[-0.33  0.11],-0.08529156629002962,0.45190869151104374,[-0.3   0.14],82
