region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.08644248042735213,0.040868607747665125,[-0.17 -0.  ],-0.030268740716745787,0.47470022751276997,[-0.11  0.05],562
FRONTAL_L/TEMPORAL_L,-0.09384658254089166,0.02636747833957032,[-0.18 -0.01],-0.03284114793034441,0.43796386897997597,[-0.12  0.05],562
FRONTAL_L/TEMPORAL_R,-0.09624098990431222,0.02274577697136392,[-0.18 -0.01],-0.04601283485727923,0.27703451159765335,[-0.13  0.04],562
FRONTAL_L/PARIETAL_L,-0.08387566987076171,0.047264472874388064,[-0.17 -0.  ],-0.024454257618070765,0.5636107441523754,[-0.11  0.06],562
FRONTAL_L/PARIETAL_R,-0.09191272348358775,0.02964531697836579,[-0.17 -0.01],-0.03738098241898194,0.37727542719786245,[-0.12  0.05],562
FRONTAL_L/OCCIPITAL_L,-0.09455510317911214,0.025247304635974556,[-0.18 -0.01],-0.04132305071781673,0.3290080664991929,[-0.12  0.04],562
FRONTAL_L/OCCIPITAL_R,-0.08305890396872337,0.04946795123249477,[-0.16 -0.  ],-0.027066300778494312,0.5226983501662826,[-0.11  0.06],562
FRONTAL_R/TEMPORAL_L,-0.09730062635574784,0.021285895741046452,[-0.18 -0.01],-0.03393892562985481,0.42279714668433777,[-0.12  0.05],562
FRONTAL_R/TEMPORAL_R,-0.08995465477381594,0.033314253240146724,[-0.17 -0.01],-0.04098431619750154,0.33299161994962867,[-0.12  0.04],562
FRONTAL_R/PARIETAL_L,-0.10200948572280469,0.01573980920866926,[-0.18 -0.02],-0.05855031632210054,0.16646729453008474,[-0.14  0.02],562
FRONTAL_R/PARIETAL_R,-0.09075959834575606,0.03176156362512398,[-0.17 -0.01],-0.03460943978782626,0.4136863333081995,[-0.12  0.05],562
FRONTAL_R/OCCIPITAL_L,-0.08394835369038961,0.047072438474137786,[-0.17 -0.  ],-0.01817125851001268,0.667861326196117,[-0.1   0.06],562
FRONTAL_R/OCCIPITAL_R,-0.08647486574561604,0.04079283330168838,[-0.17 -0.  ],-0.014357750466513707,0.7345911399337954,[-0.1   0.07],562
TEMPORAL_L/TEMPORAL_R,-0.10509387398613919,0.012835109445066656,[-0.19 -0.02],-0.0651340706291591,0.12367142233101963,[-0.15  0.02],562
TEMPORAL_L/PARIETAL_L,-0.09207932618664963,0.029349792068283587,[-0.17 -0.01],-0.02999843602191181,0.4786560395869788,[-0.11  0.05],562
TEMPORAL_L/PARIETAL_R,-0.10366754903456304,0.014113702797161254,[-0.18 -0.02],-0.050007933004058064,0.23740464438801234,[-0.13  0.03],562
TEMPORAL_L/OCCIPITAL_L,-0.0928627369510052,0.027993809144953315,[-0.17 -0.01],-0.035181325492690645,0.40600803419339926,[-0.12  0.05],562
TEMPORAL_L/OCCIPITAL_R,-0.09404653808056226,0.026047090869904574,[-0.18 -0.01],-0.041281088036517505,0.32949987356435895,[-0.12  0.04],562
TEMPORAL_R/PARIETAL_L,-0.10158693819432739,0.016179623051417614,[-0.18 -0.02],-0.06306207163192558,0.1361006287238336,[-0.15  0.02],562
TEMPORAL_R/PARIETAL_R,-0.10665137850661162,0.01155669118722081,[-0.19 -0.02],-0.060842943247446865,0.15045617196940922,[-0.14  0.02],562
TEMPORAL_R/OCCIPITAL_L,-0.09396149267591924,0.026182946061645306,[-0.18 -0.01],-0.03504901933826356,0.40777682617780286,[-0.12  0.05],562
TEMPORAL_R/OCCIPITAL_R,-0.09550100254414366,0.02381602343365029,[-0.18 -0.01],-0.03805311999807894,0.36875140785623295,[-0.12  0.04],562
PARIETAL_L/PARIETAL_R,-0.10002225632573669,0.0179034121443379,[-0.18 -0.02],-0.058251824624115885,0.16864253173086788,[-0.14  0.02],562
PARIETAL_L/OCCIPITAL_L,-0.09670385315832838,0.02209773753529228,[-0.18 -0.01],-0.03940595928569742,0.35196059624330167,[-0.12  0.04],562
PARIETAL_L/OCCIPITAL_R,-0.09332101913759401,0.02722582496959522,[-0.17 -0.01],-0.03865645266191095,0.36120261268636455,[-0.12  0.04],562
PARIETAL_R/OCCIPITAL_L,-0.0893789274174049,0.03446413028676971,[-0.17 -0.01],-0.024119327821069673,0.5689659964226784,[-0.11  0.06],562
PARIETAL_R/OCCIPITAL_R,-0.09232666286097234,0.028915722182127134,[-0.17 -0.01],-0.029999563076084732,0.4786395083548679,[-0.11  0.05],562
OCCIPITAL_L/OCCIPITAL_R,-0.08783307030102432,0.03772016512109206,[-0.17 -0.01],-0.026839043744951958,0.5261965211692506,[-0.11  0.06],562
