region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.06611442346006603,0.13479899064724207,[-0.02  0.15],0.04909340343705233,0.2670429433759965,[-0.04  0.14],515
FRONTAL_L/TEMPORAL_L,0.06061014336404781,0.1704680933861395,[-0.03  0.15],0.02587639648652844,0.5587119573106976,[-0.06  0.11],515
FRONTAL_L/TEMPORAL_R,0.08082225937919862,0.06738286437030945,[-0.01  0.17],0.04089764446864378,0.3552580499281408,[-0.05  0.13],515
FRONTAL_L/PARIETAL_L,0.06399457330561974,0.14778676147986194,[-0.02  0.15],0.027640962600997028,0.5322032611225875,[-0.06  0.11],515
FRONTAL_L/PARIETAL_R,0.08246667075267866,0.06197802272863182,[-0.    0.17],0.050871658684002084,0.2500813087744183,[-0.04  0.14],515
FRONTAL_L/OCCIPITAL_L,0.06461027631995547,0.14391993572457415,[-0.02  0.15],0.04613317188099114,0.29699467384948186,[-0.04  0.13],515
FRONTAL_L/OCCIPITAL_R,0.06261556444358686,0.1567340037675084,[-0.02  0.15],0.04509465321887703,0.3080137628286489,[-0.04  0.13],515
FRONTAL_R/TEMPORAL_L,0.07315682258604546,0.09789567760730686,[-0.01  0.16],0.05406610447552444,0.22152711011373546,[-0.03  0.14],515
FRONTAL_R/TEMPORAL_R,0.06361243506523641,0.15022622798206609,[-0.02  0.15],0.050097743400531136,0.2573686711176675,[-0.04  0.14],515
FRONTAL_R/PARIETAL_L,0.06817581834847344,0.12303074129648583,[-0.02  0.15],0.04147831196124823,0.3484628723328844,[-0.05  0.13],515
FRONTAL_R/PARIETAL_R,0.06355069068427503,0.15062324394114382,[-0.02  0.15],0.04934008229422005,0.2646440285983103,[-0.04  0.14],515
FRONTAL_R/OCCIPITAL_L,0.051740382805095325,0.24207384272253568,[-0.03  0.14],0.015207602748974357,0.7311288564464987,[-0.07  0.1 ],515
FRONTAL_R/OCCIPITAL_R,0.0744010945159013,0.09230332234678001,[-0.01  0.16],0.05416567484472618,0.22067615047227693,[-0.03  0.14],515
TEMPORAL_L/TEMPORAL_R,0.07826387960969014,0.0765555209939269,[-0.01  0.16],0.058735956604153934,0.18409818855409563,[-0.03  0.14],515
TEMPORAL_L/PARIETAL_L,0.07370943863439267,0.09537950704714963,[-0.01  0.16],0.02941867821388797,0.5061547863589373,[-0.06  0.12],515
TEMPORAL_L/PARIETAL_R,0.07474099861772465,0.09082096540755483,[-0.01  0.16],0.05669221744864181,0.19986037644365048,[-0.03  0.14],515
TEMPORAL_L/OCCIPITAL_L,0.07134297379041232,0.10652779609408279,[-0.02  0.16],0.06550928811823642,0.138413390912662,[-0.02  0.15],515
TEMPORAL_L/OCCIPITAL_R,0.06842310325268776,0.12167449823316177,[-0.02  0.15],0.05070899261748478,0.25160095493197965,[-0.04  0.14],515
TEMPORAL_R/PARIETAL_L,0.07592885428048293,0.08578996021457107,[-0.01  0.16],0.05187793643275911,0.2408226236116927,[-0.03  0.14],515
TEMPORAL_R/PARIETAL_R,0.08426671177368104,0.05647697527483428,[-0.    0.17],0.058139884987768266,0.18859744802845885,[-0.03  0.14],515
TEMPORAL_R/OCCIPITAL_L,0.07750661599290483,0.07945740154457076,[-0.01  0.16],0.061441106736188376,0.1646719760811856,[-0.03  0.15],515
TEMPORAL_R/OCCIPITAL_R,0.06889638355197189,0.1191113077112428,[-0.02  0.15],0.048059504702332424,0.277259395973051,[-0.04  0.13],515
PARIETAL_L/PARIETAL_R,0.06968448493799863,0.11493696957580594,[-0.02  0.16],0.05339326655479599,0.22733887686962315,[-0.03  0.14],515
PARIETAL_L/OCCIPITAL_L,0.07559200525277361,0.08719328067999764,[-0.01  0.16],0.04675371715921915,0.29053744322201924,[-0.04  0.13],515
PARIETAL_L/OCCIPITAL_R,0.06758308404744488,0.12632953256893095,[-0.02  0.15],0.025684181040091472,0.5616377410965948,[-0.06  0.11],515
PARIETAL_R/OCCIPITAL_L,0.06858300649302934,0.12080372749919294,[-0.02  0.15],0.06132238447017151,0.165490903932693,[-0.03  0.15],515
PARIETAL_R/OCCIPITAL_R,0.06685246883610908,0.13048970146995223,[-0.02  0.15],0.054777925039931875,0.2154950115185244,[-0.03  0.14],515
OCCIPITAL_L/OCCIPITAL_R,0.06728501936512718,0.12801412169347717,[-0.02  0.15],0.03262001082755883,0.46098798547377173,[-0.05  0.12],515
