region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.059108631128696756,0.15089096758128195,[-0.14  0.02],-0.05337302229140922,0.1946995176921482,[-0.13  0.03],594
FRONTAL_L/TEMPORAL_L,-0.059764961830944895,0.14639893745427407,[-0.14  0.02],-0.041764570703402434,0.3103581549905495,[-0.12  0.04],594
FRONTAL_L/TEMPORAL_R,-0.06436591640177224,0.1177229912218538,[-0.14  0.02],-0.06227890552797134,0.13013289537307374,[-0.14  0.02],594
FRONTAL_L/PARIETAL_L,-0.06125632377935143,0.13657196143216607,[-0.14  0.02],-0.053822553163246196,0.190961696440678,[-0.13  0.03],594
FRONTAL_L/PARIETAL_R,-0.06815496294670771,0.09757938519145266,[-0.15  0.01],-0.06495542724286525,0.1143908839607686,[-0.14  0.02],594
FRONTAL_L/OCCIPITAL_L,-0.066270917172612,0.10722241309842379,[-0.15  0.01],-0.06804597251146416,0.09811770846736247,[-0.15  0.01],594
FRONTAL_L/OCCIPITAL_R,-0.06251239078571046,0.12869616219927868,[-0.14  0.02],-0.05745671911019108,0.1626599399975659,[-0.14  0.02],594
FRONTAL_R/TEMPORAL_L,-0.060321709666120625,0.1426690905344858,[-0.14  0.02],-0.06251716598158578,0.12866690722906082,[-0.14  0.02],594
FRONTAL_R/TEMPORAL_R,-0.06442659843832875,0.11737652788586908,[-0.14  0.02],-0.0593108611856764,0.14949584327127916,[-0.14  0.02],594
FRONTAL_R/PARIETAL_L,-0.05875827027449445,0.15333139640189936,[-0.14  0.02],-0.05791510288166867,0.15932705632838537,[-0.14  0.02],594
FRONTAL_R/PARIETAL_R,-0.07901222537436699,0.05468231629445562,[-0.16  0.  ],-0.0827115931419067,0.044256378931855966,[-0.16 -0.  ],594
FRONTAL_R/OCCIPITAL_L,-0.06492239293352287,0.11457562501187919,[-0.14  0.02],-0.07463454089948715,0.0695807598173947,[-0.15  0.01],594
FRONTAL_R/OCCIPITAL_R,-0.060096262492100164,0.14417057736915412,[-0.14  0.02],-0.05942487272736842,0.14871365145972257,[-0.14  0.02],594
TEMPORAL_L/TEMPORAL_R,-0.06130011993144763,0.13629124689890967,[-0.14  0.02],-0.047004403562477926,0.25350368231515336,[-0.13  0.03],594
TEMPORAL_L/PARIETAL_L,-0.05371338461884744,0.19186454606010622,[-0.13  0.03],-0.045100352560544316,0.273263848379087,[-0.13  0.04],594
TEMPORAL_L/PARIETAL_R,-0.05590864901634573,0.17430388643478276,[-0.14  0.02],-0.03962524101934964,0.3358165570621874,[-0.12  0.04],594
TEMPORAL_L/OCCIPITAL_L,-0.05870221446861249,0.1537246143770063,[-0.14  0.02],-0.04217474816971817,0.3056261105192524,[-0.12  0.04],594
TEMPORAL_L/OCCIPITAL_R,-0.06821490165656546,0.09728434216013473,[-0.15  0.01],-0.06256708662174468,0.1283613797649127,[-0.14  0.02],594
TEMPORAL_R/PARIETAL_L,-0.05884360005124772,0.15273429391984775,[-0.14  0.02],-0.0425295271488648,0.3015718686603138,[-0.12  0.04],594
TEMPORAL_R/PARIETAL_R,-0.061258973515541694,0.1365549651219174,[-0.14  0.02],-0.06357809253123245,0.12229406243335392,[-0.14  0.02],594
TEMPORAL_R/OCCIPITAL_L,-0.050667534763701345,0.21833052669690292,[-0.13  0.03],-0.03185397722226222,0.4391679873111578,[-0.11  0.05],594
TEMPORAL_R/OCCIPITAL_R,-0.06621369817272235,0.1075266506465846,[-0.15  0.01],-0.053549811095318714,0.19322319260375262,[-0.13  0.03],594
PARIETAL_L/PARIETAL_R,-0.07826501018283616,0.057018994116836856,[-0.16  0.  ],-0.08362304069598342,0.04196172336420707,[-0.16 -0.  ],594
PARIETAL_L/OCCIPITAL_L,-0.05108880251099253,0.21452166573006298,[-0.13  0.03],-0.03650232902200692,0.3753167258962976,[-0.12  0.04],594
PARIETAL_L/OCCIPITAL_R,-0.05952447516224303,0.14803286968200216,[-0.14  0.02],-0.048689709944355064,0.23686084768346036,[-0.13  0.03],594
PARIETAL_R/OCCIPITAL_L,-0.059326334188822445,0.14938950534439782,[-0.14  0.02],-0.04132463425151694,0.3154868558316881,[-0.12  0.04],594
PARIETAL_R/OCCIPITAL_R,-0.06890120880511585,0.09395651995562955,[-0.15  0.01],-0.053374109561035915,0.19469041298313006,[-0.13  0.03],594
OCCIPITAL_L/OCCIPITAL_R,-0.04633769205752649,0.26030669825884856,[-0.13  0.03],-0.027843446436638924,0.49893935241081544,[-0.11  0.05],594
