region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.05243188265651605,0.22339453112410912,[-0.03  0.14],0.044885489575763486,0.29735588592372275,[-0.04  0.13],543
FRONTAL_L/TEMPORAL_L,0.052280520074579895,0.22473565838340773,[-0.03  0.14],0.02577471808464693,0.5496948912330142,[-0.06  0.11],543
FRONTAL_L/TEMPORAL_R,0.0701566514412703,0.103093745773297,[-0.01  0.15],0.051141058799806606,0.2350160531808835,[-0.03  0.13],543
FRONTAL_L/PARIETAL_L,0.058133795528414765,0.17696078531768775,[-0.03  0.14],0.041374197554569565,0.3367911898635916,[-0.04  0.13],543
FRONTAL_L/PARIETAL_R,0.0797711784847294,0.06372567939099637,[-0.    0.16],0.06476896090387797,0.13243126285746756,[-0.02  0.15],543
FRONTAL_L/OCCIPITAL_L,0.050336229043018224,0.24247461995261801,[-0.03  0.13],0.03388891250043421,0.4314933525025353,[-0.05  0.12],543
FRONTAL_L/OCCIPITAL_R,0.055947538343361115,0.19383602954243012,[-0.03  0.14],0.04598766689896853,0.28563928681288775,[-0.04  0.13],543
FRONTAL_R/TEMPORAL_L,0.05919097765964153,0.16920332593083684,[-0.03  0.14],0.044739754680703396,0.298928753584679,[-0.04  0.13],543
FRONTAL_R/TEMPORAL_R,0.06122521334374635,0.15499645344586177,[-0.02  0.14],0.04905461946403693,0.2546914453702648,[-0.04  0.13],543
FRONTAL_R/PARIETAL_L,0.04222189339195942,0.326976621191462,[-0.04  0.13],0.021867613805169918,0.6117956475704596,[-0.06  0.11],543
FRONTAL_R/PARIETAL_R,0.06320442562887849,0.1420593256906457,[-0.02  0.15],0.05100797305673761,0.23623808536507226,[-0.03  0.13],543
FRONTAL_R/OCCIPITAL_L,0.07253081171350619,0.09192263588952938,[-0.01  0.16],0.0772323689697908,0.07266872103289287,[-0.01  0.16],543
FRONTAL_R/OCCIPITAL_R,0.06460070976922223,0.13344182889757808,[-0.02  0.15],0.06955156595906122,0.10610649126024342,[-0.01  0.15],543
TEMPORAL_L/TEMPORAL_R,0.06431464334457675,0.13517367519423104,[-0.02  0.15],0.03820241320903893,0.3751682947422068,[-0.05  0.12],543
TEMPORAL_L/PARIETAL_L,0.04544102336639637,0.2914108690727882,[-0.04  0.13],0.013065606204879286,0.7617311425841329,[-0.07  0.1 ],543
TEMPORAL_L/PARIETAL_R,0.06062581337346259,0.15908537022708813,[-0.02  0.14],0.04078603485779792,0.3437107575232117,[-0.04  0.12],543
TEMPORAL_L/OCCIPITAL_L,0.05981589178364254,0.16473901166781071,[-0.02  0.14],0.04685139617331433,0.2766778680549574,[-0.04  0.13],543
TEMPORAL_L/OCCIPITAL_R,0.05090050370627948,0.23722816569053726,[-0.03  0.13],0.02809956237383403,0.5142746021471821,[-0.06  0.11],543
TEMPORAL_R/PARIETAL_L,0.05775555857368998,0.17979947393745577,[-0.03  0.14],0.037493757417444866,0.3840974221129626,[-0.05  0.12],543
TEMPORAL_R/PARIETAL_R,0.06498120031815935,0.13116493354612255,[-0.02  0.15],0.04124551878123783,0.3382973728714014,[-0.04  0.13],543
TEMPORAL_R/OCCIPITAL_L,0.05697543914710278,0.18576065041971265,[-0.03  0.14],0.05258243291908868,0.22206627443991367,[-0.03  0.14],543
TEMPORAL_R/OCCIPITAL_R,0.06377270389641501,0.13850199419294482,[-0.02  0.15],0.05090749233326927,0.23716369298359116,[-0.03  0.13],543
PARIETAL_L/PARIETAL_R,0.061653027501622604,0.15212706716564914,[-0.02  0.15],0.04049891554831,0.34712128533383557,[-0.04  0.12],543
PARIETAL_L/OCCIPITAL_L,0.048551154042887804,0.25960554668877,[-0.04  0.13],0.025261499198460536,0.5576725803845076,[-0.06  0.11],543
PARIETAL_L/OCCIPITAL_R,0.04838059151377379,0.261285081689832,[-0.04  0.13],0.030840773628449086,0.4740844748377654,[-0.05  0.11],543
PARIETAL_R/OCCIPITAL_L,0.0681098030206928,0.1135657504900304,[-0.02  0.15],0.0477821858464858,0.26723677573674876,[-0.04  0.13],543
PARIETAL_R/OCCIPITAL_R,0.0723307480503114,0.09282491370632517,[-0.01  0.16],0.059033815802663314,0.17034018363318554,[-0.03  0.14],543
OCCIPITAL_L/OCCIPITAL_R,0.09169948222566901,0.032970957898653036,[0.01 0.17],0.10001893634084524,0.019973916901789013,[0.02 0.18],543
