region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.0649954691402628,0.4920570342951376,[-0.25  0.12],-0.06678832452199046,0.4801668648475108,[-0.25  0.12],116
FRONTAL_L/TEMPORAL_L,-0.06500211799095376,0.49201265329893984,[-0.25  0.12],-0.07761845542146119,0.4117348753624466,[-0.26  0.11],116
FRONTAL_L/TEMPORAL_R,-0.07570357800958041,0.4234010056557077,[-0.26  0.11],-0.07545169073086037,0.42494966986665705,[-0.26  0.11],116
FRONTAL_L/PARIETAL_L,-0.0864154620799787,0.36060757648660746,[-0.27  0.1 ],-0.08788462328796807,0.352469211634336,[-0.27  0.1 ],116
FRONTAL_L/PARIETAL_R,-0.06686685211063134,0.4796496285150269,[-0.25  0.12],-0.04371320846626047,0.6442200530207811,[-0.23  0.14],116
FRONTAL_L/OCCIPITAL_L,-0.07065895304925854,0.4550325946033781,[-0.25  0.11],-0.052273139370945576,0.580707641335394,[-0.23  0.13],116
FRONTAL_L/OCCIPITAL_R,-0.09602634811790618,0.3094710773346678,[-0.28  0.09],-0.1129826450257264,0.23135852349732422,[-0.29  0.07],116
FRONTAL_R/TEMPORAL_L,-0.0863600310202054,0.3609168946646565,[-0.27  0.1 ],-0.12840637343729633,0.17334335260915396,[-0.31  0.06],116
FRONTAL_R/TEMPORAL_R,-0.0888066075967123,0.34742095891998104,[-0.27  0.1 ],-0.1338811332302568,0.15557636207393874,[-0.31  0.05],116
FRONTAL_R/PARIETAL_L,-0.08864675734489219,0.3482929391587233,[-0.27  0.1 ],-0.13186668614814231,0.1619480405535698,[-0.31  0.05],116
FRONTAL_R/PARIETAL_R,-0.09499488152121797,0.31472082438655263,[-0.27  0.09],-0.08839790267555728,0.34965316536815094,[-0.27  0.1 ],116
FRONTAL_R/OCCIPITAL_L,-0.10676568426589107,0.2582160403513617,[-0.29  0.08],-0.13883445418227455,0.14070945537586804,[-0.31  0.05],116
FRONTAL_R/OCCIPITAL_R,-0.09540135752925394,0.31264517159042765,[-0.27  0.09],-0.10760956559840358,0.2544503920028901,[-0.29  0.08],116
TEMPORAL_L/TEMPORAL_R,-0.09470348670531092,0.3162143065555331,[-0.27  0.09],-0.1280263232510861,0.1746300661264721,[-0.3   0.06],116
TEMPORAL_L/PARIETAL_L,-0.1095956442031169,0.245737196634776,[-0.29  0.08],-0.14420717325591945,0.12582980119309783,[-0.32  0.04],116
TEMPORAL_L/PARIETAL_R,-0.054200866307247755,0.5668136765452934,[-0.24  0.13],-0.046014240091641644,0.6268672944120364,[-0.23  0.14],116
TEMPORAL_L/OCCIPITAL_L,-0.1155379350824643,0.22090824592143585,[-0.29  0.07],-0.15966050261513745,0.0897299675367474,[-0.33  0.02],116
TEMPORAL_L/OCCIPITAL_R,-0.13494758522457448,0.1522801133332144,[-0.31  0.05],-0.18936178232944953,0.04360751251744737,[-0.36 -0.01],116
TEMPORAL_R/PARIETAL_L,-0.08829108242524449,0.35023805803774144,[-0.27  0.1 ],-0.13609696697445073,0.14878656068569146,[-0.31  0.05],116
TEMPORAL_R/PARIETAL_R,-0.06255801028505953,0.5084688170270686,[-0.24  0.12],-0.06748372218151548,0.47559695013106307,[-0.25  0.12],116
TEMPORAL_R/OCCIPITAL_L,-0.1011638309671665,0.2841781106940889,[-0.28  0.08],-0.13098310190651105,0.16480332908574555,[-0.31  0.05],116
TEMPORAL_R/OCCIPITAL_R,-0.11612724237294139,0.2185463172281067,[-0.29  0.07],-0.15653031344142737,0.09628511733364041,[-0.33  0.03],116
PARIETAL_L/PARIETAL_R,-0.052432265454538184,0.5795548154530773,[-0.23  0.13],-0.03733168726097851,0.6933314299981206,[-0.22  0.15],116
PARIETAL_L/OCCIPITAL_L,-0.07987677962837968,0.3982210381431065,[-0.26  0.11],-0.12474544800911389,0.18603156878265156,[-0.3   0.06],116
PARIETAL_L/OCCIPITAL_R,-0.1012951461650238,0.28355025437499204,[-0.28  0.08],-0.12512187174698447,0.18469653926684546,[-0.3   0.06],116
PARIETAL_R/OCCIPITAL_L,-0.07864849438465123,0.405538120980087,[-0.26  0.11],-0.07507371118370638,0.42727969423560963,[-0.26  0.11],116
PARIETAL_R/OCCIPITAL_R,-0.11033003983732394,0.2425681988573679,[-0.29  0.08],-0.11797533460449616,0.21125544862122209,[-0.3   0.07],116
OCCIPITAL_L/OCCIPITAL_R,-0.08938686502318663,0.34426719192768007,[-0.27  0.1 ],-0.09133586346129195,0.3338066372626163,[-0.27  0.09],116
