region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.03328905034828444,0.426014000509106,[-0.05  0.11],0.037105734784093354,0.37488622868057797,[-0.04  0.12],576
FRONTAL_L/TEMPORAL_L,0.05191818249330292,0.21423749355176847,[-0.03  0.13],0.053309793284236705,0.20219080826188954,[-0.03  0.13],576
FRONTAL_L/TEMPORAL_R,0.03596085863204198,0.3898105421881142,[-0.05  0.12],0.03070761443664467,0.46278323966733836,[-0.05  0.11],576
FRONTAL_L/PARIETAL_L,0.05350190685011567,0.20056721960105672,[-0.03  0.13],0.04933273187831264,0.23797222273559476,[-0.03  0.13],576
FRONTAL_L/PARIETAL_R,0.013451963671468895,0.7477571478967968,[-0.07  0.1 ],0.009117471318047323,0.8274544767183039,[-0.07  0.09],576
FRONTAL_L/OCCIPITAL_L,0.038600913546242725,0.35593412316346273,[-0.04  0.12],0.04183770788720498,0.3170137689202943,[-0.04  0.12],576
FRONTAL_L/OCCIPITAL_R,0.03405795590262633,0.41539969438485624,[-0.05  0.12],0.030525926753165483,0.46543598250546336,[-0.05  0.11],576
FRONTAL_R/TEMPORAL_L,0.007293663022285184,0.8615785060691843,[-0.07  0.09],0.013407216897868177,0.7485678939568872,[-0.07  0.1 ],576
FRONTAL_R/TEMPORAL_R,0.008128444989461163,0.8459234540446747,[-0.07  0.09],-0.004677542844843588,0.9109643198994135,[-0.09  0.08],576
FRONTAL_R/PARIETAL_L,0.02303953375661918,0.5817311252858814,[-0.06  0.1 ],0.01642463170263089,0.6945596142071421,[-0.07  0.1 ],576
FRONTAL_R/PARIETAL_R,-0.007134462783128027,0.8645704264119359,[-0.09  0.07],-0.007232210487929642,0.86273317836159,[-0.09  0.07],576
FRONTAL_R/OCCIPITAL_L,0.03511621515015843,0.4010487196001101,[-0.05  0.12],0.033925289376716905,0.4172198759546969,[-0.05  0.12],576
FRONTAL_R/OCCIPITAL_R,0.0024549338041898404,0.9532006894435344,[-0.08  0.08],0.0025246710979088373,0.9518728486388885,[-0.08  0.08],576
TEMPORAL_L/TEMPORAL_R,0.02730729466459598,0.513800193130354,[-0.05  0.11],0.02690334892341149,0.520049047132404,[-0.06  0.11],576
TEMPORAL_L/PARIETAL_L,0.025571625092535705,0.5409235080540253,[-0.06  0.11],0.025797745436850903,0.5373499027309384,[-0.06  0.11],576
TEMPORAL_L/PARIETAL_R,0.04628952658997113,0.26820994993586145,[-0.04  0.13],0.055447229791957584,0.1846588941631468,[-0.03  0.14],576
TEMPORAL_L/OCCIPITAL_L,0.05642068117157889,0.17705697668994558,[-0.03  0.14],0.06269463416454056,0.133547453805194,[-0.02  0.14],576
TEMPORAL_L/OCCIPITAL_R,0.04704210487513223,0.2604979831246664,[-0.03  0.13],0.049553403597025675,0.23587692932754728,[-0.03  0.13],576
TEMPORAL_R/PARIETAL_L,0.03501499281120871,0.4024084066345549,[-0.05  0.12],0.03820117450231526,0.3609410108440515,[-0.04  0.12],576
TEMPORAL_R/PARIETAL_R,0.0004885662874630749,0.990681158824767,[-0.08  0.08],0.011521957263490893,0.7829675624236037,[-0.07  0.09],576
TEMPORAL_R/OCCIPITAL_L,0.026832113286419254,0.521155069671901,[-0.06  0.11],0.020112214491454457,0.6306212191672953,[-0.06  0.1 ],576
TEMPORAL_R/OCCIPITAL_R,0.02745440442505948,0.511534191828949,[-0.05  0.11],0.027210237990548065,0.5152980503050214,[-0.05  0.11],576
PARIETAL_L/PARIETAL_R,0.038704868233625,0.35463924143164693,[-0.04  0.12],0.04226836042794105,0.31205364463497226,[-0.04  0.12],576
PARIETAL_L/OCCIPITAL_L,0.048607268933516426,0.24495280421816676,[-0.03  0.13],0.03586759021802282,0.3910420361015876,[-0.05  0.12],576
PARIETAL_L/OCCIPITAL_R,0.04619623707834046,0.26917671072104665,[-0.04  0.13],0.026331908814605672,0.5289552439415349,[-0.06  0.11],576
PARIETAL_R/OCCIPITAL_L,0.015201193008636048,0.7162898234277713,[-0.07  0.1 ],0.010883378721776416,0.794719895780394,[-0.07  0.09],576
PARIETAL_R/OCCIPITAL_R,0.024727508469107606,0.5543676824993495,[-0.06  0.11],0.026456353244829523,0.5270091381074808,[-0.06  0.11],576
OCCIPITAL_L/OCCIPITAL_R,0.026177980803481278,0.5317268814966519,[-0.06  0.11],0.03348164439484512,0.4237465625709431,[-0.05  0.12],575
