region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.05870046112004006,0.6050053927073487,[-0.16  0.27],0.05356500806149442,0.6369991017183341,[-0.17  0.27],82
FRONTAL_L/TEMPORAL_L,0.05987914564015517,0.5977631005493349,[-0.16  0.28],0.03646085088384511,0.7481422096895737,[-0.18  0.25],82
FRONTAL_L/TEMPORAL_R,0.04528544802728545,0.6899851001493205,[-0.18  0.26],0.05733198788626163,0.6134618470861288,[-0.16  0.27],82
FRONTAL_L/PARIETAL_L,-0.030361714959338083,0.7891988808980284,[-0.25  0.19],-0.06097132382110083,0.5910870309211145,[-0.28  0.16],82
FRONTAL_L/PARIETAL_R,0.09595522725020038,0.39716337373612565,[-0.13  0.31],0.08722794466072309,0.4416680260831385,[-0.14  0.3 ],82
FRONTAL_L/OCCIPITAL_L,0.18603993557569373,0.09848121496044207,[-0.04  0.39],0.20808617470787175,0.06399454023036734,[-0.01  0.41],82
FRONTAL_L/OCCIPITAL_R,0.1310256582539119,0.24666534169192528,[-0.09  0.34],0.1317508600914483,0.24403704529886755,[-0.09  0.34],82
FRONTAL_R/TEMPORAL_L,0.047089251956604246,0.6783025515121929,[-0.17  0.26],-0.024776118458150063,0.8273121789067048,[-0.24  0.2 ],82
FRONTAL_R/TEMPORAL_R,0.0452699730168944,0.6900856447932104,[-0.18  0.26],0.055679994313633505,0.6237378241644802,[-0.17  0.27],82
FRONTAL_R/PARIETAL_L,0.07227092337480455,0.5240785245167907,[-0.15  0.29],0.019839376715078693,0.8613364573075628,[-0.2   0.24],82
FRONTAL_R/PARIETAL_R,0.0983089110826708,0.38563148356691146,[-0.12  0.31],0.09797242746426715,0.38726768550618507,[-0.12  0.31],82
FRONTAL_R/OCCIPITAL_L,0.0459471030866125,0.6856912171532332,[-0.18  0.26],0.013140534803764096,0.9079000562023869,[-0.21  0.23],82
FRONTAL_R/OCCIPITAL_R,0.014942041750080544,0.8953405397159071,[-0.21  0.23],-0.024010604004128782,0.8325690235146121,[-0.24  0.2 ],82
TEMPORAL_L/TEMPORAL_R,0.0726962689735824,0.5216328255135514,[-0.15  0.29],0.040008564701923856,0.7245708298655862,[-0.18  0.26],82
TEMPORAL_L/PARIETAL_L,0.03221362232819574,0.7766661092595768,[-0.19  0.25],-0.006143820733332067,0.956865342105768,[-0.23  0.21],82
TEMPORAL_L/PARIETAL_R,0.06810162764168315,0.5483527524927903,[-0.15  0.28],0.05927317756457897,0.6014815811320895,[-0.16  0.28],82
TEMPORAL_L/OCCIPITAL_L,0.09614862006824498,0.39620822485614293,[-0.13  0.31],-0.004295957228431514,0.9698314896911285,[-0.22  0.22],82
TEMPORAL_L/OCCIPITAL_R,0.056747622157283864,0.6170884373870262,[-0.17  0.27],0.011372386589317975,0.9202490205481739,[-0.21  0.23],82
TEMPORAL_R/PARIETAL_L,0.11209998690865818,0.32217546495946753,[-0.11  0.32],0.14291529007829212,0.205993870697847,[-0.08  0.35],82
TEMPORAL_R/PARIETAL_R,0.0993762284244116,0.38046896015433784,[-0.12  0.31],0.08848841836531214,0.4350725680245371,[-0.13  0.3 ],82
TEMPORAL_R/OCCIPITAL_L,0.07751764073365983,0.49431862901365,[-0.14  0.29],0.10446464630663235,0.3564340711356101,[-0.12  0.32],82
TEMPORAL_R/OCCIPITAL_R,0.12247057761037834,0.27914137237641534,[-0.1   0.33],0.11208848991263252,0.32222541104739766,[-0.11  0.32],82
PARIETAL_L/PARIETAL_R,0.06083174857852042,0.5919383252147399,[-0.16  0.28],0.07997689385000609,0.4806810566318559,[-0.14  0.29],82
PARIETAL_L/OCCIPITAL_L,0.07579526938722747,0.50398932253927,[-0.15  0.29],0.05892117298639488,0.6036463211003662,[-0.16  0.28],82
PARIETAL_L/OCCIPITAL_R,0.000869407071799815,0.9938931895254122,[-0.22  0.22],-0.027045552151634827,0.8117731918946965,[-0.25  0.19],82
PARIETAL_R/OCCIPITAL_L,0.03436120009764214,0.7622036557755034,[-0.19  0.25],0.029187553127196845,0.797173034081086,[-0.19  0.25],82
PARIETAL_R/OCCIPITAL_R,0.07952126557831132,0.48319243331758055,[-0.14  0.29],0.060928769070698406,0.5913465214322712,[-0.16  0.28],82
OCCIPITAL_L/OCCIPITAL_R,0.04610108704890849,0.6846933413889602,[-0.18  0.26],-0.022330715911561032,0.8441303975258185,[-0.24  0.2 ],82
