region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.22211190961103489,0.047684192924151346,[-0.42 -0.  ],-0.12617595689732755,0.2647414042698384,[-0.34  0.1 ],82
FRONTAL_L/TEMPORAL_L,-0.15762944084678146,0.1625825709418716,[-0.36  0.06],-0.09765133734131158,0.3888328986184628,[-0.31  0.12],82
FRONTAL_L/TEMPORAL_R,-0.15516439237965374,0.16933937604604674,[-0.36  0.07],-0.03280827181126171,0.7726537153384261,[-0.25  0.19],82
FRONTAL_L/PARIETAL_L,-0.14854114447175965,0.18851302938748135,[-0.36  0.07],-0.0672500667376696,0.5533767789513242,[-0.28  0.15],82
FRONTAL_L/PARIETAL_R,-0.15945941559837515,0.15769703302541319,[-0.37  0.06],0.004761622750003375,0.9665631233129871,[-0.22  0.22],82
FRONTAL_L/OCCIPITAL_L,-0.3056210278988245,0.005836508933606293,[-0.49 -0.09],-0.21427240381192758,0.056316458434998766,[-0.41  0.01],82
FRONTAL_L/OCCIPITAL_R,-0.24055679278167608,0.03160169747584196,[-0.44 -0.02],-0.1523438043132568,0.17732148595113892,[-0.36  0.07],82
FRONTAL_R/TEMPORAL_L,-0.07424348496824326,0.5127853003078022,[-0.29  0.15],0.03743556214397215,0.7416420326324272,[-0.18  0.26],82
FRONTAL_R/TEMPORAL_R,-0.18518609491501334,0.10006383879654221,[-0.39  0.04],-0.062488144977242706,0.5818714861872583,[-0.28  0.16],82
FRONTAL_R/PARIETAL_L,-0.1237043609184859,0.27428972522273976,[-0.33  0.1 ],-0.0317891591726447,0.7795337570203035,[-0.25  0.19],82
FRONTAL_R/PARIETAL_R,-0.1934279208655745,0.08559267410297028,[-0.4   0.03],-0.10582787136989653,0.35015794658719634,[-0.32  0.12],82
FRONTAL_R/OCCIPITAL_L,-0.13453445487006846,0.23412805310006618,[-0.34  0.09],-0.06593485734207315,0.5611794205604802,[-0.28  0.16],82
FRONTAL_R/OCCIPITAL_R,-0.09947987112265075,0.3799698770820732,[-0.31  0.12],0.017774974057982885,0.8756433644281157,[-0.2   0.24],82
TEMPORAL_L/TEMPORAL_R,-0.11566984021080738,0.3069067493065997,[-0.33  0.11],-0.0075167424038665425,0.9472388364345989,[-0.23  0.21],82
TEMPORAL_L/PARIETAL_L,-0.09775190675428043,0.3883422487562047,[-0.31  0.12],-0.03796496273013581,0.7381190810622743,[-0.26  0.18],82
TEMPORAL_L/PARIETAL_R,-0.11561955654416767,0.3071184998718891,[-0.33  0.11],-0.02746409024657155,0.8089151627414272,[-0.25  0.19],82
TEMPORAL_L/OCCIPITAL_L,-0.06646187943122893,0.5580465360352549,[-0.28  0.16],-0.027905466312810833,0.8059038886427251,[-0.25  0.19],82
TEMPORAL_L/OCCIPITAL_R,-0.10508616495725404,0.35356409956611123,[-0.32  0.12],-0.008954094491130117,0.9371686746243219,[-0.23  0.21],82
TEMPORAL_R/PARIETAL_L,-0.18246064059902808,0.10524887256509838,[-0.39  0.04],-0.12576328186188346,0.2663198342592136,[-0.34  0.1 ],82
TEMPORAL_R/PARIETAL_R,-0.15371945987290644,0.17339479352293694,[-0.36  0.07],-0.06558592539731753,0.5632582287329817,[-0.28  0.16],82
TEMPORAL_R/OCCIPITAL_L,-0.0606785008668448,0.5928736455368229,[-0.28  0.16],0.03298851263806058,0.7714387121542154,[-0.19  0.25],82
TEMPORAL_R/OCCIPITAL_R,-0.1039080723188684,0.35901633201638083,[-0.32  0.12],-0.011251772160121127,0.9210921276399194,[-0.23  0.21],82
PARIETAL_L/PARIETAL_R,-0.11776212568632444,0.2981799606688913,[-0.33  0.1 ],-0.03687583220199803,0.7453725960896487,[-0.25  0.18],82
PARIETAL_L/OCCIPITAL_L,-0.15574039184764896,0.16774234556156858,[-0.36  0.07],-0.1179844220449125,0.2972624253026637,[-0.33  0.1 ],82
PARIETAL_L/OCCIPITAL_R,-0.08780486977564675,0.4386423098419071,[-0.3   0.13],0.0015017920839852116,0.9894514483082145,[-0.22  0.22],82
PARIETAL_R/OCCIPITAL_L,-0.11404698732636648,0.3137886447975396,[-0.33  0.11],-0.061013169147768,0.5908319164144402,[-0.28  0.16],82
PARIETAL_R/OCCIPITAL_R,-0.1692874507110143,0.13330892662295019,[-0.38  0.05],-0.10619695103554563,0.3484706472338631,[-0.32  0.12],82
OCCIPITAL_L/OCCIPITAL_R,-0.07189916498734554,0.5262208120050209,[-0.29  0.15],-0.03862124004781364,0.7337592978751721,[-0.26  0.18],82
