region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.15515553666942122,0.16936401658448147,[-0.36  0.07],-0.17873481540792152,0.11267245385547313,[-0.38  0.04],82
FRONTAL_L/TEMPORAL_L,-0.09362823532325136,0.40876258969904944,[-0.31  0.13],-0.14539828362895102,0.19814139605574502,[-0.35  0.08],82
FRONTAL_L/TEMPORAL_R,-0.06043780722479922,0.5943440159616766,[-0.28  0.16],-0.08631654020380838,0.446471732164895,[-0.3   0.14],82
FRONTAL_L/PARIETAL_L,-0.1744424878569849,0.12171939062035167,[-0.38  0.05],-0.21435603443476922,0.056218057370202947,[-0.41  0.01],82
FRONTAL_L/PARIETAL_R,-0.0067252569585978675,0.9527876563550325,[-0.23  0.21],-0.030676437848132173,0.7870651228727099,[-0.25  0.19],82
FRONTAL_L/OCCIPITAL_L,-0.10325446495217466,0.3620634656453636,[-0.32  0.12],-0.1273328810568655,0.2603500745972498,[-0.34  0.1 ],82
FRONTAL_L/OCCIPITAL_R,-0.08207270646841648,0.4692194941520098,[-0.3   0.14],-0.11027759166413748,0.3301542710972578,[-0.32  0.11],82
FRONTAL_R/TEMPORAL_L,9.063456127179021e-05,0.9993633668878679,[-0.22  0.22],-0.05747525527414459,0.612574135178918,[-0.27  0.16],82
FRONTAL_R/TEMPORAL_R,-0.11094633849785887,0.3272119160433268,[-0.32  0.11],-0.14350923360532988,0.20409565621516285,[-0.35  0.08],82
FRONTAL_R/PARIETAL_L,-0.05237835309237052,0.6444901971481211,[-0.27  0.17],-0.04444322084662941,0.6954649999259391,[-0.26  0.18],82
FRONTAL_R/PARIETAL_R,-0.09437052618937285,0.4050412357940345,[-0.31  0.13],-0.1249229690571766,0.2695535235298857,[-0.34  0.1 ],82
FRONTAL_R/OCCIPITAL_L,-0.07765165869589487,0.49357025395570653,[-0.29  0.14],-0.09948907169833834,0.3799255915292914,[-0.31  0.12],82
FRONTAL_R/OCCIPITAL_R,-0.048948497927273134,0.6663397986455203,[-0.27  0.17],-0.08057880304214594,0.47737411440415,[-0.3   0.14],82
TEMPORAL_L/TEMPORAL_R,-0.019299715521892687,0.865072353854109,[-0.24  0.2 ],-0.058904021897206615,0.603751883677357,[-0.28  0.16],82
TEMPORAL_L/PARIETAL_L,-0.06620466897450583,0.5595744820862637,[-0.28  0.16],-0.07810164766258622,0.4910618105923389,[-0.29  0.14],82
TEMPORAL_L/PARIETAL_R,-0.025394175210205275,0.8230734548616407,[-0.24  0.2 ],-0.08214501386353515,0.4688267234251271,[-0.3   0.14],82
TEMPORAL_L/OCCIPITAL_L,0.022662962103072903,0.8418411076398966,[-0.2   0.24],-0.015976766892322365,0.8881381873429655,[-0.23  0.2 ],82
TEMPORAL_L/OCCIPITAL_R,-0.026470532534657126,0.8157037775374417,[-0.24  0.19],-0.04623685561195632,0.683813955856746,[-0.26  0.18],82
TEMPORAL_R/PARIETAL_L,-0.07195120303335861,0.5259206746992837,[-0.29  0.15],-0.1272423237641805,0.26069200850025603,[-0.34  0.1 ],82
TEMPORAL_R/PARIETAL_R,-0.022991938346713543,0.8395756398290202,[-0.24  0.2 ],-0.06292843728363781,0.5792088463812259,[-0.28  0.16],82
TEMPORAL_R/OCCIPITAL_L,0.09879792574607327,0.3832609729205171,[-0.12  0.31],0.08316775723296037,0.46329037540017826,[-0.14  0.3 ],82
TEMPORAL_R/OCCIPITAL_R,0.0601560468993065,0.5960673318178414,[-0.16  0.28],0.042790781155275695,0.7062617124983961,[-0.18  0.26],82
PARIETAL_L/PARIETAL_R,-0.06763758546689004,0.551087761088539,[-0.28  0.15],-0.06445407665704915,0.5700263139642465,[-0.28  0.16],82
PARIETAL_L/OCCIPITAL_L,-0.09642026729419888,0.3948688842318431,[-0.31  0.13],-0.10438244891020375,0.35681470707799134,[-0.32  0.12],82
PARIETAL_L/OCCIPITAL_R,-0.07435512861007369,0.5121498625383651,[-0.29  0.15],-0.06180437730595362,0.5860176094466253,[-0.28  0.16],82
PARIETAL_R/OCCIPITAL_L,-0.04978307969215397,0.6609966594496975,[-0.27  0.17],-0.09414313998346191,0.40617908365706645,[-0.31  0.13],82
PARIETAL_R/OCCIPITAL_R,-0.08640385295452686,0.4460102768508746,[-0.3   0.14],-0.11665759340195019,0.30276643305325746,[-0.33  0.11],82
OCCIPITAL_L/OCCIPITAL_R,-0.03749312456382426,0.7412587186157882,[-0.26  0.18],-0.06414796332323704,0.5718632824132949,[-0.28  0.16],82
