region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.13305346318816794,0.23936468809943948,[-0.34  0.09],-0.15783021469021533,0.16204115495680838,[-0.36  0.06],82
FRONTAL_L/TEMPORAL_L,-0.10959358531124737,0.33318108419006154,[-0.32  0.11],-0.15015200240185933,0.18371133730966385,[-0.36  0.07],82
FRONTAL_L/TEMPORAL_R,-0.14030102722849097,0.21449839697160453,[-0.35  0.08],-0.17878999483148345,0.11255963379049021,[-0.38  0.04],82
FRONTAL_L/PARIETAL_L,-0.15847582169952049,0.1603092259278657,[-0.37  0.06],-0.17789308060053896,0.11440432521748538,[-0.38  0.04],82
FRONTAL_L/PARIETAL_R,-0.1179656755767208,0.2973397304123893,[-0.33  0.1 ],-0.1300265848553443,0.25031796226575226,[-0.34  0.09],82
FRONTAL_L/OCCIPITAL_L,-0.15222580009817982,0.17766131890134645,[-0.36  0.07],-0.1688653213641676,0.1342938283131825,[-0.37  0.05],82
FRONTAL_L/OCCIPITAL_R,-0.15008620187042915,0.1839057203875202,[-0.36  0.07],-0.17861275037538432,0.11292233903431552,[-0.38  0.04],82
FRONTAL_R/TEMPORAL_L,-0.05707000344436431,0.6150865899976816,[-0.27  0.16],-0.10644616528822688,0.3473342000524051,[-0.32  0.12],82
FRONTAL_R/TEMPORAL_R,-0.17940500500599993,0.11130808497769908,[-0.38  0.04],-0.21684435551158765,0.053353891385886414,[-0.42  0.  ],82
FRONTAL_R/PARIETAL_L,-0.11713320056339295,0.3007859072374805,[-0.33  0.11],-0.11921847587630754,0.29220251723930846,[-0.33  0.1 ],82
FRONTAL_R/PARIETAL_R,-0.15722886752122217,0.16366677188061923,[-0.36  0.06],-0.18621054847865712,0.09816734032856604,[-0.39  0.03],82
FRONTAL_R/OCCIPITAL_L,-0.0850823559164868,0.45302293809151895,[-0.3   0.14],-0.10847796266865344,0.33815540505125496,[-0.32  0.11],82
FRONTAL_R/OCCIPITAL_R,-0.05728286817719772,0.6137663301998255,[-0.27  0.16],-0.06423448302124718,0.5713438030256004,[-0.28  0.16],82
TEMPORAL_L/TEMPORAL_R,-0.0899485588946029,0.42750251562151476,[-0.3   0.13],-0.13941547830776846,0.2174347059515805,[-0.35  0.08],82
TEMPORAL_L/PARIETAL_L,-0.13383757955619296,0.236582131039207,[-0.34  0.09],-0.17111437121629708,0.12910950536735147,[-0.38  0.05],82
TEMPORAL_L/PARIETAL_R,-0.12233571231093487,0.27967515583947317,[-0.33  0.1 ],-0.18637298581842118,0.09786923484217223,[-0.39  0.03],82
TEMPORAL_L/OCCIPITAL_L,-0.031162503614402245,0.7837727778428205,[-0.25  0.19],-0.07964127310396185,0.4825302871268322,[-0.29  0.14],82
TEMPORAL_L/OCCIPITAL_R,-0.0731397294020581,0.5190891131812134,[-0.29  0.15],-0.08281389795836575,0.465201844748087,[-0.3   0.14],82
TEMPORAL_R/PARIETAL_L,-0.20495016630692725,0.0681988770678275,[-0.41  0.02],-0.279095791866437,0.012174255257426532,[-0.47 -0.06],82
TEMPORAL_R/PARIETAL_R,-0.14840199852827174,0.1889320189821575,[-0.36  0.07],-0.20518711399025277,0.06787362366555927,[-0.41  0.02],82
TEMPORAL_R/OCCIPITAL_L,-0.002696919133820882,0.9810581084381504,[-0.22  0.22],-0.01993023539768546,0.8607077693912024,[-0.24  0.2 ],82
TEMPORAL_R/OCCIPITAL_R,-0.03748293817113276,0.7413265462600589,[-0.26  0.18],-0.07635662089508109,0.5008267566461431,[-0.29  0.15],82
PARIETAL_L/PARIETAL_R,-0.18319784641999146,0.10382618203838806,[-0.39  0.04],-0.20077666710419656,0.07413652317215397,[-0.4   0.02],82
PARIETAL_L/OCCIPITAL_L,-0.07670697876386309,0.498858136535934,[-0.29  0.15],-0.07126487567694435,0.5298860567444343,[-0.29  0.15],82
PARIETAL_L/OCCIPITAL_R,-0.02093815585451042,0.853739452608031,[-0.24  0.2 ],-0.008269052845361675,0.9419669796807195,[-0.23  0.21],82
PARIETAL_R/OCCIPITAL_L,-0.15254972498521238,0.1767296054022973,[-0.36  0.07],-0.16660006690136542,0.13967354172165367,[-0.37  0.06],82
PARIETAL_R/OCCIPITAL_R,-0.1810020641549118,0.10810835002326288,[-0.39  0.04],-0.19902689927117442,0.0767460816300642,[-0.4   0.02],82
OCCIPITAL_L/OCCIPITAL_R,-0.027784365677891627,0.806729814944902,[-0.25  0.19],-0.06051675634213736,0.59386154452775,[-0.28  0.16],82
