region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.182934923609051,0.10433185222089236,[-0.39  0.04],-0.09609129481495535,0.3964912069460733,[-0.31  0.13],82
FRONTAL_L/TEMPORAL_L,-0.14119920027369093,0.21154898007169062,[-0.35  0.08],-0.1036213817008714,0.3603509394705422,[-0.32  0.12],82
FRONTAL_L/TEMPORAL_R,-0.1788790878479784,0.11237765821998545,[-0.38  0.04],-0.14609312712145825,0.19598291434083362,[-0.35  0.08],82
FRONTAL_L/PARIETAL_L,-0.1307941260121177,0.24750854770644967,[-0.34  0.09],-0.0461895086791835,0.684120578635705,[-0.26  0.18],82
FRONTAL_L/PARIETAL_R,-0.18801704087693,0.09489182672464357,[-0.39  0.03],-0.11324661085294635,0.31721910794496044,[-0.32  0.11],82
FRONTAL_L/OCCIPITAL_L,-0.2758562094089218,0.013258073316475145,[-0.47 -0.06],-0.19681356471882586,0.08015160744031827,[-0.4   0.02],82
FRONTAL_L/OCCIPITAL_R,-0.2257358648256047,0.04407952594660796,[-0.42 -0.01],-0.20117093584050053,0.07355845207994262,[-0.4   0.02],82
FRONTAL_R/TEMPORAL_L,-0.08635477321598917,0.4462696346539019,[-0.3   0.14],-0.033729802147991074,0.7664474881157913,[-0.25  0.19],82
FRONTAL_R/TEMPORAL_R,-0.19552585725954355,0.08218766323922476,[-0.4   0.03],-0.1846552007843636,0.1010578517530165,[-0.39  0.04],82
FRONTAL_R/PARIETAL_L,-0.12707800471982508,0.2613132358707783,[-0.34  0.1 ],-0.10572044646563586,0.35065000787218215,[-0.32  0.12],82
FRONTAL_R/PARIETAL_R,-0.19129830117234356,0.08916250148325665,[-0.39  0.03],-0.16790481202445937,0.13655541406836344,[-0.37  0.05],82
FRONTAL_R/OCCIPITAL_L,-0.11181259753515897,0.3234254486314644,[-0.32  0.11],-0.06746676933975637,0.5520961846153103,[-0.28  0.15],82
FRONTAL_R/OCCIPITAL_R,-0.09516545025769395,0.4010781220420597,[-0.31  0.13],-0.002964330206578198,0.9791803380411888,[-0.22  0.22],82
TEMPORAL_L/TEMPORAL_R,-0.12705768606087914,0.2613901226034557,[-0.34  0.1 ],-0.10056233427616372,0.3747809785974978,[-0.31  0.12],82
TEMPORAL_L/PARIETAL_L,-0.12267829825178962,0.2783205645616907,[-0.33  0.1 ],-0.13193730473164225,0.24336445583726457,[-0.34  0.09],82
TEMPORAL_L/PARIETAL_R,-0.14309547985539667,0.20541666894035052,[-0.35  0.08],-0.1301181091055006,0.2499818160626221,[-0.34  0.09],82
TEMPORAL_L/OCCIPITAL_L,-0.06173973053537957,0.5864102988274043,[-0.28  0.16],-0.087637261719004,0.43952013369198506,[-0.3   0.13],82
TEMPORAL_L/OCCIPITAL_R,-0.10810906131512667,0.33981049239955374,[-0.32  0.11],-0.06119571434695964,0.5897195915148956,[-0.28  0.16],82
TEMPORAL_R/PARIETAL_L,-0.21724416970761207,0.052905031849240086,[-0.42  0.  ],-0.28215476959957697,0.01122237712910931,[-0.47 -0.07],82
TEMPORAL_R/PARIETAL_R,-0.1745097112457183,0.12157353553932497,[-0.38  0.05],-0.22675357575661334,0.04310880623564608,[-0.43 -0.01],82
TEMPORAL_R/OCCIPITAL_L,-0.07047945216467279,0.5344421923395302,[-0.29  0.15],-0.09319566572822242,0.41094037953134366,[-0.31  0.13],82
TEMPORAL_R/OCCIPITAL_R,-0.10433967696169402,0.3570128727571772,[-0.32  0.12],-0.15447616612703766,0.17126219795745082,[-0.36  0.07],82
PARIETAL_L/PARIETAL_R,-0.1529433775896464,0.17560214460520135,[-0.36  0.07],-0.1743862267188247,0.12184156392754869,[-0.38  0.05],82
PARIETAL_L/OCCIPITAL_L,-0.12056284721156585,0.28675522765680656,[-0.33  0.1 ],-0.06772587373058883,0.5505668943413627,[-0.28  0.15],82
PARIETAL_L/OCCIPITAL_R,-0.05288812461193634,0.6412677249431072,[-0.27  0.17],0.03673623386116993,0.7463039267447634,[-0.18  0.25],82
PARIETAL_R/OCCIPITAL_L,-0.14211494258004986,0.20857158482027235,[-0.35  0.08],-0.18607893760509045,0.09840939417075954,[-0.39  0.04],82
PARIETAL_R/OCCIPITAL_R,-0.18083677395060205,0.10843616181593084,[-0.39  0.04],-0.22517924503914574,0.04461805388654112,[-0.42 -0.01],82
OCCIPITAL_L/OCCIPITAL_R,-0.048659647884581596,0.6681929588599207,[-0.27  0.17],-0.05410598507396082,0.6335960078292688,[-0.27  0.17],82
