region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.07076277382226945,0.09434525612817794,[-0.15  0.01],-0.019512489276543973,0.6449694462923647,[-0.1   0.06],562
FRONTAL_L/TEMPORAL_L,-0.0742427341917718,0.07919069687318225,[-0.16  0.01],-0.0309609152754351,0.4646526148604375,[-0.11  0.05],562
FRONTAL_L/TEMPORAL_R,-0.06458761070662947,0.12686027746606468,[-0.15  0.02],-0.026581650345486534,0.5301729403301505,[-0.11  0.06],562
FRONTAL_L/PARIETAL_L,-0.06825086574483644,0.1066613023924884,[-0.15  0.01],-0.04496716743333503,0.28810991367848227,[-0.13  0.04],562
FRONTAL_L/PARIETAL_R,-0.08315943251127626,0.04919218953449229,[-0.16 -0.  ],-0.04710761738883003,0.2657527915210821,[-0.13  0.04],562
FRONTAL_L/OCCIPITAL_L,-0.060579703763635896,0.1522327467830737,[-0.14  0.02],-0.0042599210704648205,0.9198812236063671,[-0.09  0.08],562
FRONTAL_L/OCCIPITAL_R,-0.08462956082426261,0.04530426491633006,[-0.17 -0.  ],-0.024958401923093,0.5555958650729986,[-0.11  0.06],562
FRONTAL_R/TEMPORAL_L,-0.07254745733297159,0.0863065879793935,[-0.15  0.01],-0.029673220562764224,0.48343915537875126,[-0.11  0.05],562
FRONTAL_R/TEMPORAL_R,-0.07373599943437405,0.08126601247925873,[-0.16  0.01],-0.024854975548867637,0.5572356018891383,[-0.11  0.06],562
FRONTAL_R/PARIETAL_L,-0.06370718013553255,0.1321318046700708,[-0.15  0.02],-0.023654080810323056,0.5764448898303316,[-0.11  0.06],562
FRONTAL_R/PARIETAL_R,-0.07022961696258086,0.09685953837720174,[-0.15  0.01],-0.011202726186097476,0.7913786178759306,[-0.09  0.07],562
FRONTAL_R/OCCIPITAL_L,-0.06007020998437995,0.15571644160714843,[-0.14  0.02],-0.007349519445368166,0.8622308400273714,[-0.09  0.08],562
FRONTAL_R/OCCIPITAL_R,-0.07602729113497102,0.07222193355213828,[-0.16  0.01],-0.03692396867296755,0.3831398665893837,[-0.12  0.05],562
TEMPORAL_L/TEMPORAL_R,-0.07206986727739745,0.08840168451119206,[-0.15  0.01],-0.013935401239532151,0.7421172113639778,[-0.1   0.07],562
TEMPORAL_L/PARIETAL_L,-0.0905292048824129,0.032199527439544275,[-0.17 -0.01],-0.05362484059695909,0.20512966956959316,[-0.14  0.03],562
TEMPORAL_L/PARIETAL_R,-0.10884231245968468,0.009949322178440743,[-0.19 -0.03],-0.05974372531167285,0.1579803141386145,[-0.14  0.02],562
TEMPORAL_L/OCCIPITAL_L,-0.059875899338793066,0.15706083110912605,[-0.14  0.02],-0.016991734151287144,0.6882520292393766,[-0.1   0.07],562
TEMPORAL_L/OCCIPITAL_R,-0.07603447430070044,0.07219492957410391,[-0.16  0.01],-0.041052826783136785,0.33218343334788625,[-0.12  0.04],562
TEMPORAL_R/PARIETAL_L,-0.07326526914322966,0.0832331070976146,[-0.16  0.01],-0.02677004700948247,0.5272609450565173,[-0.11  0.06],562
TEMPORAL_R/PARIETAL_R,-0.07845244924591155,0.06356257285327707,[-0.16  0.  ],-0.04196408246237081,0.32155413923288556,[-0.12  0.04],562
TEMPORAL_R/OCCIPITAL_L,-0.06902050039581825,0.10275960989985923,[-0.15  0.01],-0.028311430849024453,0.5037457238377401,[-0.11  0.05],562
TEMPORAL_R/OCCIPITAL_R,-0.06705299496884089,0.11296584856889953,[-0.15  0.02],-0.016404916784804532,0.6984824430924477,[-0.1   0.07],562
PARIETAL_L/PARIETAL_R,-0.07320751271937719,0.08347708790722129,[-0.16  0.01],-0.03082876493422611,0.4665617485970689,[-0.11  0.05],562
PARIETAL_L/OCCIPITAL_L,-0.04265557952660912,0.31363768164337674,[-0.13  0.04],-0.009899238957836818,0.8151860245515463,[-0.09  0.07],562
PARIETAL_L/OCCIPITAL_R,-0.07348935247724012,0.0822919590509613,[-0.16  0.01],-0.036742276582398516,0.38548674301537833,[-0.12  0.05],562
PARIETAL_R/OCCIPITAL_L,-0.07191380034558618,0.08909511728860757,[-0.15  0.01],-0.028466977837804774,0.5014037624111789,[-0.11  0.05],562
PARIETAL_R/OCCIPITAL_R,-0.08043861347127172,0.05712472934965016,[-0.16  0.  ],-0.034637681539443105,0.4133051510117338,[-0.12  0.05],562
OCCIPITAL_L/OCCIPITAL_R,-0.06579459283220256,0.12023325190241439,[-0.15  0.02],-0.002026833479281611,0.9618648202317923,[-0.08  0.08],561
