region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.017965258582049674,0.6626735232257838,[-0.1   0.06],0.009248741836895944,0.8223209703246143,[-0.07  0.09],594
FRONTAL_L/TEMPORAL_L,-0.023213766607552856,0.5729600038422968,[-0.1   0.06],-0.002623751766840682,0.9492060631455376,[-0.08  0.08],594
FRONTAL_L/TEMPORAL_R,-0.03814440724929859,0.354202240936733,[-0.12  0.04],-0.019229963676974195,0.6405431681503393,[-0.1   0.06],594
FRONTAL_L/PARIETAL_L,-0.03985084537054232,0.3330702758006058,[-0.12  0.04],-0.028397699709367598,0.49043029423513085,[-0.11  0.05],594
FRONTAL_L/PARIETAL_R,-0.06368501075385248,0.12166571333004776,[-0.14  0.02],-0.0575225808100258,0.16217786172702722,[-0.14  0.02],594
FRONTAL_L/OCCIPITAL_L,-0.039166183592950626,0.3414494141763297,[-0.12  0.04],-0.020121385309846973,0.6251325850588623,[-0.1   0.06],594
FRONTAL_L/OCCIPITAL_R,-0.0394581520654489,0.33785987511527027,[-0.12  0.04],-0.023863455962575768,0.5622664871345273,[-0.1   0.06],594
FRONTAL_R/TEMPORAL_L,-0.08383210790247847,0.04144977846756939,[-0.16 -0.  ],-0.07814560013039777,0.05739998091834614,[-0.16  0.  ],594
FRONTAL_R/TEMPORAL_R,-0.04385975045138839,0.28668995829665617,[-0.12  0.04],-0.0344875460901991,0.4022588311282628,[-0.11  0.05],594
FRONTAL_R/PARIETAL_L,-0.07883065347324988,0.055242669244496105,[-0.16  0.  ],-0.08285299374599384,0.043893614178169296,[-0.16 -0.  ],594
FRONTAL_R/PARIETAL_R,-0.06779641315885158,0.09935923952141944,[-0.15  0.01],-0.06005212602945289,0.14446593712588562,[-0.14  0.02],594
FRONTAL_R/OCCIPITAL_L,-0.059448334690406654,0.14855307485436775,[-0.14  0.02],-0.050991528044526536,0.21539689382896177,[-0.13  0.03],594
FRONTAL_R/OCCIPITAL_R,-0.0654031338916612,0.1119101255616348,[-0.15  0.02],-0.06706761492874287,0.10305660541439315,[-0.15  0.01],594
TEMPORAL_L/TEMPORAL_R,-0.0377390292363813,0.3593438732353639,[-0.12  0.04],-0.023036273054725744,0.5758980983584872,[-0.1   0.06],594
TEMPORAL_L/PARIETAL_L,-0.056417142874686375,0.17041264521271907,[-0.14  0.02],-0.04314209537123222,0.2946561711887676,[-0.12  0.04],594
TEMPORAL_L/PARIETAL_R,-0.0555915493385285,0.1767637662772001,[-0.14  0.03],-0.03139684139488233,0.44576669120356116,[-0.11  0.05],594
TEMPORAL_L/OCCIPITAL_L,-0.03981214106206363,0.33354039281462533,[-0.12  0.04],-0.026605314783855343,0.5182266088574097,[-0.11  0.05],594
TEMPORAL_L/OCCIPITAL_R,-0.04960020820066207,0.2281970271332077,[-0.13  0.03],-0.034928743993759136,0.3962621817332793,[-0.12  0.05],594
TEMPORAL_R/PARIETAL_L,-0.04163795608269572,0.311828547250998,[-0.12  0.04],-0.022381188767219253,0.5868028274351266,[-0.1   0.06],594
TEMPORAL_R/PARIETAL_R,-0.06642342997058942,0.1064148136226594,[-0.15  0.01],-0.062345047389175415,0.12972464190815894,[-0.14  0.02],594
TEMPORAL_R/OCCIPITAL_L,-0.04121008175561629,0.31724216435798797,[-0.12  0.04],-0.038845107327025306,0.34583427536495237,[-0.12  0.04],593
TEMPORAL_R/OCCIPITAL_R,-0.03573449141248033,0.38545057042368724,[-0.12  0.04],-0.03268711057107787,0.427286869605349,[-0.11  0.05],594
PARIETAL_L/PARIETAL_R,-0.0552714390101035,0.17927307846578183,[-0.14  0.03],-0.03962406290864314,0.3358309362553059,[-0.12  0.04],594
PARIETAL_L/OCCIPITAL_L,-0.049959135037490464,0.22484431320235795,[-0.13  0.03],-0.039289427773987765,0.33993125774431887,[-0.12  0.04],594
PARIETAL_L/OCCIPITAL_R,-0.04601603416793741,0.2636335078574884,[-0.13  0.03],-0.040114723789201195,0.3298764867228754,[-0.12  0.04],594
PARIETAL_R/OCCIPITAL_L,-0.05233548478818866,0.20353038945916044,[-0.13  0.03],-0.05237535683661873,0.20318573762027473,[-0.13  0.03],594
PARIETAL_R/OCCIPITAL_R,-0.03970236382504598,0.33487611021255315,[-0.12  0.04],-0.029737321748048856,0.47018950235357515,[-0.11  0.05],594
OCCIPITAL_L/OCCIPITAL_R,-0.011829979665475221,0.7741170709831106,[-0.09  0.07],-0.0009445100847554595,0.9817197525535242,[-0.08  0.08],593
