region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.096147096606603,0.025329839603804468,[0.01 0.18],0.09344492951052379,0.029765016831278326,[0.01 0.18],543
FRONTAL_L/TEMPORAL_L,0.0885876796369539,0.03941938224887999,[0.   0.17],0.081699460665494,0.05755641840980722,[-0.    0.16],543
FRONTAL_L/TEMPORAL_R,0.07520545848607287,0.08052222949973532,[-0.01  0.16],0.05801393789402943,0.1778566962279891,[-0.03  0.14],543
FRONTAL_L/PARIETAL_L,0.06381493511054097,0.13824039033499508,[-0.02  0.15],0.05633497345962289,0.1907626051156238,[-0.03  0.14],543
FRONTAL_L/PARIETAL_R,0.09700833595214496,0.024041741499989763,[0.01 0.18],0.10343383953904067,0.016097238364728834,[0.02 0.19],543
FRONTAL_L/OCCIPITAL_L,0.09414363489884085,0.028558698241738262,[0.01 0.18],0.07489634367974143,0.08177822169188569,[-0.01  0.16],543
FRONTAL_L/OCCIPITAL_R,0.08725340515059782,0.04249511497557717,[0.   0.17],0.07424702382730512,0.08446814675587999,[-0.01  0.16],543
FRONTAL_R/TEMPORAL_L,0.06272837082061003,0.14509286531652865,[-0.02  0.15],0.059740834844617285,0.16527048832359661,[-0.02  0.14],543
FRONTAL_R/TEMPORAL_R,0.09451469287610155,0.027935309996567816,[0.01 0.18],0.10008528233986361,0.01989147085980956,[0.02 0.18],543
FRONTAL_R/PARIETAL_L,0.053732403162453694,0.2121062791472453,[-0.03  0.14],0.041625119446232095,0.3338665429460963,[-0.04  0.13],543
FRONTAL_R/PARIETAL_R,0.1315250678503427,0.002173457084835129,[0.05 0.21],0.13834078394058522,0.0012561872601975193,[0.05 0.22],543
FRONTAL_R/OCCIPITAL_L,0.07630366039439594,0.07618584925921791,[-0.01  0.16],0.07489257399140914,0.08179363591038874,[-0.01  0.16],543
FRONTAL_R/OCCIPITAL_R,0.08960687442457853,0.037198849615676856,[0.01 0.17],0.094359659962419,0.028194332563596512,[0.01 0.18],543
TEMPORAL_L/TEMPORAL_R,0.08926762603355291,0.03792588158666081,[0.01 0.17],0.07409548872213109,0.08510607360818204,[-0.01  0.16],543
TEMPORAL_L/PARIETAL_L,0.07479616456163689,0.08218865246263861,[-0.01  0.16],0.06336049142662536,0.14107548067500755,[-0.02  0.15],543
TEMPORAL_L/PARIETAL_R,0.0979849607177793,0.022649968452669183,[0.01 0.18],0.08625017144845715,0.0449389327931203,[0.   0.17],543
TEMPORAL_L/OCCIPITAL_L,0.07583790117463637,0.07800117950967005,[-0.01  0.16],0.07026036520254327,0.10258422753949101,[-0.01  0.15],543
TEMPORAL_L/OCCIPITAL_R,0.09984604007884391,0.020190168582969202,[0.02 0.18],0.09846500848190126,0.021991837022091915,[0.01 0.18],543
TEMPORAL_R/PARIETAL_L,0.07056828978857389,0.10108323912333571,[-0.01  0.15],0.05853616934544759,0.17397764597589746,[-0.03  0.14],543
TEMPORAL_R/PARIETAL_R,0.0794507494723887,0.06480180848712734,[-0.    0.16],0.059932473438596215,0.16391604562371398,[-0.02  0.14],543
TEMPORAL_R/OCCIPITAL_L,0.11417941842430532,0.007853563438481537,[0.03 0.2 ],0.11079454459465177,0.009908705058934137,[0.03 0.19],543
TEMPORAL_R/OCCIPITAL_R,0.0791166914836041,0.06593958351533703,[-0.01  0.16],0.07521083544137007,0.08050052094795818,[-0.01  0.16],543
PARIETAL_L/PARIETAL_R,0.07442420432734673,0.08372715779678139,[-0.01  0.16],0.06552692637972912,0.12795184029486964,[-0.02  0.15],543
PARIETAL_L/OCCIPITAL_L,0.04306109675858316,0.31744473298837966,[-0.04  0.13],0.0425439424776998,0.32329700735563915,[-0.04  0.13],543
PARIETAL_L/OCCIPITAL_R,0.06529107732697513,0.12933288874531798,[-0.02  0.15],0.05899812768745027,0.17059913323412587,[-0.03  0.14],543
PARIETAL_R/OCCIPITAL_L,0.1205824312690858,0.004978175611759936,[0.04 0.2 ],0.12291354375084147,0.0041945574335779,[0.04 0.21],543
PARIETAL_R/OCCIPITAL_R,0.10695742533055849,0.012804677288720135,[0.02 0.19],0.10522934018527415,0.01433677730335351,[0.02 0.19],543
OCCIPITAL_L/OCCIPITAL_R,0.05668844560046553,0.18840046088691798,[-0.03  0.14],0.052255726204862525,0.22538691207357123,[-0.03  0.14],542
