region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.16510967399579685,0.07916858833272987,[-0.34  0.02],-0.1710827311863336,0.0687627455447276,[-0.34  0.01],116
FRONTAL_L/TEMPORAL_L,-0.1702730070531762,0.07010475709733192,[-0.34  0.01],-0.178644669604704,0.05720907292521831,[-0.35  0.01],116
FRONTAL_L/TEMPORAL_R,-0.18419250347591815,0.0497876891627981,[-0.36 -0.  ],-0.20022550698816624,0.03268408711384279,[-0.37 -0.02],116
FRONTAL_L/PARIETAL_L,-0.15697571159779003,0.09532995353386126,[-0.33  0.03],-0.14826179146948879,0.11542486331660566,[-0.32  0.04],116
FRONTAL_L/PARIETAL_R,-0.2269538969665276,0.015170841756702554,[-0.39 -0.04],-0.22334182487670376,0.01691212857582936,[-0.39 -0.04],116
FRONTAL_L/OCCIPITAL_L,-0.17283107186918467,0.06593609480072664,[-0.35  0.01],-0.18382449537817924,0.05025398642152411,[-0.36  0.  ],116
FRONTAL_L/OCCIPITAL_R,-0.20226705942052153,0.030913802158844202,[-0.37 -0.02],-0.18670249362937255,0.046701901721246955,[-0.36 -0.  ],116
FRONTAL_R/TEMPORAL_L,-0.08272149452725702,0.3815787590400167,[-0.26  0.1 ],-0.06414571277552047,0.49774654527547646,[-0.25  0.12],116
FRONTAL_R/TEMPORAL_R,-0.15413219268352268,0.10155841647481198,[-0.33  0.03],-0.14048888265157278,0.13599185834331634,[-0.32  0.04],116
FRONTAL_R/PARIETAL_L,-0.08069807597107632,0.3933725242755125,[-0.26  0.1 ],-0.04705223010471514,0.6191049421873297,[-0.23  0.14],116
FRONTAL_R/PARIETAL_R,-0.1354479696248475,0.1507516956188083,[-0.31  0.05],-0.10774876252250468,0.2538328941443874,[-0.29  0.08],116
FRONTAL_R/OCCIPITAL_L,-0.11116101155043287,0.2390167862938086,[-0.29  0.07],-0.07773830561401467,0.41101101605570645,[-0.26  0.11],116
FRONTAL_R/OCCIPITAL_R,-0.19432281468564447,0.0382909514917267,[-0.37 -0.01],-0.1880635586086974,0.04509610835225554,[-0.36 -0.  ],116
TEMPORAL_L/TEMPORAL_R,-0.16661570112722007,0.07643272525731278,[-0.34  0.02],-0.1610563246265769,0.08692354943327796,[-0.34  0.02],116
TEMPORAL_L/PARIETAL_L,-0.09478496038060263,0.3157962691216577,[-0.27  0.09],-0.10735028361788745,0.25560335169593906,[-0.29  0.08],116
TEMPORAL_L/PARIETAL_R,-0.10715235351350941,0.2564859027704898,[-0.29  0.08],-0.08743564351598336,0.35494406149108193,[-0.27  0.1 ],116
TEMPORAL_L/OCCIPITAL_L,-0.1484970622467992,0.1148422465686669,[-0.32  0.04],-0.10515549090670955,0.26550652193211,[-0.28  0.08],116
TEMPORAL_L/OCCIPITAL_R,-0.18773011880549842,0.04548519275119195,[-0.36 -0.  ],-0.15934703647953308,0.09037000750020897,[-0.33  0.03],116
TEMPORAL_R/PARIETAL_L,-0.1291748518206023,0.17076294233888042,[-0.31  0.06],-0.09341853999719214,0.3228546682657908,[-0.27  0.09],116
TEMPORAL_R/PARIETAL_R,-0.09004198132961082,0.3407282957756802,[-0.27  0.1 ],-0.05365058735971388,0.5707637056276015,[-0.24  0.13],116
TEMPORAL_R/OCCIPITAL_L,-0.13335857078947724,0.15721089936915775,[-0.31  0.05],-0.11716127018279886,0.21444532446780054,[-0.29  0.07],116
TEMPORAL_R/OCCIPITAL_R,-0.15897796682859258,0.09112821876946228,[-0.33  0.03],-0.16443684339264933,0.08041598704232088,[-0.34  0.02],116
PARIETAL_L/PARIETAL_R,-0.06621375946004934,0.48396045350225525,[-0.25  0.12],-0.025750891444076017,0.7856532948007895,[-0.21  0.16],116
PARIETAL_L/OCCIPITAL_L,-0.16383764483699464,0.08154008874103848,[-0.34  0.02],-0.10089781595109437,0.2854528493508316,[-0.28  0.08],116
PARIETAL_L/OCCIPITAL_R,-0.16574070737300042,0.0780128335819022,[-0.34  0.02],-0.14951349922485685,0.11235137045033028,[-0.32  0.04],116
PARIETAL_R/OCCIPITAL_L,-0.20169913655210187,0.031397914575562465,[-0.37 -0.02],-0.207622029148806,0.026651878426778613,[-0.38 -0.02],116
PARIETAL_R/OCCIPITAL_R,-0.19613285220968418,0.036491707728558635,[-0.37 -0.01],-0.22087828961394618,0.018196714252737046,[-0.39 -0.04],116
OCCIPITAL_L/OCCIPITAL_R,-0.11585308134620637,0.21964291158577012,[-0.29  0.07],-0.09556856041890295,0.3117939451127047,[-0.27  0.09],116
