region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.033189153587949556,0.42740450982528444,[-0.11  0.05],-0.027313560106410652,0.5137035774614414,[-0.11  0.05],576
FRONTAL_L/TEMPORAL_L,0.026176616372174902,0.5313888671656004,[-0.06  0.11],0.039048590238447305,0.35037892368748236,[-0.04  0.12],576
FRONTAL_L/TEMPORAL_R,0.003598838977000153,0.931439088985582,[-0.08  0.09],0.014654156011944914,0.7260819714613103,[-0.07  0.1 ],576
FRONTAL_L/PARIETAL_L,-0.037014024014326734,0.37606860666285225,[-0.12  0.04],-0.031526030725902904,0.45093874784393373,[-0.11  0.05],576
FRONTAL_L/PARIETAL_R,0.013110982325887964,0.7539421871838594,[-0.07  0.09],0.031143319275028253,0.4564560967790863,[-0.05  0.11],576
FRONTAL_L/OCCIPITAL_L,-0.03348685851460239,0.4232683977550046,[-0.12  0.05],-0.02526276373405201,0.5458238144870116,[-0.11  0.06],576
FRONTAL_L/OCCIPITAL_R,-0.03988532309127963,0.3401439048233248,[-0.12  0.04],-0.03045238995108091,0.46651205271830365,[-0.11  0.05],576
FRONTAL_R/TEMPORAL_L,0.0017294658840823465,0.9670210464852416,[-0.08  0.08],0.02629550259848622,0.5295252660103189,[-0.06  0.11],576
FRONTAL_R/TEMPORAL_R,-0.019352403152415654,0.643591425821388,[-0.1   0.06],-0.004730935998150581,0.9099522869038029,[-0.09  0.08],576
FRONTAL_R/PARIETAL_L,-0.010763008037014334,0.7969404886396888,[-0.09  0.07],-0.003305032960271648,0.9370242176329271,[-0.09  0.08],576
FRONTAL_R/PARIETAL_R,0.021578701464828057,0.6059088604114617,[-0.06  0.1 ],0.036041179894874854,0.388751886754221,[-0.05  0.12],576
FRONTAL_R/OCCIPITAL_L,-0.03328941699061895,0.42600890189807716,[-0.11  0.05],-0.028879794047809233,0.4898506147659939,[-0.11  0.05],576
FRONTAL_R/OCCIPITAL_R,-0.028769507397910867,0.49151054382742965,[-0.11  0.05],-0.006114426972215941,0.8837845903716866,[-0.09  0.08],576
TEMPORAL_L/TEMPORAL_R,0.021726324258565195,0.6034453249567999,[-0.06  0.1 ],0.026247119342822933,0.5302832976489815,[-0.06  0.11],576
TEMPORAL_L/PARIETAL_L,-0.016824818609900514,0.6875046275816674,[-0.1   0.07],-0.009043852304263394,0.8288260896806809,[-0.09  0.07],576
TEMPORAL_L/PARIETAL_R,0.03963062696560161,0.3432389480269983,[-0.04  0.12],0.049510046216479885,0.23628757973191036,[-0.03  0.13],576
TEMPORAL_L/OCCIPITAL_L,0.0037362321003561326,0.928828441738401,[-0.08  0.09],0.009415876935490036,0.8219002282430752,[-0.07  0.09],576
TEMPORAL_L/OCCIPITAL_R,0.0079688968988223,0.8489110450887719,[-0.07  0.09],0.011152033135230936,0.7897697756502018,[-0.07  0.09],576
TEMPORAL_R/PARIETAL_L,-0.003521784197913714,0.9329035534403849,[-0.09  0.08],0.00953947935628111,0.8196021943724927,[-0.07  0.09],576
TEMPORAL_R/PARIETAL_R,0.00741777805574107,0.8592473286589328,[-0.07  0.09],-0.012694013462205382,0.7615269735351944,[-0.09  0.07],576
TEMPORAL_R/OCCIPITAL_L,0.0009317927663896619,0.9822281853131904,[-0.08  0.08],0.021587377697971345,0.6057639469499527,[-0.06  0.1 ],576
TEMPORAL_R/OCCIPITAL_R,-0.018402754277652103,0.659955355042136,[-0.1   0.06],-0.0057183873093142835,0.8912637485055819,[-0.09  0.08],576
PARIETAL_L/PARIETAL_R,-0.004044522736963636,0.922973342133741,[-0.09  0.08],0.005225968530344955,0.9005764134469935,[-0.08  0.09],576
PARIETAL_L/OCCIPITAL_L,-0.004322885859435427,0.9176901952061322,[-0.09  0.08],-0.00196726060000572,0.9624897027067738,[-0.08  0.08],576
PARIETAL_L/OCCIPITAL_R,-0.01778441346063011,0.6706988478834348,[-0.1   0.06],-0.017101512979615017,0.6826424930084771,[-0.1   0.06],576
PARIETAL_R/OCCIPITAL_L,-0.006849743562274511,0.8699260844755655,[-0.09  0.08],-0.005965896587485713,0.8865883937191704,[-0.09  0.08],576
PARIETAL_R/OCCIPITAL_R,0.003631466481143838,0.9308190564892425,[-0.08  0.09],0.016515126463402082,0.6929619241283625,[-0.07  0.1 ],576
OCCIPITAL_L/OCCIPITAL_R,-0.02071573476109626,0.6203989773500092,[-0.1   0.06],-0.024669471158596086,0.5552979941881118,[-0.11  0.06],576
