region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.06921981526198202,0.5417894243133312,[-0.15  0.28],0.070552221646338,0.5340192529185269,[-0.15  0.29],82
FRONTAL_L/TEMPORAL_L,0.1354250387538245,0.2310176447209414,[-0.09  0.34],0.10188139829288916,0.3685162961444859,[-0.12  0.31],82
FRONTAL_L/TEMPORAL_R,0.10926817969406107,0.3346271896635796,[-0.11  0.32],0.044821221010849274,0.6930036150400318,[-0.18  0.26],82
FRONTAL_L/PARIETAL_L,0.06416349767858619,0.5717699952136017,[-0.16  0.28],0.05009983229740856,0.6589731619066714,[-0.17  0.27],82
FRONTAL_L/PARIETAL_R,0.10863635183784812,0.3374463475900349,[-0.11  0.32],0.1122274421071936,0.3216220966991164,[-0.11  0.32],82
FRONTAL_L/OCCIPITAL_L,0.04698177662418225,0.6789965413435579,[-0.17  0.26],0.036942327817976586,0.7449290986234585,[-0.18  0.25],82
FRONTAL_L/OCCIPITAL_R,0.08149275987722103,0.4723761862010941,[-0.14  0.3 ],0.07408154427721687,0.51370772733166,[-0.15  0.29],82
FRONTAL_R/TEMPORAL_L,0.05508789614703223,0.6274385711875998,[-0.17  0.27],-0.012019133834891785,0.9157297138987437,[-0.23  0.21],82
FRONTAL_R/TEMPORAL_R,0.17048416930030522,0.13054657016023435,[-0.05  0.38],0.11830661849812932,0.2959358380170082,[-0.1   0.33],82
FRONTAL_R/PARIETAL_L,0.08715945670250058,0.44202799149417826,[-0.14  0.3 ],0.03907055430857881,0.7307792502613011,[-0.18  0.26],82
FRONTAL_R/PARIETAL_R,0.07201168291699528,0.5255719556763385,[-0.15  0.29],0.044705026535280364,0.6937598899009962,[-0.18  0.26],82
FRONTAL_R/OCCIPITAL_L,0.047807118112501296,0.6736740298483257,[-0.17  0.26],-0.017533379922978026,0.8773203811366035,[-0.24  0.2 ],82
FRONTAL_R/OCCIPITAL_R,0.06059865795084542,0.5933612157070967,[-0.16  0.28],0.009448039869714459,0.9337102619731312,[-0.21  0.23],82
TEMPORAL_L/TEMPORAL_R,0.13252889542404622,0.24123878427830864,[-0.09  0.34],0.03112260002156321,0.7840429209577321,[-0.19  0.25],82
TEMPORAL_L/PARIETAL_L,0.06845412030594224,0.5462796068406923,[-0.15  0.28],0.04143830682999931,0.7151419718721337,[-0.18  0.26],82
TEMPORAL_L/PARIETAL_R,0.1224180980567567,0.2793490004336363,[-0.1   0.33],0.04077924717350715,0.7194831417582304,[-0.18  0.26],82
TEMPORAL_L/OCCIPITAL_L,0.023487120571346075,0.8361680699248117,[-0.2   0.24],-0.03442240665775851,0.7617926367396982,[-0.25  0.19],82
TEMPORAL_L/OCCIPITAL_R,0.11603323310282865,0.30537927776305057,[-0.11  0.33],0.056358294402762105,0.6195097169587689,[-0.17  0.27],82
TEMPORAL_R/PARIETAL_L,0.13513071588556994,0.23204238024647017,[-0.09  0.34],0.07888816123831632,0.48669360513452353,[-0.14  0.29],82
TEMPORAL_R/PARIETAL_R,0.13143372777645637,0.24518402219233193,[-0.09  0.34],0.10726839037666089,0.3436011777085396,[-0.12  0.32],82
TEMPORAL_R/OCCIPITAL_L,0.08929991414313618,0.43085606648074926,[-0.13  0.3 ],0.044529224892788336,0.6949046984894842,[-0.18  0.26],82
TEMPORAL_R/OCCIPITAL_R,0.15141261459921002,0.18001609840535965,[-0.07  0.36],0.11795249048202242,0.29739410989080417,[-0.1   0.33],82
PARIETAL_L/PARIETAL_R,0.012512186894308674,0.9122861691895483,[-0.21  0.23],-0.022799105249209,0.8409034122323149,[-0.24  0.2 ],82
PARIETAL_L/OCCIPITAL_L,0.09050211083109531,0.42465243089886107,[-0.13  0.3 ],0.050128122655967645,0.6587925545396127,[-0.17  0.27],82
PARIETAL_L/OCCIPITAL_R,0.2064936356931557,0.06610258768015706,[-0.01  0.41],0.1500660178947452,0.18396537632351892,[-0.07  0.36],82
PARIETAL_R/OCCIPITAL_L,0.12259630887292176,0.27864435284684935,[-0.1   0.33],0.10133923390760415,0.3710834437813173,[-0.12  0.31],82
PARIETAL_R/OCCIPITAL_R,0.0715080019830774,0.5284796476561686,[-0.15  0.29],0.06094884533703855,0.5912240939053771,[-0.16  0.28],82
OCCIPITAL_L/OCCIPITAL_R,0.10768714977847305,0.3417096433836454,[-0.11  0.32],0.0669917915648517,0.5549049063233019,[-0.16  0.28],82
