region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.14342782774382046,0.2043550846998265,[-0.08  0.35],0.15339396895312307,0.17431807351171685,[-0.07  0.36],82
FRONTAL_L/TEMPORAL_L,0.17348949960076582,0.12380155746172046,[-0.05  0.38],0.14910906976309468,0.18680988908948012,[-0.07  0.36],82
FRONTAL_L/TEMPORAL_R,0.22910006299428515,0.040938034333624924,[0.01 0.43],0.2186181004071416,0.05138608944984281,[-0.    0.42],82
FRONTAL_L/PARIETAL_L,0.14436665942507917,0.2013774295240606,[-0.08  0.35],0.1402105848748356,0.21479699433004124,[-0.08  0.35],82
FRONTAL_L/PARIETAL_R,0.1884216732103882,0.09417005749625734,[-0.03  0.39],0.21091391238803214,0.06038579529240724,[-0.01  0.41],82
FRONTAL_L/OCCIPITAL_L,0.15204104370289837,0.1781943419874388,[-0.07  0.36],0.15654576608076892,0.16552798084196083,[-0.07  0.36],82
FRONTAL_L/OCCIPITAL_R,0.18675483009508614,0.09717126636581694,[-0.03  0.39],0.1931985826982434,0.0859715775744653,[-0.03  0.4 ],82
FRONTAL_R/TEMPORAL_L,0.12487719643720686,0.26973042102389577,[-0.1   0.34],0.08475287338569822,0.45478082966304656,[-0.14  0.3 ],82
FRONTAL_R/TEMPORAL_R,0.28130787844820504,0.01147919068668588,[0.07 0.47],0.26173925497732764,0.0190135109694459,[0.04 0.46],82
FRONTAL_R/PARIETAL_L,0.16421430187446512,0.14551364402549563,[-0.06  0.37],0.1210913168999746,0.28463244063758564,[-0.1   0.33],82
FRONTAL_R/PARIETAL_R,0.14538937702375163,0.1981691740214324,[-0.08  0.35],0.11601711688095812,0.3054469150875995,[-0.11  0.33],82
FRONTAL_R/OCCIPITAL_L,0.13197749006640255,0.2432196568006149,[-0.09  0.34],0.1039316894201533,0.3589065252508147,[-0.12  0.32],82
FRONTAL_R/OCCIPITAL_R,0.10607267656288066,0.34903821870303064,[-0.12  0.32],0.08634119941760258,0.4463413791258579,[-0.14  0.3 ],82
TEMPORAL_L/TEMPORAL_R,0.15551691886141064,0.1683606302413322,[-0.07  0.36],0.11440254313376329,0.31227241804703476,[-0.11  0.33],82
TEMPORAL_L/PARIETAL_L,0.1301455481240588,0.2498810995273519,[-0.09  0.34],0.1155014749052658,0.3076161287466843,[-0.11  0.33],82
TEMPORAL_L/PARIETAL_R,0.16601838983967215,0.1410808483472595,[-0.06  0.37],0.13408688138390976,0.23570216284921755,[-0.09  0.34],82
TEMPORAL_L/OCCIPITAL_L,0.08804196876748863,0.43740222597818723,[-0.13  0.3 ],0.057308388369421606,0.6136081275476136,[-0.16  0.27],82
TEMPORAL_L/OCCIPITAL_R,0.12014756097283912,0.28843070973262164,[-0.1   0.33],0.09065313101649465,0.4238767649477363,[-0.13  0.3 ],82
TEMPORAL_R/PARIETAL_L,0.1984307472519371,0.07765175437349892,[-0.02  0.4 ],0.1741981728696549,0.12225061273657699,[-0.05  0.38],82
TEMPORAL_R/PARIETAL_R,0.19580910520812203,0.0817363145918306,[-0.02  0.4 ],0.20752288680591768,0.06473385477666109,[-0.01  0.41],82
TEMPORAL_R/OCCIPITAL_L,0.24558657025627623,0.028108571661660715,[0.03 0.44],0.2113133863698713,0.05988959223369434,[-0.01  0.41],82
TEMPORAL_R/OCCIPITAL_R,0.24249003558677565,0.030218159979233498,[0.02 0.44],0.23784116531232732,0.033634823298229144,[0.02 0.43],82
PARIETAL_L/PARIETAL_R,0.08265091761944424,0.4660836723589178,[-0.14  0.3 ],0.05695056754835043,0.6158279082865736,[-0.16  0.27],82
PARIETAL_L/OCCIPITAL_L,0.18255870989069395,0.10505874424574878,[-0.04  0.39],0.15767184292590575,0.1624681162237116,[-0.06  0.36],82
PARIETAL_L/OCCIPITAL_R,0.23266748396249917,0.037812306820027154,[0.01 0.43],0.17241103924683054,0.1261906239457814,[-0.05  0.38],82
PARIETAL_R/OCCIPITAL_L,0.19218935089612507,0.08765480746123352,[-0.03  0.4 ],0.15593191697907993,0.16721378334215087,[-0.07  0.36],82
PARIETAL_R/OCCIPITAL_R,0.15415411906580606,0.1721674445163626,[-0.07  0.36],0.1429046326303422,0.20602804584111511,[-0.08  0.35],82
OCCIPITAL_L/OCCIPITAL_R,0.11723770266123483,0.3003518759302587,[-0.11  0.33],0.09866123947035103,0.3839226800774733,[-0.12  0.31],82
