region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.10804694860995459,0.34008966306853206,[-0.32  0.11],-0.04290571372314804,0.7055088576063262,[-0.26  0.18],82
FRONTAL_L/TEMPORAL_L,-0.08475878257475043,0.45474926915712666,[-0.3   0.14],-0.021054743188309275,0.8529341302923085,[-0.24  0.2 ],82
FRONTAL_L/TEMPORAL_R,-0.19456963687379378,0.0837260314659638,[-0.4   0.03],-0.13665225186974186,0.22677888995112205,[-0.35  0.09],82
FRONTAL_L/PARIETAL_L,-0.10849112364964167,0.3380964518475549,[-0.32  0.11],-0.019794121713227125,0.8616496271122497,[-0.24  0.2 ],82
FRONTAL_L/PARIETAL_R,-0.18609852221882134,0.09837334530397221,[-0.39  0.04],-0.1364306223923595,0.2275403382702119,[-0.35  0.09],82
FRONTAL_L/OCCIPITAL_L,-0.12504913525081654,0.26906633308717537,[-0.34  0.1 ],-0.06622638481045227,0.5594454033458096,[-0.28  0.16],82
FRONTAL_L/OCCIPITAL_R,-0.12080840833700875,0.28576754354419664,[-0.33  0.1 ],-0.056973420867637015,0.6156860318501411,[-0.27  0.16],82
FRONTAL_R/TEMPORAL_L,-0.09045837800673562,0.4248772020834729,[-0.3   0.13],0.031501686825252576,0.7814775780869712,[-0.19  0.25],82
FRONTAL_R/TEMPORAL_R,-0.24366966914699087,0.029399288961171728,[-0.44 -0.03],-0.20492430300974007,0.06823445504414627,[-0.41  0.02],82
FRONTAL_R/PARIETAL_L,-0.14604504629019993,0.19613172762382566,[-0.35  0.08],-0.04559092378536198,0.6880014554308092,[-0.26  0.18],82
FRONTAL_R/PARIETAL_R,-0.12243842959186035,0.27926854932657075,[-0.33  0.1 ],0.015444530114852613,0.8918418040602303,[-0.2   0.23],82
FRONTAL_R/OCCIPITAL_L,-0.12699753765532995,0.2616178168034554,[-0.34  0.1 ],-0.027062396179018372,0.811658122991586,[-0.25  0.19],82
FRONTAL_R/OCCIPITAL_R,-0.10850139330220455,0.3380504545359262,[-0.32  0.11],-0.003403971781486677,0.9760934093512843,[-0.22  0.22],82
TEMPORAL_L/TEMPORAL_R,-0.11028604767352039,0.33011696178538164,[-0.32  0.11],-0.05056086821565316,0.6560323181177072,[-0.27  0.17],82
TEMPORAL_L/PARIETAL_L,-0.10009221472167269,0.3770292468011327,[-0.31  0.12],-0.033292855889343664,0.769388383441786,[-0.25  0.19],82
TEMPORAL_L/PARIETAL_R,-0.1303766257629644,0.24903401820878848,[-0.34  0.09],-0.04104939072444628,0.7177026467359898,[-0.26  0.18],82
TEMPORAL_L/OCCIPITAL_L,-0.08128872311269632,0.47348949466330836,[-0.3   0.14],-0.006717572672989266,0.9528415395502865,[-0.23  0.21],82
TEMPORAL_L/OCCIPITAL_R,-0.06209523218817039,0.5842523267083317,[-0.28  0.16],0.0026263478145567665,0.9815536804226378,[-0.22  0.22],82
TEMPORAL_R/PARIETAL_L,-0.21517979048770502,0.05525629480461738,[-0.42  0.  ],-0.1411047796110131,0.2118576789821644,[-0.35  0.08],82
TEMPORAL_R/PARIETAL_R,-0.1513382071285456,0.18023269385267637,[-0.36  0.07],-0.13336604915132294,0.23825272830810976,[-0.34  0.09],82
TEMPORAL_R/OCCIPITAL_L,-0.24966681259245838,0.025519999266698422,[-0.44 -0.03],-0.19001882089255473,0.09136317606836901,[-0.39  0.03],82
TEMPORAL_R/OCCIPITAL_R,-0.20770754976188066,0.06449072729211465,[-0.41  0.01],-0.21278367361964043,0.058091774885536074,[-0.41  0.01],82
PARIETAL_L/PARIETAL_R,-0.1450098607301334,0.19935540770403964,[-0.35  0.08],0.02158968121261425,0.8492410065641022,[-0.2   0.24],82
PARIETAL_L/OCCIPITAL_L,-0.15455717941338534,0.171035027709867,[-0.36  0.07],-0.11729043092155497,0.3001330337276539,[-0.33  0.11],82
PARIETAL_L/OCCIPITAL_R,-0.1037746671459376,0.3596369827917124,[-0.32  0.12],-0.04883832642618973,0.6670463853988479,[-0.27  0.17],82
PARIETAL_R/OCCIPITAL_L,-0.22343519634569875,0.046340767028771615,[-0.42 -0.  ],-0.12040409107791902,0.2873949705014313,[-0.33  0.1 ],82
PARIETAL_R/OCCIPITAL_R,-0.20612765681313128,0.06659487776350063,[-0.41  0.01],-0.08549772950844152,0.45081216198722396,[-0.3   0.14],82
OCCIPITAL_L/OCCIPITAL_R,-0.10170157692592356,0.369366546318459,[-0.31  0.12],-0.058872608256861955,0.6039452513705437,[-0.28  0.16],82
