region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.01132538288513996,0.9205775708053215,[-0.23  0.21],-0.04763491419691307,0.6747832376669352,[-0.26  0.17],82
FRONTAL_L/TEMPORAL_L,0.06688540500038016,0.555534947509803,[-0.16  0.28],0.009655057660890929,0.9322611653171178,[-0.21  0.23],82
FRONTAL_L/TEMPORAL_R,-0.09957608268387542,0.3795069314289995,[-0.31  0.12],-0.19188678282716828,0.08816448756568093,[-0.39  0.03],82
FRONTAL_L/PARIETAL_L,-0.0219257868964295,0.8469222417861831,[-0.24  0.2 ],-0.08475551341634927,0.4547667293210387,[-0.3   0.14],82
FRONTAL_L/PARIETAL_R,-0.09443719504959104,0.40470797727897523,[-0.31  0.13],-0.16722861992603552,0.13816476102147152,[-0.37  0.05],82
FRONTAL_L/OCCIPITAL_L,-0.07758732809889216,0.49392941076023933,[-0.29  0.14],-0.0788954728187105,0.48665309429915715,[-0.29  0.14],82
FRONTAL_L/OCCIPITAL_R,-0.04283824277299321,0.7059507854554175,[-0.26  0.18],-0.06570873536987923,0.5625261569440454,[-0.28  0.16],82
FRONTAL_R/TEMPORAL_L,-0.029671812974267357,0.7938816854985273,[-0.25  0.19],-0.06479586444870979,0.567978531443073,[-0.28  0.16],82
FRONTAL_R/TEMPORAL_R,-0.13985579122883904,0.21597118980957286,[-0.35  0.08],-0.2025598964744848,0.07155071850060654,[-0.4   0.02],82
FRONTAL_R/PARIETAL_L,-0.06472362326342043,0.5684110684487628,[-0.28  0.16],-0.09897280382198564,0.3824153763253113,[-0.31  0.12],82
FRONTAL_R/PARIETAL_R,-0.03153414906485177,0.7812580086765498,[-0.25  0.19],-0.04921042552432487,0.6646610878676898,[-0.27  0.17],82
FRONTAL_R/OCCIPITAL_L,-0.07887387523735133,0.48677276388088353,[-0.29  0.14],-0.07397323364065699,0.5143251455470957,[-0.29  0.15],82
FRONTAL_R/OCCIPITAL_R,-0.018734261059830393,0.8689899823428726,[-0.24  0.2 ],-0.02690433874576576,0.8127380389016092,[-0.25  0.19],82
TEMPORAL_L/TEMPORAL_R,-0.011906014590629049,0.9165199740458796,[-0.23  0.21],-0.06395483134660286,0.5730236741638731,[-0.28  0.16],82
TEMPORAL_L/PARIETAL_L,-0.019872801323597804,0.861105168904241,[-0.24  0.2 ],-0.04902420548928542,0.6658544151505161,[-0.27  0.17],82
TEMPORAL_L/PARIETAL_R,-0.01488987398156248,0.8957038900416787,[-0.23  0.21],-0.06434327399948843,0.5706909156319033,[-0.28  0.16],82
TEMPORAL_L/OCCIPITAL_L,-0.07733182671864436,0.4953572242125922,[-0.29  0.14],-0.0936295109706923,0.4087561773784142,[-0.31  0.13],82
TEMPORAL_L/OCCIPITAL_R,0.022443689356134628,0.8433518259758649,[-0.2   0.24],0.019290644567588517,0.8651351745963153,[-0.2   0.24],82
TEMPORAL_R/PARIETAL_L,-0.11999957264203814,0.289029332978559,[-0.33  0.1 ],-0.17465671184593812,0.12125505427586082,[-0.38  0.05],82
TEMPORAL_R/PARIETAL_R,-0.02346162328027847,0.8363434551265032,[-0.24  0.2 ],-0.10812596243719977,0.33973455385691054,[-0.32  0.11],82
TEMPORAL_R/OCCIPITAL_L,-0.21587232408143164,0.05445818192612743,[-0.42  0.  ],-0.3004767144669539,0.006766283699725158,[-0.49 -0.09],82
TEMPORAL_R/OCCIPITAL_R,-0.12754832805920224,0.25953779526984344,[-0.34  0.09],-0.18626739125632427,0.09806294150639554,[-0.39  0.03],82
PARIETAL_L/PARIETAL_R,-0.11297915850208688,0.3183707803284177,[-0.32  0.11],-0.11351778550620224,0.31605414561000245,[-0.33  0.11],82
PARIETAL_L/OCCIPITAL_L,-0.09669297630785396,0.3935270127390015,[-0.31  0.13],-0.15725279024549255,0.163601872433464,[-0.36  0.06],82
PARIETAL_L/OCCIPITAL_R,0.06065949115847885,0.5929897142261404,[-0.16  0.28],0.06515573450506254,0.5658261489058112,[-0.16  0.28],82
PARIETAL_R/OCCIPITAL_L,-0.12373877067392414,0.27415522936536607,[-0.33  0.1 ],-0.1518035779242733,0.17888114468062064,[-0.36  0.07],82
PARIETAL_R/OCCIPITAL_R,-0.14485130903793014,0.19985248789077256,[-0.35  0.08],-0.17799939016947075,0.11418446630641725,[-0.38  0.04],82
OCCIPITAL_L/OCCIPITAL_R,-0.013698059932159674,0.9040106138904479,[-0.23  0.21],0.006610598915356304,0.953591675092986,[-0.21  0.23],82
