region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.12548944330768094,0.2673707305512492,[-0.34  0.1 ],-0.17689392208734986,0.11648668177738183,[-0.38  0.04],82
FRONTAL_L/TEMPORAL_L,-0.06122615331426625,0.5895342061618111,[-0.28  0.16],-0.09934784952719419,0.3806056852916354,[-0.31  0.12],82
FRONTAL_L/TEMPORAL_R,-0.22609652054567636,0.04373347355082789,[-0.42 -0.01],-0.32478943583177133,0.0032882942743434145,[-0.51 -0.11],82
FRONTAL_L/PARIETAL_L,-0.15245883293972856,0.17699067940150448,[-0.36  0.07],-0.20910077869603197,0.06268013094861125,[-0.41  0.01],82
FRONTAL_L/PARIETAL_R,-0.18179359907320072,0.10654918836534387,[-0.39  0.04],-0.24124104745862573,0.03110603705452498,[-0.44 -0.02],82
FRONTAL_L/OCCIPITAL_L,-0.1748377817251927,0.12086364097456057,[-0.38  0.05],-0.2112089734542442,0.0600189666085731,[-0.41  0.01],82
FRONTAL_L/OCCIPITAL_R,-0.1624294316073164,0.1500013304644433,[-0.37  0.06],-0.22229313374919585,0.047498335272111274,[-0.42 -0.  ],82
FRONTAL_R/TEMPORAL_L,-0.13875183682131206,0.21965371471547365,[-0.35  0.08],-0.17278389660203156,0.1253606992114186,[-0.38  0.05],82
FRONTAL_R/TEMPORAL_R,-0.20892241991687358,0.06290959368257878,[-0.41  0.01],-0.2789367257624119,0.012225616042710578,[-0.47 -0.06],82
FRONTAL_R/PARIETAL_L,-0.14253855875351898,0.20720438451409837,[-0.35  0.08],-0.16187792492884248,0.1514086992647219,[-0.37  0.06],82
FRONTAL_R/PARIETAL_R,-0.14253128707244384,0.20722779958058402,[-0.35  0.08],-0.16364654423232003,0.14693008224368678,[-0.37  0.06],82
FRONTAL_R/OCCIPITAL_L,-0.16453433693082445,0.14471975424293715,[-0.37  0.06],-0.19309318820939392,0.08614615129551813,[-0.4   0.03],82
FRONTAL_R/OCCIPITAL_R,-0.11618721519566635,0.30473352967251927,[-0.33  0.11],-0.14461757125203295,0.20058690411225194,[-0.35  0.08],82
TEMPORAL_L/TEMPORAL_R,-0.0709566299051625,0.5316718387253667,[-0.29  0.15],-0.1316395950964758,0.24443903742180875,[-0.34  0.09],82
TEMPORAL_L/PARIETAL_L,-0.11298913731942041,0.3183277625293372,[-0.32  0.11],-0.1250075111431202,0.2692269989134211,[-0.34  0.1 ],82
TEMPORAL_L/PARIETAL_R,-0.11039256972549072,0.3296471981313114,[-0.32  0.11],-0.1438010285954467,0.20316767951881345,[-0.35  0.08],82
TEMPORAL_L/OCCIPITAL_L,-0.12462937154004859,0.2706895461165885,[-0.34  0.1 ],-0.1573149833201264,0.16343323917665667,[-0.36  0.06],82
TEMPORAL_L/OCCIPITAL_R,-0.02256541856267835,0.8425130809388168,[-0.24  0.2 ],-0.048797736182463546,0.6673067846565072,[-0.27  0.17],82
TEMPORAL_R/PARIETAL_L,-0.17568254661159083,0.11905033879386427,[-0.38  0.05],-0.23089172895192184,0.03934236916873283,[-0.43 -0.01],82
TEMPORAL_R/PARIETAL_R,-0.13149459323266866,0.24496360215790428,[-0.34  0.09],-0.19732399402510833,0.07935575079882345,[-0.4   0.02],82
TEMPORAL_R/OCCIPITAL_L,-0.27629611231909323,0.013106160735623639,[-0.47 -0.06],-0.354534740942376,0.0012525181236339015,[-0.53 -0.15],82
TEMPORAL_R/OCCIPITAL_R,-0.15356036210999877,0.17384563779235027,[-0.36  0.07],-0.2146368730188144,0.05588864512455103,[-0.41  0.01],82
PARIETAL_L/PARIETAL_R,-0.16295065693831046,0.1486802500049972,[-0.37  0.06],-0.1916259115261724,0.08860580736817122,[-0.39  0.03],82
PARIETAL_L/OCCIPITAL_L,-0.16686535351522797,0.1390352374264245,[-0.37  0.05],-0.22233485647974813,0.047455630467382444,[-0.42 -0.  ],82
PARIETAL_L/OCCIPITAL_R,-0.029568212032927473,0.7945855252156442,[-0.25  0.19],-0.018553672362492262,0.8702418213736323,[-0.24  0.2 ],82
PARIETAL_R/OCCIPITAL_L,-0.18995433107292295,0.09147522021907269,[-0.39  0.03],-0.19253202156729526,0.08708039156014692,[-0.4   0.03],82
PARIETAL_R/OCCIPITAL_R,-0.184459284100927,0.10142661630234925,[-0.39  0.04],-0.2140392175729981,0.05659157172308005,[-0.41  0.01],82
OCCIPITAL_L/OCCIPITAL_R,-0.006748293228222831,0.9526261243500525,[-0.23  0.21],-0.030196512999225437,0.7903195389576211,[-0.25  0.19],82
