region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.14282133585762044,0.20629529200102542,[-0.35  0.08],-0.20187825615907737,0.07253045232500029,[-0.4   0.02],82
FRONTAL_L/TEMPORAL_L,-0.11055782049456693,0.3289192807738406,[-0.32  0.11],-0.15540904892846205,0.16865967449639632,[-0.36  0.07],82
FRONTAL_L/TEMPORAL_R,-0.22107494409806683,0.04875923395760352,[-0.42 -0.  ],-0.3147018662921627,0.0044677401960368495,[-0.5 -0.1],82
FRONTAL_L/PARIETAL_L,-0.14863744011736485,0.1882234623067836,[-0.36  0.07],-0.1928251581548015,0.0865913771787638,[-0.4   0.03],82
FRONTAL_L/PARIETAL_R,-0.19546885004270473,0.08227874196197121,[-0.4   0.03],-0.25400762192787774,0.022991006620864722,[-0.45 -0.04],82
FRONTAL_L/OCCIPITAL_L,-0.13441235676689212,0.2345567440670016,[-0.34  0.09],-0.2091174035019823,0.06265877736949543,[-0.41  0.01],82
FRONTAL_L/OCCIPITAL_R,-0.13953910622756188,0.2170230860321275,[-0.35  0.08],-0.24871810125400648,0.026103092390805424,[-0.44 -0.03],82
FRONTAL_R/TEMPORAL_L,-0.11757493101196213,0.29895404991038393,[-0.33  0.1 ],-0.14216457961073334,0.2084110529578955,[-0.35  0.08],82
FRONTAL_R/TEMPORAL_R,-0.2216619704061667,0.048148228999800265,[-0.42 -0.  ],-0.31677063294945207,0.004199042367147964,[-0.5 -0.1],82
FRONTAL_R/PARIETAL_L,-0.155341585178069,0.16884690058923393,[-0.36  0.07],-0.1883189333827318,0.09435291114576633,[-0.39  0.03],82
FRONTAL_R/PARIETAL_R,-0.15157401510384833,0.17954692375350575,[-0.36  0.07],-0.14833693471738443,0.18912816686785594,[-0.36  0.07],82
FRONTAL_R/OCCIPITAL_L,-0.1380138439613346,0.22213999326580655,[-0.35  0.08],-0.17487451806880117,0.12078434756200146,[-0.38  0.05],82
FRONTAL_R/OCCIPITAL_R,-0.13509276134394854,0.23217475545364605,[-0.34  0.09],-0.13063752669119408,0.24807997973554727,[-0.34  0.09],82
TEMPORAL_L/TEMPORAL_R,-0.10030962583478786,0.3759885026017006,[-0.31  0.12],-0.14832829722941215,0.18915421736926144,[-0.36  0.07],82
TEMPORAL_L/PARIETAL_L,-0.11996027869232376,0.28918841759467134,[-0.33  0.1 ],-0.1478897002472301,0.19048042954347835,[-0.36  0.07],82
TEMPORAL_L/PARIETAL_R,-0.14521810087986675,0.19870389432174906,[-0.35  0.08],-0.16191428154873203,0.15131561959659148,[-0.37  0.06],82
TEMPORAL_L/OCCIPITAL_L,-0.07644941652239663,0.5003049560313442,[-0.29  0.15],-0.12175796232148312,0.2819695292953008,[-0.33  0.1 ],82
TEMPORAL_L/OCCIPITAL_R,-0.05023724327214881,0.658096104772111,[-0.27  0.17],-0.10625246976491012,0.34821727471849373,[-0.32  0.12],82
TEMPORAL_R/PARIETAL_L,-0.19644510822213634,0.08073004353101237,[-0.4   0.02],-0.19878280438838025,0.07711588376158661,[-0.4   0.02],82
TEMPORAL_R/PARIETAL_R,-0.16510956838161953,0.1433010037985194,[-0.37  0.06],-0.244362081493392,0.02892741115749329,[-0.44 -0.03],82
TEMPORAL_R/OCCIPITAL_L,-0.23817545942515744,0.03337877086356731,[-0.44 -0.02],-0.31575604082748826,0.004328969868590912,[-0.5 -0.1],82
TEMPORAL_R/OCCIPITAL_R,-0.16819713692224833,0.1358640848880083,[-0.37  0.05],-0.2718323617957762,0.01471994475354091,[-0.46 -0.06],82
PARIETAL_L/PARIETAL_R,-0.14520066541138696,0.19875838541506805,[-0.35  0.08],-0.11269753894257424,0.3195863568516865,[-0.32  0.11],82
PARIETAL_L/OCCIPITAL_L,-0.15101546015924702,0.18117438782216372,[-0.36  0.07],-0.2286403240861638,0.04135603855298787,[-0.43 -0.01],82
PARIETAL_L/OCCIPITAL_R,-0.09859056393098198,0.38426509372572304,[-0.31  0.12],-0.15087905090511428,0.18157347040378283,[-0.36  0.07],82
PARIETAL_R/OCCIPITAL_L,-0.21488496428067683,0.05559895719605477,[-0.42  0.01],-0.18586978376964933,0.09879502342227832,[-0.39  0.04],82
PARIETAL_R/OCCIPITAL_R,-0.19391875699365427,0.08478618198831882,[-0.4   0.03],-0.1919710409276257,0.08802231880421824,[-0.4   0.03],82
OCCIPITAL_L/OCCIPITAL_R,-0.05602184005270314,0.6216054362700969,[-0.27  0.17],-0.10454289663404648,0.3560719463626577,[-0.32  0.12],82
