region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.07518164425641036,0.07545912553035553,[-0.16  0.01],-0.032320333217340055,0.44526713425117803,[-0.11  0.05],562
FRONTAL_L/TEMPORAL_L,-0.08220252015641606,0.051869956158817225,[-0.16  0.  ],-0.037274761728038425,0.3786335136595729,[-0.12  0.05],562
FRONTAL_L/TEMPORAL_R,-0.07392267203617663,0.08049643712702914,[-0.16  0.01],-0.028480658175217742,0.5011980626891219,[-0.11  0.05],562
FRONTAL_L/PARIETAL_L,-0.08911471439464569,0.03500305040464388,[-0.17 -0.01],-0.039630796942903675,0.3492175455125466,[-0.12  0.04],562
FRONTAL_L/PARIETAL_R,-0.08443620106600505,0.04580039040050428,[-0.17 -0.  ],-0.039461598507433804,0.3512805263111537,[-0.12  0.04],562
FRONTAL_L/OCCIPITAL_L,-0.04432000318497185,0.2951116998406778,[-0.13  0.04],-0.013539447099163361,0.7491953554453425,[-0.1   0.07],562
FRONTAL_L/OCCIPITAL_R,-0.05926971882592405,0.1613112454651165,[-0.14  0.02],0.0013696878312419792,0.9742006546194856,[-0.08  0.08],562
FRONTAL_R/TEMPORAL_L,-0.0878468628557537,0.03768999832250763,[-0.17 -0.01],-0.03220349714991626,0.44691495680733373,[-0.11  0.05],562
FRONTAL_R/TEMPORAL_R,-0.09935540632704035,0.018685531469472303,[-0.18 -0.02],-0.05548529184402208,0.1898246775463827,[-0.14  0.03],562
FRONTAL_R/PARIETAL_L,-0.058604953713133005,0.16607141658477337,[-0.14  0.02],-0.01001096155528219,0.8131384596072697,[-0.09  0.07],562
FRONTAL_R/PARIETAL_R,-0.05976837784957468,0.1578085083005684,[-0.14  0.02],-0.00870343754609284,0.8371778975503597,[-0.09  0.07],562
FRONTAL_R/OCCIPITAL_L,-0.06981633451174953,0.09884504847762215,[-0.15  0.01],-0.024162506904763556,0.5682742391545601,[-0.11  0.06],562
FRONTAL_R/OCCIPITAL_R,-0.0698881931545929,0.09849751363835545,[-0.15  0.01],-0.013468379577043431,0.7504680236641466,[-0.1   0.07],562
TEMPORAL_L/TEMPORAL_R,-0.09542176789838626,0.023933162403480025,[-0.18 -0.01],-0.05880869948105684,0.1646013919420595,[-0.14  0.02],562
TEMPORAL_L/PARIETAL_L,-0.06365120416681815,0.13247259582909957,[-0.15  0.02],0.007259659209614208,0.8638988086927731,[-0.08  0.09],562
TEMPORAL_L/PARIETAL_R,-0.07883296447514489,0.06228489949509461,[-0.16  0.  ],-0.04527311876726982,0.2848389839040077,[-0.13  0.04],562
TEMPORAL_L/OCCIPITAL_L,-0.1094901604556993,0.009513709881918499,[-0.19 -0.03],-0.07190365541698486,0.08914034382971615,[-0.15  0.01],562
TEMPORAL_L/OCCIPITAL_R,-0.10733548511287912,0.011031729026241884,[-0.19 -0.02],-0.06098006101254936,0.1495370453764743,[-0.14  0.02],562
TEMPORAL_R/PARIETAL_L,-0.09367958256191102,0.026637658281297587,[-0.18 -0.01],-0.052921545182539206,0.21114236769154865,[-0.14  0.03],562
TEMPORAL_R/PARIETAL_R,-0.040434420857887274,0.3395242772327284,[-0.12  0.04],-0.011644367044990294,0.7833549392780785,[-0.09  0.07],562
TEMPORAL_R/OCCIPITAL_L,-0.10749433786288028,0.010912896003601095,[-0.19 -0.02],-0.06801532451424032,0.10787850977689367,[-0.15  0.01],562
TEMPORAL_R/OCCIPITAL_R,-0.14871809047044834,0.00041382981823529294,[-0.23 -0.07],-0.09848195300177356,0.019754955066961937,[-0.18 -0.02],562
PARIETAL_L/PARIETAL_R,-0.0435427910081064,0.30366955666198875,[-0.13  0.04],0.01177958474831244,0.780902864424019,[-0.07  0.09],562
PARIETAL_L/OCCIPITAL_L,-0.07612929215824171,0.07183924902438166,[-0.16  0.01],-0.03594116492048957,0.39593858431718953,[-0.12  0.05],562
PARIETAL_L/OCCIPITAL_R,-0.060929159760656146,0.14987774626337855,[-0.14  0.02],-0.028436771566936116,0.5018581065604621,[-0.11  0.05],562
PARIETAL_R/OCCIPITAL_L,-0.0792675357678892,0.06085171439464438,[-0.16  0.  ],-0.04913134368168552,0.24573829741662978,[-0.13  0.03],562
PARIETAL_R/OCCIPITAL_R,-0.09126210231362238,0.030823977557586712,[-0.17 -0.01],-0.04465680053531712,0.2914537651529815,[-0.13  0.04],562
OCCIPITAL_L/OCCIPITAL_R,-0.07673367518509797,0.0696055978959972,[-0.16  0.01],-0.023737066638676575,0.575107500805057,[-0.11  0.06],562
