region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.06671429121667163,0.13128827803301046,[-0.02  0.15],0.023480408315949285,0.5956991627925073,[-0.06  0.11],515
FRONTAL_L/TEMPORAL_L,0.06692492945285128,0.13007243095462837,[-0.02  0.15],0.021053762585879356,0.6342548015162537,[-0.07  0.11],515
FRONTAL_L/TEMPORAL_R,0.04737512192335073,0.2841663270219714,[-0.04  0.13],0.002887307882263115,0.9479855415761558,[-0.08  0.09],515
FRONTAL_L/PARIETAL_L,0.08342991094715198,0.05898170809729189,[-0.    0.17],0.04813166865666656,0.27653780586843324,[-0.04  0.13],515
FRONTAL_L/PARIETAL_R,0.08678081988519497,0.04947734416275593,[0.   0.17],0.07354410087467492,0.09612684935469792,[-0.01  0.16],515
FRONTAL_L/OCCIPITAL_L,0.04855380234546447,0.2723423415851689,[-0.04  0.13],0.0025296819456408124,0.9544206377746698,[-0.08  0.09],515
FRONTAL_L/OCCIPITAL_R,0.037888278196987216,0.39179600924449165,[-0.05  0.12],-0.0021316333388736427,0.9615865635609016,[-0.09  0.08],515
FRONTAL_R/TEMPORAL_L,0.06838742958860446,0.12186942913239969,[-0.02  0.15],0.03747804146349756,0.3969472121325178,[-0.05  0.12],515
FRONTAL_R/TEMPORAL_R,0.07546404256217096,0.08773119332227688,[-0.01  0.16],0.015662952987799437,0.7234030157219664,[-0.07  0.1 ],515
FRONTAL_R/PARIETAL_L,0.08802140225573511,0.04630013490310461,[0.   0.17],0.030237634146769322,0.4943838067968178,[-0.06  0.12],515
FRONTAL_R/PARIETAL_R,0.08168435851974935,0.06450297689507924,[-0.    0.17],0.04776618340821154,0.28020556483779147,[-0.04  0.13],515
FRONTAL_R/OCCIPITAL_L,0.03745954165887214,0.3971804638383791,[-0.05  0.12],-0.00963061987319954,0.8277394571476575,[-0.1   0.08],515
FRONTAL_R/OCCIPITAL_R,0.06717497262922706,0.12864046253090902,[-0.02  0.15],0.015169246483560748,0.7317808959425418,[-0.07  0.1 ],515
TEMPORAL_L/TEMPORAL_R,0.039622166190582994,0.37047448023547636,[-0.05  0.13],-0.0004709335623549282,0.991510355383055,[-0.09  0.09],515
TEMPORAL_L/PARIETAL_L,0.09968743703284773,0.02394627492088964,[0.01 0.18],0.031868892521833246,0.4713792338762952,[-0.05  0.12],515
TEMPORAL_L/PARIETAL_R,0.05263455528733308,0.23402144685355783,[-0.03  0.14],0.0261174589601002,0.5550531224592969,[-0.06  0.11],515
TEMPORAL_L/OCCIPITAL_L,0.06670767190298887,0.1313266279653221,[-0.02  0.15],0.030640750735849546,0.4886438134362756,[-0.06  0.12],515
TEMPORAL_L/OCCIPITAL_R,0.08300863225809822,0.06027707677950675,[-0.    0.17],0.033930679198290174,0.4431652564264592,[-0.05  0.12],515
TEMPORAL_R/PARIETAL_L,0.05307385256476647,0.23013548971168699,[-0.03  0.14],0.007392844536869479,0.8673400873350634,[-0.08  0.09],515
TEMPORAL_R/PARIETAL_R,0.07827076015019509,0.0765295547485779,[-0.01  0.16],0.061688862458651475,0.16297280120915927,[-0.03  0.15],515
TEMPORAL_R/OCCIPITAL_L,0.029991999458719425,0.49789895725685307,[-0.06  0.12],-0.024560118847103758,0.5788938064589189,[-0.11  0.06],515
TEMPORAL_R/OCCIPITAL_R,0.03164927731544582,0.47444162826078906,[-0.06  0.12],-0.0019418907471438877,0.9650035560273535,[-0.09  0.08],515
PARIETAL_L/PARIETAL_R,0.06849569651525837,0.1212785790136908,[-0.02  0.15],0.022521793971517774,0.6108029344402979,[-0.06  0.11],515
PARIETAL_L/OCCIPITAL_L,0.07775439910933195,0.07849822284296605,[-0.01  0.16],0.03887671940666002,0.3795516802892134,[-0.05  0.13],515
PARIETAL_L/OCCIPITAL_R,0.06665114372949715,0.1316544847779441,[-0.02  0.15],-0.0037983320723997444,0.9316088846534252,[-0.09  0.08],515
PARIETAL_R/OCCIPITAL_L,0.06278537382960005,0.15561064181658524,[-0.02  0.15],0.03319474948431701,0.4531238318398555,[-0.05  0.12],515
PARIETAL_R/OCCIPITAL_R,0.04643469898369921,0.2938452055921537,[-0.04  0.13],0.02514264159174702,0.569920208344951,[-0.06  0.11],515
OCCIPITAL_L/OCCIPITAL_R,0.05091863222019577,0.2496436682144371,[-0.04  0.14],0.053927704807655026,0.2227138072950462,[-0.03  0.14],515
