region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.06925521067329665,0.09227595188837384,[-0.15  0.01],-0.060784960884924875,0.13962143200161675,[-0.14  0.02],594
FRONTAL_L/TEMPORAL_L,-0.04842640800132177,0.23940896872590436,[-0.13  0.03],-0.04497346259579802,0.27461705724457103,[-0.13  0.04],594
FRONTAL_L/TEMPORAL_R,-0.056508000018383193,0.16972425275191694,[-0.14  0.02],-0.03392667470528184,0.4099599183533563,[-0.11  0.05],594
FRONTAL_L/PARIETAL_L,-0.05744581894711151,0.16273982821254543,[-0.14  0.02],-0.0447216582931167,0.2773159042692415,[-0.12  0.04],594
FRONTAL_L/PARIETAL_R,-0.07021415294221198,0.08784428317357379,[-0.15  0.01],-0.057781882422667886,0.16029033843717094,[-0.14  0.02],594
FRONTAL_L/OCCIPITAL_L,-0.10027025521610297,0.014659722823389938,[-0.18 -0.02],-0.10335667331756428,0.011862675842728149,[-0.18 -0.02],594
FRONTAL_L/OCCIPITAL_R,-0.08303754007961063,0.043423928564125434,[-0.16 -0.  ],-0.07071104194056042,0.08561622573975573,[-0.15  0.01],594
FRONTAL_R/TEMPORAL_L,-0.06439099357944121,0.11757971646632151,[-0.14  0.02],-0.06754612713255233,0.10061691088642154,[-0.15  0.01],594
FRONTAL_R/TEMPORAL_R,-0.06654221417973931,0.10578915491326472,[-0.15  0.01],-0.05860619053453825,0.15439997532466235,[-0.14  0.02],594
FRONTAL_R/PARIETAL_L,-0.07527264763981144,0.06722171121833999,[-0.15  0.01],-0.06503834745026887,0.11392819120540543,[-0.14  0.02],594
FRONTAL_R/PARIETAL_R,-0.058442751207798904,0.15555465332318558,[-0.14  0.02],-0.044405020122790885,0.28073514495654206,[-0.12  0.04],594
FRONTAL_R/OCCIPITAL_L,-0.07474489474152582,0.06916800564234438,[-0.15  0.01],-0.07441274541189563,0.07041643860245518,[-0.15  0.01],594
FRONTAL_R/OCCIPITAL_R,-0.09594860987755874,0.019544171856309252,[-0.18 -0.02],-0.0903526138113938,0.027933051626718358,[-0.17 -0.01],594
TEMPORAL_L/TEMPORAL_R,-0.07355229240345713,0.07373651250862423,[-0.15  0.01],-0.05887391200035911,0.15252260876868864,[-0.14  0.02],594
TEMPORAL_L/PARIETAL_L,-0.0675525157566606,0.10058465181053772,[-0.15  0.01],-0.06915609498725907,0.09274404226310226,[-0.15  0.01],594
TEMPORAL_L/PARIETAL_R,-0.06912442645074222,0.09289400239215137,[-0.15  0.01],-0.06264970897735912,0.12785694548548654,[-0.14  0.02],594
TEMPORAL_L/OCCIPITAL_L,-0.05866164946243137,0.15400964468460276,[-0.14  0.02],-0.05753410856636483,0.16209359439995505,[-0.14  0.02],594
TEMPORAL_L/OCCIPITAL_R,-0.08921404569307725,0.02997557642026921,[-0.17 -0.01],-0.09178108461592084,0.025540671846716087,[-0.17 -0.01],594
TEMPORAL_R/PARIETAL_L,-0.08413918497195053,0.04070740762186145,[-0.16 -0.  ],-0.06023589950513163,0.14323917198593844,[-0.14  0.02],594
TEMPORAL_R/PARIETAL_R,-0.09623123849419372,0.01918607754655636,[-0.18 -0.02],-0.10636998880292521,0.009598291151580762,[-0.19 -0.03],594
TEMPORAL_R/OCCIPITAL_L,-0.03441535782398332,0.4032451375387919,[-0.11  0.05],-0.02901055882262271,0.48111286431263023,[-0.11  0.05],594
TEMPORAL_R/OCCIPITAL_R,-0.04504960384404509,0.2738045076720581,[-0.13  0.04],-0.029009252606937652,0.48113262023358816,[-0.11  0.05],594
PARIETAL_L/PARIETAL_R,-0.06863942097404079,0.0952149931544342,[-0.15  0.01],-0.052330860047122264,0.20357039292993276,[-0.13  0.03],594
PARIETAL_L/OCCIPITAL_L,-0.06100705189539097,0.13817816982336267,[-0.14  0.02],-0.052370652243055045,0.20322638180117863,[-0.13  0.03],594
PARIETAL_L/OCCIPITAL_R,-0.0828951135331083,0.04378604072092229,[-0.16 -0.  ],-0.09093696837614712,0.026932043084717167,[-0.17 -0.01],594
PARIETAL_R/OCCIPITAL_L,-0.06568697249433662,0.11035942086159958,[-0.15  0.01],-0.06361164752355743,0.12209659087207558,[-0.14  0.02],594
PARIETAL_R/OCCIPITAL_R,-0.06965746985041076,0.090395611452611,[-0.15  0.01],-0.05323584579661135,0.1958507235132964,[-0.13  0.03],594
OCCIPITAL_L/OCCIPITAL_R,-0.051559260359114664,0.21032480612501633,[-0.13  0.03],-0.03863904032276041,0.34799166978211915,[-0.12  0.04],594
