region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.038101536455011846,0.3764314852706824,[-0.05  0.12],0.020447049993998913,0.635117850402005,[-0.06  0.1 ],543
FRONTAL_L/TEMPORAL_L,0.040371104474122774,0.34864636459844933,[-0.04  0.12],0.016111955332117383,0.7084697972567037,[-0.07  0.1 ],543
FRONTAL_L/TEMPORAL_R,0.05835335274476539,0.17532834442931533,[-0.03  0.14],0.02185529787226147,0.6119962135613652,[-0.06  0.11],543
FRONTAL_L/PARIETAL_L,0.06386605594807329,0.13792422735370793,[-0.02  0.15],0.044631788883404286,0.30009755657847276,[-0.04  0.13],543
FRONTAL_L/PARIETAL_R,0.02125129142601916,0.6218678623029177,[-0.06  0.11],-0.003768029608497335,0.9303219922396666,[-0.09  0.08],543
FRONTAL_L/OCCIPITAL_L,0.03812664679519752,0.37611680626206645,[-0.05  0.12],0.03183940486508567,0.4598826324202713,[-0.05  0.12],543
FRONTAL_L/OCCIPITAL_R,0.04373791345334945,0.30989096348606804,[-0.04  0.13],0.045457934806488506,0.2912311507233369,[-0.04  0.13],543
FRONTAL_R/TEMPORAL_L,0.027962791722956674,0.5163251285931949,[-0.06  0.11],0.0077298033486775395,0.8576413250539393,[-0.08  0.09],543
FRONTAL_R/TEMPORAL_R,0.04735433794643311,0.2715486902271185,[-0.04  0.13],0.032981505230747006,0.44393567439165504,[-0.05  0.12],543
FRONTAL_R/PARIETAL_L,0.04577281602769222,0.2878984723262032,[-0.04  0.13],0.021949144117775307,0.6104686521219465,[-0.06  0.11],543
FRONTAL_R/PARIETAL_R,0.04539459680597484,0.291904627584891,[-0.04  0.13],0.0182705682095731,0.6715548490629942,[-0.07  0.1 ],543
FRONTAL_R/OCCIPITAL_L,0.030141414021620006,0.4841716467874604,[-0.05  0.11],0.014274208539359115,0.7404491886840354,[-0.07  0.1 ],543
FRONTAL_R/OCCIPITAL_R,0.05795559271514193,0.17829403091979804,[-0.03  0.14],0.06197817620602413,0.14997337545135406,[-0.02  0.15],543
TEMPORAL_L/TEMPORAL_R,0.050943367996720806,0.23683292090671285,[-0.03  0.13],0.040604334302439024,0.34586658869914433,[-0.04  0.12],543
TEMPORAL_L/PARIETAL_L,0.02883419601855945,0.5033333341737666,[-0.06  0.11],0.013191461365835239,0.7595062769579989,[-0.07  0.1 ],543
TEMPORAL_L/PARIETAL_R,0.049658156061341704,0.2488861046990907,[-0.03  0.13],0.01902719910322488,0.6587948265269874,[-0.07  0.1 ],543
TEMPORAL_L/OCCIPITAL_L,-0.0005674393719961456,0.9894939379904162,[-0.08  0.08],-0.03335457938951563,0.43879554263981513,[-0.12  0.05],543
TEMPORAL_L/OCCIPITAL_R,0.025782579016303143,0.54957313514295,[-0.06  0.11],0.007447061059591219,0.8627960801657,[-0.08  0.09],543
TEMPORAL_R/PARIETAL_L,0.0538984849137999,0.21069485921688783,[-0.03  0.14],0.03618048868772496,0.4009839553325498,[-0.05  0.12],543
TEMPORAL_R/PARIETAL_R,0.055657386176850614,0.1961613631513218,[-0.03  0.14],0.046047569644951526,0.28501153756000436,[-0.04  0.13],543
TEMPORAL_R/OCCIPITAL_L,0.010561860995540033,0.8063780425627796,[-0.07  0.09],9.720464321859938e-05,0.998200219043609,[-0.08  0.08],543
TEMPORAL_R/OCCIPITAL_R,0.02249605001920978,0.60160029688142,[-0.06  0.11],0.015080030928612473,0.7263678290519555,[-0.07  0.1 ],543
PARIETAL_L/PARIETAL_R,0.053458468074098285,0.21444913631298815,[-0.03  0.14],0.03652841779062898,0.3964674048243745,[-0.05  0.12],543
PARIETAL_L/OCCIPITAL_L,0.02403397590897158,0.5769785072185611,[-0.06  0.11],-0.010093125817175051,0.8148117940512747,[-0.09  0.07],543
PARIETAL_L/OCCIPITAL_R,0.033355272650903475,0.4387860228936823,[-0.05  0.12],0.005035780592910316,0.9069717172172899,[-0.08  0.09],543
PARIETAL_R/OCCIPITAL_L,0.00032266277340022937,0.9940258265895228,[-0.08  0.08],-0.03344428692137638,0.4375646777121477,[-0.12  0.05],543
PARIETAL_R/OCCIPITAL_R,0.008121966110200371,0.8505017492551941,[-0.08  0.09],-0.018367494294178232,0.6699148828715612,[-0.1   0.07],543
OCCIPITAL_L/OCCIPITAL_R,0.024851774308632942,0.5640815859497939,[-0.06  0.11],-0.0019695802224882967,0.9635450992227865,[-0.09  0.08],543
