region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.02052964155613243,0.8283612908841504,[-0.2   0.16],-0.012820312511795363,0.8923110471642441,[-0.2   0.17],116
FRONTAL_L/TEMPORAL_L,-0.006156337200881364,0.9481677105678441,[-0.19  0.18],-0.018403134512939068,0.8459075569665941,[-0.2   0.17],116
FRONTAL_L/TEMPORAL_R,-0.013401267315705468,0.887462460666475,[-0.2   0.17],0.012637083326191423,0.8938410911455984,[-0.17  0.2 ],116
FRONTAL_L/PARIETAL_L,-0.002392446855291126,0.9798452968378276,[-0.19  0.18],0.0019457416109825887,0.9836078959474278,[-0.18  0.19],116
FRONTAL_L/PARIETAL_R,-0.011219001580675384,0.9056954556295691,[-0.19  0.17],0.024954624969734853,0.7921288774373217,[-0.16  0.21],116
FRONTAL_L/OCCIPITAL_L,-0.10398919406746869,0.2708737013579652,[-0.28  0.08],-0.04971144762430864,0.5994104584499493,[-0.23  0.14],116
FRONTAL_L/OCCIPITAL_R,-0.09009148337322508,0.3404618263401812,[-0.27  0.1 ],-0.07671434399671843,0.41721943640413517,[-0.26  0.11],116
FRONTAL_R/TEMPORAL_L,-0.059122249819244695,0.5320740954299215,[-0.24  0.13],-0.025611666827599452,0.7867844881881907,[-0.21  0.16],116
FRONTAL_R/TEMPORAL_R,-0.04314972035584314,0.6484992772043316,[-0.23  0.14],-0.05291404587856565,0.5760709203420451,[-0.23  0.13],116
FRONTAL_R/PARIETAL_L,-0.013896085341083247,0.8833360293066252,[-0.2   0.17],-0.004159475378608695,0.9649667442558141,[-0.19  0.18],116
FRONTAL_R/PARIETAL_R,-0.06767202245620926,0.4743635669559152,[-0.25  0.12],-0.051816989623334836,0.5840181807838953,[-0.23  0.13],116
FRONTAL_R/OCCIPITAL_L,-0.042599277907938896,0.6526905174706774,[-0.22  0.14],-0.04358475465628371,0.6451945364328132,[-0.23  0.14],116
FRONTAL_R/OCCIPITAL_R,-0.08448859960587933,0.3714561029690788,[-0.26  0.1 ],-0.08719337405721676,0.35628397408515367,[-0.27  0.1 ],116
TEMPORAL_L/TEMPORAL_R,-0.02696479368242955,0.7758095507877919,[-0.21  0.16],-0.0636578329373066,0.5010286680867848,[-0.24  0.12],116
TEMPORAL_L/PARIETAL_L,0.005125027858465472,0.956841452850044,[-0.18  0.19],0.012178961509805061,0.8976683026454718,[-0.17  0.2 ],116
TEMPORAL_L/PARIETAL_R,-0.030441156410944845,0.7478200069133766,[-0.21  0.15],-0.07455837813511586,0.43046822274671337,[-0.25  0.11],116
TEMPORAL_L/OCCIPITAL_L,-0.030391628577377056,0.7482165773146179,[-0.21  0.15],-0.02933624749022199,0.756682503085789,[-0.21  0.16],116
TEMPORAL_L/OCCIPITAL_R,-0.039385071901008435,0.6773773517259898,[-0.22  0.15],-0.028019979773125283,0.7672815754163451,[-0.21  0.16],116
TEMPORAL_R/PARIETAL_L,-0.004161026602181492,0.9649536873384439,[-0.19  0.18],-0.02645423716523991,0.7799455130964419,[-0.21  0.16],116
TEMPORAL_R/PARIETAL_R,-0.11378299364614534,0.2280487703793005,[-0.29  0.07],-0.10705939991459561,0.2569010933869846,[-0.29  0.08],116
TEMPORAL_R/OCCIPITAL_L,-0.06266200128926207,0.5077628941820705,[-0.24  0.12],-0.025718500711110245,0.7859164282088593,[-0.21  0.16],116
TEMPORAL_R/OCCIPITAL_R,-0.03821401337055768,0.6864591219686005,[-0.22  0.15],-0.012584033413161045,0.8942841541788744,[-0.2   0.17],116
PARIETAL_L/PARIETAL_R,-0.062010793219463185,0.5121918417923104,[-0.24  0.12],-0.056081958739014254,0.5534092988547841,[-0.24  0.13],116
PARIETAL_L/OCCIPITAL_L,-0.032530090759469305,0.731154999452271,[-0.22  0.15],0.004002823970893419,0.9662853534054833,[-0.18  0.19],116
PARIETAL_L/OCCIPITAL_R,0.0016771292070532422,0.985870597216834,[-0.18  0.19],0.052902004175388644,0.5761578784703563,[-0.13  0.23],116
PARIETAL_R/OCCIPITAL_L,-0.05896065067767011,0.5331976870971162,[-0.24  0.13],-0.04983039046665379,0.5985361292037894,[-0.23  0.14],116
PARIETAL_R/OCCIPITAL_R,-0.06038910457298111,0.523306904227778,[-0.24  0.12],-0.023247269263925393,0.8060610801218009,[-0.21  0.16],116
OCCIPITAL_L/OCCIPITAL_R,-0.028189217111522117,0.7659163593061863,[-0.21  0.16],0.04337834677138297,0.6467616584973817,[-0.14  0.23],116
