region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.024650051449951447,0.5556094530381886,[-0.11  0.06],-0.014511597191422228,0.7286412501050752,[-0.1   0.07],576
FRONTAL_L/TEMPORAL_L,-0.018657426016179018,0.6555506012546155,[-0.1   0.06],-0.025379190719973056,0.5439740412601787,[-0.11  0.06],576
FRONTAL_L/TEMPORAL_R,-5.647832686300393e-05,0.9989227166370298,[-0.08  0.08],0.018716632294851463,0.6545282833479296,[-0.06  0.1 ],576
FRONTAL_L/PARIETAL_L,-0.04212935131198484,0.31364910293433546,[-0.12  0.04],-0.028116109070621315,0.5014063479883772,[-0.11  0.05],576
FRONTAL_L/PARIETAL_R,-0.001987793605506182,0.962098486580776,[-0.08  0.08],0.0011613347936247312,0.9778512073249586,[-0.08  0.08],576
FRONTAL_L/OCCIPITAL_L,0.0021474049778505643,0.9590577226788437,[-0.08  0.08],0.0040828560917450275,0.9222455939854548,[-0.08  0.09],576
FRONTAL_L/OCCIPITAL_R,-0.0040269183104596346,0.9233075788940748,[-0.09  0.08],-0.008613646069156619,0.8368516428948849,[-0.09  0.07],576
FRONTAL_R/TEMPORAL_L,-0.007004556510681825,0.8670132499175063,[-0.09  0.07],-0.01806856597841844,0.6657532724853823,[-0.1   0.06],576
FRONTAL_R/TEMPORAL_R,-0.001608004743047106,0.9693359921170245,[-0.08  0.08],0.003563082229067714,0.9321186353041748,[-0.08  0.09],576
FRONTAL_R/PARIETAL_L,-0.008043353770831133,0.8475165433076918,[-0.09  0.07],0.009829545956220447,0.8142153318749685,[-0.07  0.09],576
FRONTAL_R/PARIETAL_R,-0.006349980770114054,0.8793410380806558,[-0.09  0.08],0.00037663339301954076,0.9928160842216107,[-0.08  0.08],576
FRONTAL_R/OCCIPITAL_L,-0.023953004480955505,0.566844862981364,[-0.11  0.06],-0.04314742939868754,0.30208798264600045,[-0.12  0.04],576
FRONTAL_R/OCCIPITAL_R,0.0001015172459619182,0.9980636330381437,[-0.08  0.08],0.006657633221690531,0.8735431209643282,[-0.08  0.09],576
TEMPORAL_L/TEMPORAL_R,-0.02468684839818933,0.5550193651778202,[-0.11  0.06],-0.027062240959797253,0.5175864056872426,[-0.11  0.05],576
TEMPORAL_L/PARIETAL_L,0.002554211213817134,0.9513104266952239,[-0.08  0.08],0.006226068819270977,0.8816780841624298,[-0.08  0.09],576
TEMPORAL_L/PARIETAL_R,-0.02260984481004244,0.5887959637764988,[-0.1   0.06],-0.03350417829748335,0.4230284898174588,[-0.12  0.05],576
TEMPORAL_L/OCCIPITAL_L,-0.01360698147152171,0.7449506085503443,[-0.1   0.07],-0.0032938281026046448,0.9372372802045585,[-0.09  0.08],576
TEMPORAL_L/OCCIPITAL_R,0.0013309533375222846,0.9746172886778933,[-0.08  0.08],0.01855565415744251,0.6573094055474318,[-0.06  0.1 ],576
TEMPORAL_R/PARIETAL_L,-0.03444508357506808,0.41011512892045254,[-0.12  0.05],-0.025785306071603648,0.5375461864693232,[-0.11  0.06],576
TEMPORAL_R/PARIETAL_R,0.03512017471498333,0.4009955880287519,[-0.05  0.12],0.03383117352185432,0.4185139818657275,[-0.05  0.12],576
TEMPORAL_R/OCCIPITAL_L,-0.007413274828427931,0.8593318887831148,[-0.09  0.07],0.002521592752654782,0.9519314594345707,[-0.08  0.08],576
TEMPORAL_R/OCCIPITAL_R,-0.008887527933540251,0.8317403270095147,[-0.09  0.07],0.004752864475760401,0.9095366887838587,[-0.08  0.09],576
PARIETAL_L/PARIETAL_R,-0.05147036060585015,0.21822178540338685,[-0.13  0.03],-0.047778659715957725,0.25309972247281204,[-0.13  0.03],576
PARIETAL_L/OCCIPITAL_L,-0.0499343241183592,0.232290757868407,[-0.13  0.03],-0.04076312736837689,0.3296141125197951,[-0.12  0.04],576
PARIETAL_L/OCCIPITAL_R,-0.02791805782890384,0.5044265100579363,[-0.11  0.05],-0.007816755957541865,0.851761952952971,[-0.09  0.07],576
PARIETAL_R/OCCIPITAL_L,0.0030538034865638165,0.9418024471126277,[-0.08  0.08],-0.001392491473662319,0.9734441130059307,[-0.08  0.08],576
PARIETAL_R/OCCIPITAL_R,-0.0026380900103153706,0.9497135692725551,[-0.08  0.08],-0.006102484704889375,0.8840099709856319,[-0.09  0.08],576
OCCIPITAL_L/OCCIPITAL_R,0.005137639975011208,0.9023335036894717,[-0.08  0.09],0.01755851243188063,0.6749092284179221,[-0.06  0.1 ],575
