region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.02395843443994998,0.8329275459405789,[-0.2   0.24],-0.02485239179248091,0.8267888156466383,[-0.24  0.2 ],82
FRONTAL_L/TEMPORAL_L,0.08581483828267658,0.44912842847497625,[-0.14  0.3 ],0.03542259577734468,0.7550855018264778,[-0.19  0.25],82
FRONTAL_L/TEMPORAL_R,-0.016036616490319185,0.8877218668672441,[-0.23  0.2 ],-0.05124088361035717,0.6517041903555882,[-0.27  0.17],82
FRONTAL_L/PARIETAL_L,0.1118620681367479,0.32321005852177764,[-0.11  0.32],0.08492885300116719,0.4538414553320127,[-0.14  0.3 ],82
FRONTAL_L/PARIETAL_R,0.040539723610462895,0.721063072529009,[-0.18  0.26],-0.0098340975904311,0.9310080872701634,[-0.23  0.21],82
FRONTAL_L/OCCIPITAL_L,0.08883532454749249,0.4332672054653317,[-0.13  0.3 ],0.0581914509447125,0.6081448269098054,[-0.16  0.27],82
FRONTAL_L/OCCIPITAL_R,-0.03658876329663344,0.7472881718127204,[-0.25  0.18],-0.060101686514630666,0.5964000701704795,[-0.28  0.16],82
FRONTAL_R/TEMPORAL_L,0.07755406951566593,0.494115146718509,[-0.14  0.29],0.03049309723995944,0.7883079458811708,[-0.19  0.25],82
FRONTAL_R/TEMPORAL_R,0.05968464229352596,0.598955540419595,[-0.16  0.28],-0.009195754781626172,0.9354765144057637,[-0.23  0.21],82
FRONTAL_R/PARIETAL_L,0.08806574642646883,0.43727797245758115,[-0.13  0.3 ],0.043204012713414994,0.7035561986193417,[-0.18  0.26],82
FRONTAL_R/PARIETAL_R,0.020090343528391737,0.8596001274533642,[-0.2   0.24],-0.03193764140505566,0.7785302831163112,[-0.25  0.19],82
FRONTAL_R/OCCIPITAL_L,0.03295492546766095,0.77166508165067,[-0.19  0.25],-0.02973327595258247,0.7934641986417297,[-0.25  0.19],82
FRONTAL_R/OCCIPITAL_R,0.04515830608630895,0.6908113290263467,[-0.18  0.26],-0.02293627161930248,0.8399588930935052,[-0.24  0.2 ],82
TEMPORAL_L/TEMPORAL_R,0.15398078046170308,0.17265613517295492,[-0.07  0.36],0.08737220797899764,0.44091033220181663,[-0.13  0.3 ],82
TEMPORAL_L/PARIETAL_L,0.15457425841247258,0.17098716455608068,[-0.07  0.36],0.11096367100043485,0.32713587908551356,[-0.11  0.32],82
TEMPORAL_L/PARIETAL_R,0.11641135371509262,0.30379515917382227,[-0.11  0.33],0.038604270420146386,0.733871925269551,[-0.18  0.26],82
TEMPORAL_L/OCCIPITAL_L,0.17024654562712607,0.13109157709049793,[-0.05  0.38],0.14304087997047515,0.2055914468522568,[-0.08  0.35],82
TEMPORAL_L/OCCIPITAL_R,0.17364000215784536,0.12347092679345578,[-0.05  0.38],0.14084497936061693,0.21270871712716308,[-0.08  0.35],82
TEMPORAL_R/PARIETAL_L,0.1657771905845696,0.1416675293413523,[-0.06  0.37],0.1571829405562344,0.16379141948693,[-0.06  0.36],82
TEMPORAL_R/PARIETAL_R,0.022733072096744595,0.8413581926141305,[-0.2   0.24],-0.024230882717073344,0.8310555898917678,[-0.24  0.2 ],82
TEMPORAL_R/OCCIPITAL_L,0.07154971933208967,0.5282385134453209,[-0.15  0.29],0.041437517434319275,0.7151471661859281,[-0.18  0.26],82
TEMPORAL_R/OCCIPITAL_R,0.01092090946334471,0.923405335216048,[-0.21  0.23],-0.024152789635367107,0.8315920615075104,[-0.24  0.2 ],82
PARIETAL_L/PARIETAL_R,0.08990416040068303,0.42773158337014094,[-0.13  0.3 ],0.06285291438049721,0.5796651675779487,[-0.16  0.28],82
PARIETAL_L/OCCIPITAL_L,0.14308634055019287,0.20544591709089607,[-0.08  0.35],0.07083310591533007,0.53238829747,[-0.15  0.29],82
PARIETAL_L/OCCIPITAL_R,0.07165811892090594,0.5276122002787025,[-0.15  0.29],0.021511012947054608,0.8497839178233071,[-0.2   0.24],82
PARIETAL_R/OCCIPITAL_L,0.06020271535767883,0.5957817417252167,[-0.16  0.28],0.03532550423869614,0.755735800762736,[-0.19  0.25],82
PARIETAL_R/OCCIPITAL_R,-0.032057841781115363,0.7777182089368602,[-0.25  0.19],-0.11126314683588505,0.32582386812482844,[-0.32  0.11],82
OCCIPITAL_L/OCCIPITAL_R,-0.04993002137142733,0.6600576547625454,[-0.27  0.17],-0.06214504053958377,0.583950268908277,[-0.28  0.16],82
