region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.04115464405521049,0.7170093365213714,[-0.26  0.18],0.05328491401575471,0.6387640339307101,[-0.17  0.27],82
FRONTAL_L/TEMPORAL_L,-0.07157330339551227,0.5281022173974748,[-0.29  0.15],0.04627500388302245,0.683566941581546,[-0.18  0.26],82
FRONTAL_L/TEMPORAL_R,-0.06089942506733309,0.5915254853043475,[-0.28  0.16],0.07248420783204124,0.5228514379371261,[-0.15  0.29],82
FRONTAL_L/PARIETAL_L,-0.09141855214322374,0.4199579470965519,[-0.31  0.13],0.096563115380696,0.3941656585994232,[-0.13  0.31],82
FRONTAL_L/PARIETAL_R,-0.06841427467030613,0.5465137633587198,[-0.28  0.15],0.05225015375120341,0.6453016320240124,[-0.17  0.27],82
FRONTAL_L/OCCIPITAL_L,-0.08237486111143705,0.467579388533777,[-0.3   0.14],0.016010887087846225,0.8879008397434627,[-0.2   0.23],82
FRONTAL_L/OCCIPITAL_R,0.011255439936384124,0.9210664882250101,[-0.21  0.23],0.1230957329230542,0.2766759475206295,[-0.1   0.33],82
FRONTAL_R/TEMPORAL_L,-0.1364997554733928,0.22730262750256416,[-0.35  0.09],-0.03493049347228238,0.7583832463835912,[-0.25  0.19],82
FRONTAL_R/TEMPORAL_R,-0.015281750826890853,0.892974984049971,[-0.23  0.21],0.09263324453761858,0.41378199146640304,[-0.13  0.31],82
FRONTAL_R/PARIETAL_L,-0.07819381337867727,0.49054886687794874,[-0.29  0.14],0.06050276649250076,0.5939470260582405,[-0.16  0.28],82
FRONTAL_R/PARIETAL_R,-0.025746406703164623,0.8206600539019722,[-0.24  0.2 ],0.06452674205028192,0.5695906587211537,[-0.16  0.28],82
FRONTAL_R/OCCIPITAL_L,-0.07803902437274864,0.49141049854967433,[-0.29  0.14],0.03487848299077577,0.7587320394341508,[-0.19  0.25],82
FRONTAL_R/OCCIPITAL_R,-0.09276525030997954,0.413114015067528,[-0.31  0.13],0.039129712561255935,0.7303871825797432,[-0.18  0.26],82
TEMPORAL_L/TEMPORAL_R,-0.11106618167052869,0.3266863991730099,[-0.32  0.11],-0.029701030325664436,0.7936832196111641,[-0.25  0.19],82
TEMPORAL_L/PARIETAL_L,-0.1327868954035755,0.24031577895413062,[-0.34  0.09],-0.002869055151214941,0.9798493505437402,[-0.22  0.22],82
TEMPORAL_L/PARIETAL_R,-0.06816354817988267,0.5479882981237784,[-0.28  0.15],0.02297855503259312,0.8396677776224468,[-0.2   0.24],82
TEMPORAL_L/OCCIPITAL_L,-0.1823648618110412,0.10543481860041502,[-0.39  0.04],-0.1358109634879496,0.2296787653737917,[-0.35  0.09],82
TEMPORAL_L/OCCIPITAL_R,-0.18058683271912182,0.10893332204644036,[-0.39  0.04],-0.08187060462131485,0.47031824874019945,[-0.3   0.14],82
TEMPORAL_R/PARIETAL_L,-0.12035296718487141,0.2876011863848494,[-0.33  0.1 ],-0.027159657960296166,0.8109937634070701,[-0.25  0.19],82
TEMPORAL_R/PARIETAL_R,-0.11123579088262421,0.3259435757988707,[-0.32  0.11],-0.004875153477186159,0.9657663667003162,[-0.22  0.22],82
TEMPORAL_R/OCCIPITAL_L,-0.006541463856477155,0.9540764945931132,[-0.23  0.21],0.04785420836184098,0.6733708309475275,[-0.17  0.26],82
TEMPORAL_R/OCCIPITAL_R,0.011446702711335488,0.9197295870237738,[-0.21  0.23],0.11888578305750858,0.2935610150279597,[-0.1   0.33],82
PARIETAL_L/PARIETAL_R,-0.02526542368098635,0.8239560387221402,[-0.24  0.2 ],0.09193975638886753,0.4173014668692887,[-0.13  0.31],82
PARIETAL_L/OCCIPITAL_L,-0.11820144841630553,0.2963684294703653,[-0.33  0.1 ],0.03904406766908729,0.7309548111979671,[-0.18  0.26],82
PARIETAL_L/OCCIPITAL_R,-0.059069605057035734,0.602733082332358,[-0.28  0.16],0.12383208232548812,0.27379072872660415,[-0.1   0.33],82
PARIETAL_R/OCCIPITAL_L,-0.08173266807091054,0.4710689591213352,[-0.3   0.14],-0.030964719560051424,0.7851120050033042,[-0.25  0.19],82
PARIETAL_R/OCCIPITAL_R,0.007223619711909508,0.94929353578526,[-0.21  0.23],0.11157951206549459,0.3244415137243579,[-0.11  0.32],82
OCCIPITAL_L/OCCIPITAL_R,-0.06118668584279971,0.589774583743494,[-0.28  0.16],0.03771769229152032,0.7397639019426989,[-0.18  0.26],82
