region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.021642869596088264,0.8488739786626384,[-0.2   0.24],-0.017346566758696787,0.8786175084619814,[-0.24  0.2 ],82
FRONTAL_L/TEMPORAL_L,0.09654218401079608,0.3942686549639859,[-0.13  0.31],0.03779804549415534,0.7392292711804926,[-0.18  0.26],82
FRONTAL_L/TEMPORAL_R,0.023170000349396095,0.8383499727054777,[-0.2   0.24],-0.07990278443034204,0.4810890647508388,[-0.29  0.14],82
FRONTAL_L/PARIETAL_L,0.1258884878612511,0.26584026744584244,[-0.1   0.34],0.07071372235284236,0.5330811962558168,[-0.15  0.29],82
FRONTAL_L/PARIETAL_R,0.029978874722205902,0.7917965510517093,[-0.19  0.25],-0.0037732405910637966,0.9735008701054474,[-0.22  0.22],82
FRONTAL_L/OCCIPITAL_L,0.057375103258883675,0.6131946375112929,[-0.16  0.27],0.03468341818504617,0.7600406127773518,[-0.19  0.25],82
FRONTAL_L/OCCIPITAL_R,0.055434502526924126,0.6252710801931988,[-0.17  0.27],0.02470759078672318,0.8277824580560595,[-0.2   0.24],82
FRONTAL_R/TEMPORAL_L,-0.02704260225371448,0.8117933443452803,[-0.25  0.19],-0.10692684353208708,0.34514878871390364,[-0.32  0.12],82
FRONTAL_R/TEMPORAL_R,0.11121233092300951,0.3260462572160818,[-0.11  0.32],0.03798364340971268,0.7379948664926437,[-0.18  0.26],82
FRONTAL_R/PARIETAL_L,0.06758400797027907,0.5514039635034763,[-0.15  0.28],0.033513049727126695,0.7679059449035599,[-0.19  0.25],82
FRONTAL_R/PARIETAL_R,0.0583446518858147,0.6071991768822296,[-0.16  0.27],0.013206790594756816,0.9074377231233006,[-0.21  0.23],82
FRONTAL_R/OCCIPITAL_L,-0.00929057926886596,0.934812609476624,[-0.23  0.21],-0.02969437116641977,0.7937284523999368,[-0.25  0.19],82
FRONTAL_R/OCCIPITAL_R,-0.012868829314436137,0.9097963361792702,[-0.23  0.21],-0.0508673231690672,0.6540803962974806,[-0.27  0.17],82
TEMPORAL_L/TEMPORAL_R,0.09847843258941139,0.3848087310615621,[-0.12  0.31],0.018683564607647307,0.8693413772651044,[-0.2   0.24],82
TEMPORAL_L/PARIETAL_L,0.05293174595032852,0.6409922833094576,[-0.17  0.27],0.0005430258080426794,0.9961857049892544,[-0.22  0.22],82
TEMPORAL_L/PARIETAL_R,0.11075970656519249,0.32803137530425963,[-0.11  0.32],0.050289999627388504,0.6577594976719223,[-0.17  0.27],82
TEMPORAL_L/OCCIPITAL_L,-0.004245876402180269,0.9701830225130248,[-0.22  0.22],-0.045765224801112274,0.6868705516447885,[-0.26  0.18],82
TEMPORAL_L/OCCIPITAL_R,0.0017639574993602656,0.9876101390612633,[-0.22  0.22],-0.03891361053515312,0.7318197194799629,[-0.26  0.18],82
TEMPORAL_R/PARIETAL_L,0.11458520937632813,0.3114953027945418,[-0.11  0.33],0.06691061523445711,0.5553856168115683,[-0.16  0.28],82
TEMPORAL_R/PARIETAL_R,-0.052459900979584265,0.6439742575805185,[-0.27  0.17],-0.1003031837788713,0.37601931561509405,[-0.31  0.12],82
TEMPORAL_R/OCCIPITAL_L,0.10008928982250417,0.37704326012047606,[-0.12  0.31],0.03890443191472567,0.731880584747294,[-0.18  0.26],82
TEMPORAL_R/OCCIPITAL_R,0.08767033715798818,0.43934682740721076,[-0.13  0.3 ],0.0372105445128136,0.7431410503850493,[-0.18  0.25],82
PARIETAL_L/PARIETAL_R,0.13646549087294246,0.22742042297246137,[-0.09  0.35],0.13453504290534485,0.23412598980453148,[-0.09  0.34],82
PARIETAL_L/OCCIPITAL_L,0.0874929431561762,0.4402767737767552,[-0.13  0.3 ],0.03540718152188231,0.7551887319517845,[-0.19  0.25],82
PARIETAL_L/OCCIPITAL_R,0.07958313089257552,0.48285102863936014,[-0.14  0.29],0.033553373698913,0.7676345567764484,[-0.19  0.25],82
PARIETAL_R/OCCIPITAL_L,0.00032977399686720684,0.9976836123480526,[-0.22  0.22],-0.046703177550370505,0.6807967532605284,[-0.26  0.17],82
PARIETAL_R/OCCIPITAL_R,0.0364659606064037,0.7481080875825847,[-0.18  0.25],-0.01797931918342064,0.874225337360203,[-0.24  0.2 ],82
OCCIPITAL_L/OCCIPITAL_R,-0.07120917655061505,0.5302085210289599,[-0.29  0.15],-0.07810610949038775,0.49103697200481733,[-0.29  0.14],82
