region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.1594089334458591,0.1578303270546952,[-0.37  0.06],-0.21769283829165006,0.05240501435871297,[-0.42  0.  ],82
FRONTAL_L/TEMPORAL_L,-0.1152704648800255,0.30859118186100254,[-0.33  0.11],-0.1621752531931399,0.15064873825982006,[-0.37  0.06],82
FRONTAL_L/TEMPORAL_R,-0.1350985940016999,0.23215440929873374,[-0.34  0.09],-0.23513103982368314,0.03577207710729218,[-0.43 -0.02],82
FRONTAL_L/PARIETAL_L,-0.1143518678077456,0.31248822737615917,[-0.33  0.11],-0.1363402504149469,0.22785133989495515,[-0.35  0.09],82
FRONTAL_L/PARIETAL_R,-0.14684866025950244,0.19365513680089264,[-0.36  0.08],-0.20245968133642436,0.07169408909400969,[-0.4   0.02],82
FRONTAL_L/OCCIPITAL_L,-0.09635754066896172,0.39517791552084647,[-0.31  0.13],-0.12871503592371758,0.25516897358886126,[-0.34  0.09],82
FRONTAL_L/OCCIPITAL_R,-0.09957905074308859,0.37949265529105447,[-0.31  0.12],-0.13136705356201914,0.24542563480136562,[-0.34  0.09],82
FRONTAL_R/TEMPORAL_L,-0.192025007071387,0.08793135696325077,[-0.4   0.03],-0.23840002175888006,0.03320768729126925,[-0.44 -0.02],82
FRONTAL_R/TEMPORAL_R,-0.07367496289487623,0.5160273733739813,[-0.29  0.15],-0.12479010764526643,0.2700672087848958,[-0.34  0.1 ],82
FRONTAL_R/PARIETAL_L,-0.096548297256141,0.3942385720499968,[-0.31  0.13],-0.12124635352409688,0.28401166384947213,[-0.33  0.1 ],82
FRONTAL_R/PARIETAL_R,-0.11053341754544724,0.3290267096056366,[-0.32  0.11],-0.13094922955351523,0.2469434651602655,[-0.34  0.09],82
FRONTAL_R/OCCIPITAL_L,-0.129537665507557,0.25211888593880455,[-0.34  0.09],-0.16813533429433195,0.13601002267195594,[-0.37  0.05],82
FRONTAL_R/OCCIPITAL_R,-0.12716842526869523,0.2609712663345107,[-0.34  0.1 ],-0.18692330417760888,0.09686455810063972,[-0.39  0.03],82
TEMPORAL_L/TEMPORAL_R,-0.1255108185443178,0.2672885994376001,[-0.34  0.1 ],-0.17952625847728904,0.11106260946080669,[-0.38  0.04],82
TEMPORAL_L/PARIETAL_L,-0.11705164715232486,0.3011249097044507,[-0.33  0.11],-0.12426951291671834,0.272086337496409,[-0.33  0.1 ],82
TEMPORAL_L/PARIETAL_R,-0.10308097673234448,0.3628749327805003,[-0.32  0.12],-0.1483961474584605,0.18894965218261406,[-0.36  0.07],82
TEMPORAL_L/OCCIPITAL_L,-0.12374663706927992,0.2741244885471813,[-0.33  0.1 ],-0.1407115289800471,0.21314680580413398,[-0.35  0.08],82
TEMPORAL_L/OCCIPITAL_R,-0.13166008302564422,0.24436498184143654,[-0.34  0.09],-0.12764791575335827,0.2591629114744524,[-0.34  0.09],82
TEMPORAL_R/PARIETAL_L,-0.10116102910677768,0.3719296139680055,[-0.31  0.12],-0.13286404311174593,0.24004025448632635,[-0.34  0.09],82
TEMPORAL_R/PARIETAL_R,-0.21461287678577787,0.05591672999306848,[-0.41  0.01],-0.2791742642467707,0.012148986477712028,[-0.47 -0.06],82
TEMPORAL_R/OCCIPITAL_L,-0.05727969083807234,0.6137860281307996,[-0.27  0.16],-0.10519284328270848,0.3530729380532016,[-0.32  0.12],82
TEMPORAL_R/OCCIPITAL_R,-0.06732976514168763,0.5529056388991648,[-0.28  0.15],-0.09852835939369994,0.3845666180342946,[-0.31  0.12],82
PARIETAL_L/PARIETAL_R,-0.040218458114239776,0.723184017781997,[-0.26  0.18],-0.044816031050599704,0.6930373885356326,[-0.26  0.18],82
PARIETAL_L/OCCIPITAL_L,-0.081381377653379,0.4729837580831975,[-0.3   0.14],-0.11277395476050088,0.31925622332124226,[-0.32  0.11],82
PARIETAL_L/OCCIPITAL_R,-0.08416266061258429,0.45793919820683326,[-0.3   0.14],-0.10143565371296048,0.3706261022730115,[-0.31  0.12],82
PARIETAL_R/OCCIPITAL_L,-0.13170965463186643,0.24418586443277002,[-0.34  0.09],-0.2014578055537932,0.07314012401571753,[-0.4   0.02],82
PARIETAL_R/OCCIPITAL_R,-0.10978938361846007,0.3323128637140923,[-0.32  0.11],-0.1621868727128601,0.15061909715720895,[-0.37  0.06],82
OCCIPITAL_L/OCCIPITAL_R,-0.2157504934311206,0.054597898504925156,[-0.42  0.  ],-0.220734763168135,0.0491162222605493,[-0.42 -0.  ],82
