region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.11331117236928019,0.3169415025028198,[-0.32  0.11],-0.19213316889378,0.0877492702000885,[-0.4   0.03],82
FRONTAL_L/TEMPORAL_L,-0.15296122279995839,0.1755511590692624,[-0.36  0.07],-0.15708087521531322,0.16406868003666858,[-0.36  0.06],82
FRONTAL_L/TEMPORAL_R,-0.12762140055227272,0.25926268825100685,[-0.34  0.09],-0.1531473712229512,0.1750199600347849,[-0.36  0.07],82
FRONTAL_L/PARIETAL_L,-0.18069630078591903,0.10871536103950405,[-0.39  0.04],-0.1192584870535671,0.2920394174361548,[-0.33  0.1 ],82
FRONTAL_L/PARIETAL_R,-0.12779881157816325,0.25859558669273025,[-0.34  0.09],-0.19046174300781737,0.09059656658340823,[-0.39  0.03],82
FRONTAL_L/OCCIPITAL_L,-0.12419475753586348,0.2723771063628292,[-0.33  0.1 ],-0.14703034542588145,0.19309835126676542,[-0.36  0.08],82
FRONTAL_L/OCCIPITAL_R,-0.05176454746969763,0.6483790164256158,[-0.27  0.17],-0.0921173645618788,0.4163984551563903,[-0.31  0.13],82
FRONTAL_R/TEMPORAL_L,-0.19466832710561288,0.08356620817998428,[-0.4   0.03],-0.20585529309512618,0.06696316125262496,[-0.41  0.01],82
FRONTAL_R/TEMPORAL_R,-0.0958357500803209,0.39775414017944855,[-0.31  0.13],-0.12368932672360065,0.2743485025739392,[-0.33  0.1 ],82
FRONTAL_R/PARIETAL_L,-0.1314783848281876,0.2450222864471873,[-0.34  0.09],-0.12413313219217413,0.2726169613279203,[-0.33  0.1 ],82
FRONTAL_R/PARIETAL_R,-0.09785074062710845,0.38786042656661524,[-0.31  0.12],-0.11865777507515389,0.2944944448482644,[-0.33  0.1 ],82
FRONTAL_R/OCCIPITAL_L,-0.11447246864837035,0.31197478674130075,[-0.33  0.11],-0.13203002539428427,0.24303044684037095,[-0.34  0.09],82
FRONTAL_R/OCCIPITAL_R,-0.11968221027910374,0.2903158520523447,[-0.33  0.1 ],-0.15242023778746486,0.1771016234669553,[-0.36  0.07],82
TEMPORAL_L/TEMPORAL_R,-0.18914716641683316,0.09288676156627407,[-0.39  0.03],-0.24926642229064092,0.025764723740515385,[-0.44 -0.03],82
TEMPORAL_L/PARIETAL_L,-0.18543229732478997,0.09960546724770604,[-0.39  0.04],-0.155851741840486,0.16743489746377563,[-0.36  0.07],82
TEMPORAL_L/PARIETAL_R,-0.1497975049550402,0.18476033283877483,[-0.36  0.07],-0.19641571280369122,0.08077633390101986,[-0.4   0.02],82
TEMPORAL_L/OCCIPITAL_L,-0.19684195503362084,0.08010717515042104,[-0.4   0.02],-0.22621256535936338,0.043622607064411734,[-0.42 -0.01],82
TEMPORAL_L/OCCIPITAL_R,-0.198308249851218,0.07783890513161255,[-0.4   0.02],-0.1897712837265819,0.09179383538444746,[-0.39  0.03],82
TEMPORAL_R/PARIETAL_L,-0.19877692643683442,0.07712480634516083,[-0.4   0.02],-0.21716498536011597,0.05299368318056047,[-0.42  0.  ],82
TEMPORAL_R/PARIETAL_R,-0.18000456917610258,0.11009836300443053,[-0.38  0.04],-0.24088018763918623,0.03136661510362521,[-0.44 -0.02],82
TEMPORAL_R/OCCIPITAL_L,-0.06490707443612183,0.5673129745849982,[-0.28  0.16],-0.1431806045324289,0.20514439039659768,[-0.35  0.08],82
TEMPORAL_R/OCCIPITAL_R,-0.05198984725480049,0.6469505100748532,[-0.27  0.17],-0.10066082524012682,0.374310993750573,[-0.31  0.12],82
PARIETAL_L/PARIETAL_R,-0.09863283571315308,0.38406027051184166,[-0.31  0.12],-0.09212086854150897,0.41638065128409574,[-0.31  0.13],82
PARIETAL_L/OCCIPITAL_L,-0.16044729260750143,0.15510542783778794,[-0.37  0.06],-0.11786659838795956,0.29774851545266384,[-0.33  0.1 ],82
PARIETAL_L/OCCIPITAL_R,-0.1157039214493746,0.30676328304386763,[-0.33  0.11],-0.0749394898449873,0.5088304596431699,[-0.29  0.15],82
PARIETAL_R/OCCIPITAL_L,-0.12556919859173707,0.26706436961762015,[-0.34  0.1 ],-0.22307818872762183,0.04670009251790627,[-0.42 -0.  ],82
PARIETAL_R/OCCIPITAL_R,-0.06347147782504889,0.5759325906958306,[-0.28  0.16],-0.11671787727813884,0.30251492907337346,[-0.33  0.11],82
OCCIPITAL_L/OCCIPITAL_R,-0.12543596031281312,0.2675763054092043,[-0.34  0.1 ],-0.16233442449768895,0.15024307535111123,[-0.37  0.06],82
