region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.08080592937790901,0.055995505178352785,[-0.16  0.  ],-0.036160075570023056,0.39306571511855415,[-0.12  0.05],562
FRONTAL_L/TEMPORAL_L,-0.07678191388455005,0.06942979759646256,[-0.16  0.01],-0.035059754294251566,0.40763314077850554,[-0.12  0.05],562
FRONTAL_L/TEMPORAL_R,-0.07112373588221112,0.0926728363989628,[-0.15  0.01],-0.01493813875401717,0.7242903501505575,[-0.1   0.07],562
FRONTAL_L/PARIETAL_L,-0.0800709281422255,0.058273944273789596,[-0.16  0.  ],-0.04159838716603851,0.3257928722562837,[-0.12  0.04],562
FRONTAL_L/PARIETAL_R,-0.05549873690701067,0.18971721222502938,[-0.14  0.03],-0.011821145443164361,0.7801496265063046,[-0.09  0.07],562
FRONTAL_L/OCCIPITAL_L,-0.06621642057522943,0.11753992331954241,[-0.15  0.02],-0.031259675089072396,0.46035254575286955,[-0.11  0.05],562
FRONTAL_L/OCCIPITAL_R,-0.043868986138442395,0.30005801048432507,[-0.13  0.04],-0.0002991297385564393,0.9943646800949172,[-0.08  0.08],562
FRONTAL_R/TEMPORAL_L,-0.09207657042779722,0.029354659680735116,[-0.17 -0.01],-0.038942457835846156,0.3576581785645282,[-0.12  0.04],562
FRONTAL_R/TEMPORAL_R,-0.04040784373211326,0.3398420715130859,[-0.12  0.04],-0.0011602882919906643,0.9781438170543792,[-0.08  0.08],562
FRONTAL_R/PARIETAL_L,-0.07807157603219574,0.06486299575081851,[-0.16  0.  ],-0.043369522863269956,0.30559960152378346,[-0.13  0.04],562
FRONTAL_R/PARIETAL_R,-0.04637994609305329,0.2732157173681405,[-0.13  0.04],-0.013652071754050471,0.747179882984838,[-0.1   0.07],562
FRONTAL_R/OCCIPITAL_L,-0.07658661413594048,0.07014379526935166,[-0.16  0.01],-0.04443982041666965,0.29380687324429083,[-0.13  0.04],562
FRONTAL_R/OCCIPITAL_R,-0.0655732093615839,0.12115434574824986,[-0.15  0.02],-0.027722762161964964,0.5126607650806141,[-0.11  0.06],562
TEMPORAL_L/TEMPORAL_R,-0.05474769777456763,0.19578894127710061,[-0.14  0.03],-0.01616315153374942,0.7027133819177362,[-0.1   0.07],562
TEMPORAL_L/PARIETAL_L,-0.06603268230320596,0.11856369156578803,[-0.15  0.02],-0.026630613167323545,0.5294153526533973,[-0.11  0.06],562
TEMPORAL_L/PARIETAL_R,-0.07753959215884297,0.06671592532263018,[-0.16  0.01],-0.03050315292293068,0.47128423611464076,[-0.11  0.05],562
TEMPORAL_L/OCCIPITAL_L,-0.07321279760359772,0.0834547389553209,[-0.16  0.01],-0.02817396412637497,0.505820246890236,[-0.11  0.05],562
TEMPORAL_L/OCCIPITAL_R,-0.05890914025330491,0.16388031858485722,[-0.14  0.02],0.00045575995181096525,0.991414009852783,[-0.08  0.08],562
TEMPORAL_R/PARIETAL_L,-0.0772891698047701,0.06760308933366484,[-0.16  0.01],-0.04175254367774264,0.3240016635416464,[-0.12  0.04],562
TEMPORAL_R/PARIETAL_R,-0.05477679579937659,0.19555108595529566,[-0.14  0.03],-0.0033871224191245617,0.9362570787903086,[-0.09  0.08],562
TEMPORAL_R/OCCIPITAL_L,-0.07780133177072764,0.06579891005732612,[-0.16  0.01],-0.039294491874193455,0.3533255452150893,[-0.12  0.04],562
TEMPORAL_R/OCCIPITAL_R,-0.0533902379232589,0.20712140743195218,[-0.14  0.03],-0.010286683970177913,0.8080907091487737,[-0.09  0.07],562
PARIETAL_L/PARIETAL_R,-0.07654720235685139,0.07028860725899908,[-0.16  0.01],-0.040736918100467735,0.3359205862339767,[-0.12  0.04],562
PARIETAL_L/OCCIPITAL_L,-0.10117002019578995,0.016624097906245205,[-0.18 -0.02],-0.06288148389485868,0.13722791958271036,[-0.14  0.02],562
PARIETAL_L/OCCIPITAL_R,-0.07930003889374433,0.06074562569194362,[-0.16  0.  ],-0.030389771531693394,0.47293480504558505,[-0.11  0.05],562
PARIETAL_R/OCCIPITAL_L,-0.06893251654615726,0.10319983240244542,[-0.15  0.01],-0.024371476175019134,0.5649320949661862,[-0.11  0.06],562
PARIETAL_R/OCCIPITAL_R,-0.05992634234997907,0.15671098744859313,[-0.14  0.02],-0.015932604982508005,0.7067565670566942,[-0.1   0.07],562
OCCIPITAL_L/OCCIPITAL_R,-0.05159946022437401,0.223202674256128,[-0.13  0.03],-0.01791868234777587,0.6724847761843311,[-0.1   0.07],561
