region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.05055868177928071,0.21932254577713925,[-0.13  0.03],-0.03805315036178472,0.3553556400695479,[-0.12  0.04],594
FRONTAL_L/TEMPORAL_L,-0.06526647671239234,0.11266281818674104,[-0.15  0.02],-0.05713533510500613,0.16502780534482828,[-0.14  0.02],594
FRONTAL_L/TEMPORAL_R,-0.04468956189336386,0.2776612051585435,[-0.12  0.04],-0.03195404954535308,0.4377309566594826,[-0.11  0.05],594
FRONTAL_L/PARIETAL_L,-0.06030902155438251,0.14275327463743664,[-0.14  0.02],-0.0551599671783377,0.18015306771369088,[-0.14  0.03],594
FRONTAL_L/PARIETAL_R,-0.06736217444813973,0.10154930461640398,[-0.15  0.01],-0.05058692957242951,0.219064803190701,[-0.13  0.03],594
FRONTAL_L/OCCIPITAL_L,-0.04184117013255229,0.30947081582141106,[-0.12  0.04],-0.05608577307659524,0.17294100471223675,[-0.14  0.02],594
FRONTAL_L/OCCIPITAL_R,-0.04889995473691867,0.23483996550134534,[-0.13  0.03],-0.043003821103943934,0.2962079024588466,[-0.12  0.04],594
FRONTAL_R/TEMPORAL_L,-0.050347758364218724,0.22125395008385293,[-0.13  0.03],-0.05560567401704553,0.17665364880907472,[-0.14  0.03],594
FRONTAL_R/TEMPORAL_R,-0.0493698288754986,0.23036761542539186,[-0.13  0.03],-0.04490844101190735,0.2753122411540355,[-0.13  0.04],594
FRONTAL_R/PARIETAL_L,-0.0637109697022655,0.12151353540193052,[-0.14  0.02],-0.04886585759392066,0.23516687872971234,[-0.13  0.03],594
FRONTAL_R/PARIETAL_R,-0.0731188329161414,0.07545676202708076,[-0.15  0.01],-0.07145710145694086,0.08235666796907785,[-0.15  0.01],594
FRONTAL_R/OCCIPITAL_L,-0.043762111828193596,0.28776517143224684,[-0.12  0.04],-0.042157987764111456,0.30581852801353654,[-0.12  0.04],594
FRONTAL_R/OCCIPITAL_R,-0.019427737837937574,0.6371104387099134,[-0.1   0.06],-0.01711225048176911,0.6777689931990665,[-0.1   0.06],594
TEMPORAL_L/TEMPORAL_R,-0.0633465337907417,0.12366358295844189,[-0.14  0.02],-0.05670874696553341,0.1682106407701257,[-0.14  0.02],594
TEMPORAL_L/PARIETAL_L,-0.05851789051608056,0.15502299436777542,[-0.14  0.02],-0.04849521035806625,0.2387412761082761,[-0.13  0.03],594
TEMPORAL_L/PARIETAL_R,-0.0655259664295107,0.11123695916787078,[-0.15  0.02],-0.0628212186542489,0.1268147376029641,[-0.14  0.02],594
TEMPORAL_L/OCCIPITAL_L,-0.038509588745073646,0.34961034249616274,[-0.12  0.04],-0.038278802852217755,0.3525079105963512,[-0.12  0.04],594
TEMPORAL_L/OCCIPITAL_R,-0.027446131244493188,0.505086867037077,[-0.11  0.05],-0.03108721104121754,0.4502679904111302,[-0.11  0.05],594
TEMPORAL_R/PARIETAL_L,-0.0582037279123352,0.15725507805713396,[-0.14  0.02],-0.05260315314333356,0.20122480573152088,[-0.13  0.03],594
TEMPORAL_R/PARIETAL_R,-0.04134977627769615,0.3151922670283163,[-0.12  0.04],-0.032764554670552164,0.4261920272909514,[-0.11  0.05],594
TEMPORAL_R/OCCIPITAL_L,-0.06656622438215878,0.10566304297687926,[-0.15  0.01],-0.06117998246342639,0.1370623402318412,[-0.14  0.02],594
TEMPORAL_R/OCCIPITAL_R,-0.06821410261937114,0.09728827066694058,[-0.15  0.01],-0.05835039049572436,0.15621005468623703,[-0.14  0.02],594
PARIETAL_L/PARIETAL_R,-0.06419636570242276,0.11869528232364614,[-0.14  0.02],-0.06068375662812228,0.14028293566861724,[-0.14  0.02],594
PARIETAL_L/OCCIPITAL_L,-0.05138759941723578,0.21184923785982462,[-0.13  0.03],-0.045890205349275556,0.2649428441240482,[-0.13  0.03],594
PARIETAL_L/OCCIPITAL_R,-0.043827969971134126,0.28703963291360635,[-0.12  0.04],-0.028792765014453506,0.4844129765840177,[-0.11  0.05],594
PARIETAL_R/OCCIPITAL_L,-0.05181303350575871,0.20808570836249676,[-0.13  0.03],-0.05009868626325994,0.22355029761511838,[-0.13  0.03],594
PARIETAL_R/OCCIPITAL_R,-0.057417445962810953,0.16294791463325717,[-0.14  0.02],-0.05173563179243246,0.20876680626486088,[-0.13  0.03],594
OCCIPITAL_L/OCCIPITAL_R,-0.05323814494803789,0.1962110192104138,[-0.13  0.03],-0.040885533212706826,0.32107166822963257,[-0.12  0.04],593
