region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.05618360322841239,0.19195910109841083,[-0.03  0.14],0.026462104425190563,0.5390985202310787,[-0.06  0.11],543
FRONTAL_L/TEMPORAL_L,0.04457831741499808,0.3006775450310907,[-0.04  0.13],0.019925609304110067,0.6437717090787669,[-0.06  0.1 ],543
FRONTAL_L/TEMPORAL_R,0.06273048136984301,0.14507930802873398,[-0.02  0.15],0.051026161630699576,0.23607080868983635,[-0.03  0.13],543
FRONTAL_L/PARIETAL_L,0.06903751069302189,0.10872032206872793,[-0.02  0.15],0.04630424073993466,0.2823322999237869,[-0.04  0.13],543
FRONTAL_L/PARIETAL_R,0.04482139867159144,0.2980469166058309,[-0.04  0.13],0.015221756502088292,0.7239005932707481,[-0.07  0.1 ],543
FRONTAL_L/OCCIPITAL_L,0.0523656106722435,0.22398102059521083,[-0.03  0.14],0.023644688111437457,0.5831659894887115,[-0.06  0.11],543
FRONTAL_L/OCCIPITAL_R,0.03335304374981001,0.43881663020151207,[-0.05  0.12],0.009045993730586751,0.8337284906380564,[-0.08  0.09],543
FRONTAL_R/TEMPORAL_L,0.027887423257605435,0.5174568899152352,[-0.06  0.11],0.011004990068468775,0.7984255874819106,[-0.07  0.1 ],543
FRONTAL_R/TEMPORAL_R,0.03464942116133519,0.4212223480090448,[-0.05  0.12],0.013659260936010885,0.7512540429362304,[-0.07  0.1 ],543
FRONTAL_R/PARIETAL_L,0.07406448303986152,0.08523707775250579,[-0.01  0.16],0.06199167097709245,0.14988449378394295,[-0.02  0.15],543
FRONTAL_R/PARIETAL_R,0.038103533619274224,0.3764064511799139,[-0.05  0.12],0.027883602338007143,0.5175143003702067,[-0.06  0.11],543
FRONTAL_R/OCCIPITAL_L,0.057301274312414316,0.18325334139785082,[-0.03  0.14],0.02926618071728673,0.49695728416632545,[-0.06  0.11],543
FRONTAL_R/OCCIPITAL_R,0.04450255941995537,0.3015005429235952,[-0.04  0.13],0.03437966352811441,0.4248490669959354,[-0.05  0.12],543
TEMPORAL_L/TEMPORAL_R,0.045272969454343885,0.2932008227217106,[-0.04  0.13],0.034401356265515555,0.42455675102254387,[-0.05  0.12],543
TEMPORAL_L/PARIETAL_L,0.020569478221520568,0.6330931532007604,[-0.06  0.1 ],0.005058875859763295,0.9065470142462317,[-0.08  0.09],543
TEMPORAL_L/PARIETAL_R,0.024920146597705528,0.5630096370954711,[-0.06  0.11],0.005220310339711363,0.9035791176429311,[-0.08  0.09],543
TEMPORAL_L/OCCIPITAL_L,0.040529695098390994,0.3467546481626559,[-0.04  0.12],0.01990355918798846,0.6441387284965167,[-0.06  0.1 ],543
TEMPORAL_L/OCCIPITAL_R,0.021557751357017013,0.6168505702892372,[-0.06  0.11],0.005257992525003512,0.9028865402816908,[-0.08  0.09],543
TEMPORAL_R/PARIETAL_L,0.08358192416454475,0.052019761085301035,[-0.    0.17],0.059909083448342115,0.1640809105906924,[-0.02  0.14],543
TEMPORAL_R/PARIETAL_R,0.029781266082760792,0.48941114050383927,[-0.05  0.11],0.011701930208440476,0.7859605892836098,[-0.07  0.1 ],543
TEMPORAL_R/OCCIPITAL_L,0.04502856046687451,0.29581714582261487,[-0.04  0.13],0.021516906484064676,0.6175182506202909,[-0.06  0.11],543
TEMPORAL_R/OCCIPITAL_R,0.030509797801176734,0.4788438729962774,[-0.05  0.11],0.014930333758231724,0.7289769157151262,[-0.07  0.1 ],543
PARIETAL_L/PARIETAL_R,0.06313448622090279,0.1425019279558983,[-0.02  0.15],0.04524295016710785,0.29352133311981693,[-0.04  0.13],543
PARIETAL_L/OCCIPITAL_L,0.07164830708967837,0.09595614002733843,[-0.01  0.16],0.0503313242639331,0.24252057702253338,[-0.03  0.13],543
PARIETAL_L/OCCIPITAL_R,0.05624540023692916,0.19146996766568766,[-0.03  0.14],0.030982602929701748,0.47205294683631704,[-0.05  0.11],543
PARIETAL_R/OCCIPITAL_L,0.03734057206899017,0.38604448213123366,[-0.05  0.12],0.013272511224459218,0.7580745274329375,[-0.07  0.1 ],543
PARIETAL_R/OCCIPITAL_R,0.049425961097565634,0.25110854193090076,[-0.04  0.13],0.019525570725926953,0.6504436585949878,[-0.06  0.1 ],543
OCCIPITAL_L/OCCIPITAL_R,0.04312508318883408,0.31717524731630153,[-0.04  0.13],0.028276027349338966,0.5120274794262671,[-0.06  0.11],542
