region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.04319152610122745,0.6481814014944947,[-0.14  0.23],0.07130489925467258,0.4509104575879713,[-0.11  0.25],116
FRONTAL_L/TEMPORAL_L,-0.014721614668148558,0.8764586999850308,[-0.2   0.17],-0.009281161669565437,0.9219277708777833,[-0.19  0.17],116
FRONTAL_L/TEMPORAL_R,-0.11075172933685254,0.2407614308390605,[-0.29  0.07],-0.12582598998145197,0.18221810729788404,[-0.3   0.06],116
FRONTAL_L/PARIETAL_L,-0.03437738306275376,0.7165210330029894,[-0.22  0.15],0.017434920826289297,0.853922089691501,[-0.17  0.2 ],116
FRONTAL_L/PARIETAL_R,0.022683754073806517,0.8106730180578123,[-0.16  0.21],0.029484141870697114,0.7554943790627673,[-0.16  0.21],116
FRONTAL_L/OCCIPITAL_L,-0.057303946339137275,0.5447845097166015,[-0.24  0.13],-0.022591190537668587,0.8114312042267511,[-0.21  0.16],116
FRONTAL_L/OCCIPITAL_R,-0.0032725468737143386,0.9724335849757033,[-0.19  0.18],0.037447847984662566,0.6924252325712602,[-0.15  0.22],116
FRONTAL_R/TEMPORAL_L,-0.025197744206025302,0.7901502037995026,[-0.21  0.16],0.01214339365914182,0.8979655406969567,[-0.17  0.2 ],116
FRONTAL_R/TEMPORAL_R,-0.014731958042947794,0.8763725885191965,[-0.2   0.17],-0.0020819666638047054,0.9824604301399458,[-0.19  0.18],116
FRONTAL_R/PARIETAL_L,-0.0029945463909234137,0.9747745263223565,[-0.19  0.18],-0.021613649180717797,0.8194487482390334,[-0.2   0.16],116
FRONTAL_R/PARIETAL_R,0.02112723722941235,0.823445178596067,[-0.16  0.2 ],0.03785997723749131,0.6892136244758458,[-0.15  0.22],116
FRONTAL_R/OCCIPITAL_L,-0.016822220927010082,0.8590015528337067,[-0.2   0.17],-0.052618390516677195,0.578207734970346,[-0.23  0.13],116
FRONTAL_R/OCCIPITAL_R,-0.0731221718442151,0.4394260298090422,[-0.25  0.11],-0.07251403060028205,0.44325067238315463,[-0.25  0.11],116
TEMPORAL_L/TEMPORAL_R,0.023559346454083464,0.8035098178011821,[-0.16  0.21],0.03792521395496098,0.6887057572834978,[-0.15  0.22],116
TEMPORAL_L/PARIETAL_L,0.038272968232801206,0.6860008338226847,[-0.15  0.22],0.04632622173733489,0.6245298771114772,[-0.14  0.23],116
TEMPORAL_L/PARIETAL_R,0.004265109008635964,0.9640776290570483,[-0.18  0.19],0.032124551799474876,0.7343807925795514,[-0.15  0.21],116
TEMPORAL_L/OCCIPITAL_L,-0.021404975031803265,0.8211626847436915,[-0.2   0.16],0.006678678560428799,0.9437768485097081,[-0.18  0.19],116
TEMPORAL_L/OCCIPITAL_R,-0.04489790115190984,0.6352612719847721,[-0.23  0.14],0.001851668112306193,0.9844003258311558,[-0.18  0.19],116
TEMPORAL_R/PARIETAL_L,-0.07847334820942098,0.4065879105190694,[-0.26  0.11],-0.052476380623342395,0.5792354005166696,[-0.23  0.13],116
TEMPORAL_R/PARIETAL_R,-0.01038371427835528,0.9126878712968625,[-0.19  0.17],-0.0026703379012691826,0.9775048379529017,[-0.19  0.18],116
TEMPORAL_R/OCCIPITAL_L,-0.04005742806867042,0.6721838359690409,[-0.22  0.14],-0.05278483049814573,0.5770043570307458,[-0.23  0.13],116
TEMPORAL_R/OCCIPITAL_R,-0.010249331339254738,0.9138134643903183,[-0.19  0.17],-0.018898621169785558,0.8418121148951373,[-0.2   0.17],116
PARIETAL_L/PARIETAL_R,-0.057318560908389715,0.5446817600435147,[-0.24  0.13],-0.03523407487618169,0.7097687782700617,[-0.22  0.15],116
PARIETAL_L/OCCIPITAL_L,-0.07182135419554561,0.4476297340106977,[-0.25  0.11],-0.08338319306974004,0.3777688978038022,[-0.26  0.1 ],116
PARIETAL_L/OCCIPITAL_R,-0.042833210974110934,0.6509079466821435,[-0.22  0.14],-0.0721143259990536,0.44577462906459286,[-0.25  0.11],116
PARIETAL_R/OCCIPITAL_L,0.0075847402568202825,0.9361644606000152,[-0.18  0.19],-0.015776615554938433,0.8676831305288519,[-0.2   0.17],116
PARIETAL_R/OCCIPITAL_R,0.002026799115222556,0.9829251193054908,[-0.18  0.19],0.009336732696382702,0.9214618007135083,[-0.17  0.19],116
OCCIPITAL_L/OCCIPITAL_R,-0.042241398182312116,0.6554213495394475,[-0.22  0.14],0.0027323531582279423,0.9769825573297098,[-0.18  0.19],116
