region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.016158177182477754,0.6992717256288405,[-0.07  0.1 ],0.03333502146975628,0.4253749926742013,[-0.05  0.11],576
FRONTAL_L/TEMPORAL_L,0.01858163366447907,0.6568602515911318,[-0.06  0.1 ],0.032680236367278945,0.4345291783641819,[-0.05  0.11],576
FRONTAL_L/TEMPORAL_R,0.018953714487919444,0.6504410593407491,[-0.06  0.1 ],0.04361460383418499,0.2968787191715666,[-0.04  0.13],576
FRONTAL_L/PARIETAL_L,0.02145830902338433,0.6079212917400927,[-0.06  0.1 ],0.03310439312810322,0.4285863950397354,[-0.05  0.11],576
FRONTAL_L/PARIETAL_R,0.0175012707752787,0.6756410424060523,[-0.06  0.1 ],0.04978081544548236,0.23373129290570255,[-0.03  0.13],576
FRONTAL_L/OCCIPITAL_L,0.018291769563441033,0.6618786207296166,[-0.06  0.1 ],0.03708205775193658,0.37519126435234196,[-0.04  0.12],576
FRONTAL_L/OCCIPITAL_R,0.02207546623958365,0.5976367832858613,[-0.06  0.1 ],0.04847608070149025,0.24623027586816287,[-0.03  0.13],576
FRONTAL_R/TEMPORAL_L,0.0067729490405567935,0.8713716436940235,[-0.08  0.09],0.025543167980389025,0.5413740818687185,[-0.06  0.11],576
FRONTAL_R/TEMPORAL_R,0.02628407614473905,0.5297042373241421,[-0.06  0.11],0.033990417421856996,0.41632573541448104,[-0.05  0.12],576
FRONTAL_R/PARIETAL_L,0.00913508009260842,0.8271264811561434,[-0.07  0.09],0.024952393629419783,0.5507700750872638,[-0.06  0.11],576
FRONTAL_R/PARIETAL_R,0.02679970915952486,0.5216585837137193,[-0.06  0.11],0.045370438649089184,0.27783849009013517,[-0.04  0.13],576
FRONTAL_R/OCCIPITAL_L,0.01756918730708821,0.6744542921434952,[-0.06  0.1 ],0.03646471396111309,0.38319852420141787,[-0.05  0.12],576
FRONTAL_R/OCCIPITAL_R,0.012819380812229459,0.7592440635936614,[-0.07  0.09],0.042569761861729456,0.30861270498407,[-0.04  0.12],576
TEMPORAL_L/TEMPORAL_R,0.01988111557082532,0.6345543898576651,[-0.06  0.1 ],0.03987687318316623,0.34024630031818326,[-0.04  0.12],576
TEMPORAL_L/PARIETAL_L,0.003961949281276466,0.9245411940751691,[-0.08  0.09],0.006088509613204925,0.8842737279947488,[-0.08  0.09],576
TEMPORAL_L/PARIETAL_R,0.018323778843283244,0.6613236995171232,[-0.06  0.1 ],0.039400171296433265,0.34605483795080116,[-0.04  0.12],576
TEMPORAL_L/OCCIPITAL_L,0.029339358701732002,0.48296619578535305,[-0.05  0.11],0.04469277419065522,0.2850864278909918,[-0.04  0.13],576
TEMPORAL_L/OCCIPITAL_R,0.029389623581812636,0.48221640534093724,[-0.05  0.11],0.04625467191548223,0.26857087075650954,[-0.04  0.13],576
TEMPORAL_R/PARIETAL_L,0.005878765307054572,0.8882338295798173,[-0.08  0.09],0.008077233404107093,0.8468821694108442,[-0.07  0.09],576
TEMPORAL_R/PARIETAL_R,0.013445156125719396,0.7478804727443289,[-0.07  0.1 ],0.03351770050675515,0.4228412398344603,[-0.05  0.12],576
TEMPORAL_R/OCCIPITAL_L,0.02327529092283242,0.5778717301562312,[-0.06  0.1 ],0.04096849826252516,0.3271812920048286,[-0.04  0.12],576
TEMPORAL_R/OCCIPITAL_R,0.019482095817271956,0.6413697110192524,[-0.06  0.1 ],0.036605021000211894,0.38136956380509845,[-0.05  0.12],576
PARIETAL_L/PARIETAL_R,0.009773328530928646,0.815258676724311,[-0.07  0.09],0.022147668503026543,0.5964387510232595,[-0.06  0.1 ],576
PARIETAL_L/OCCIPITAL_L,0.012899977987600075,0.7577775109123193,[-0.07  0.09],0.021750147117191053,0.6030481893497259,[-0.06  0.1 ],576
PARIETAL_L/OCCIPITAL_R,0.019546519077859415,0.6402672891314839,[-0.06  0.1 ],0.04788642545444784,0.25202964374514947,[-0.03  0.13],576
PARIETAL_R/OCCIPITAL_L,0.021799151374138237,0.6022316398049521,[-0.06  0.1 ],0.03769856320281384,0.3672986117829906,[-0.04  0.12],576
PARIETAL_R/OCCIPITAL_R,0.01758598524541397,0.6741608951143812,[-0.06  0.1 ],0.03929126494662004,0.3473906346113286,[-0.04  0.12],576
OCCIPITAL_L/OCCIPITAL_R,0.020560988349963994,0.6230131659657268,[-0.06  0.1 ],0.01846096170715768,0.6589475665978356,[-0.06  0.1 ],576
