region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.0973978116699967,0.3900714202456096,[-0.12  0.31],0.06992701365048011,0.537658385671339,[-0.15  0.29],82
FRONTAL_L/TEMPORAL_L,0.11660106968322577,0.30300237350376563,[-0.11  0.33],0.11123814373659241,0.3259332787780671,[-0.11  0.32],82
FRONTAL_L/TEMPORAL_R,0.11773782987219003,0.29828035474960335,[-0.1   0.33],0.08119356246069154,0.474009213791281,[-0.14  0.3 ],82
FRONTAL_L/PARIETAL_L,0.09052272924224125,0.4245464832303363,[-0.13  0.3 ],0.07339497154332708,0.517627884233492,[-0.15  0.29],82
FRONTAL_L/PARIETAL_R,0.11337288582955983,0.31667628941716125,[-0.11  0.32],0.06381950599573245,0.5738373994347443,[-0.16  0.28],82
FRONTAL_L/OCCIPITAL_L,0.10106618924227194,0.37238042019324924,[-0.12  0.31],0.0874774651229902,0.4403579662058651,[-0.13  0.3 ],82
FRONTAL_L/OCCIPITAL_R,0.11216264998866828,0.3219033265298262,[-0.11  0.32],0.10617698803008253,0.3485617810843321,[-0.12  0.32],82
FRONTAL_R/TEMPORAL_L,0.10853530575448893,0.3378985901865791,[-0.11  0.32],0.07141762052173094,0.5290022581745062,[-0.15  0.29],82
FRONTAL_R/TEMPORAL_R,0.11878343824372332,0.29397975801817616,[-0.1   0.33],0.08547975431274545,0.4509077086428116,[-0.14  0.3 ],82
FRONTAL_R/PARIETAL_L,0.07861143348196947,0.48822816696181415,[-0.14  0.29],0.051066871577447666,0.6528106456327524,[-0.17  0.27],82
FRONTAL_R/PARIETAL_R,0.14264715067346173,0.20685493870356303,[-0.08  0.35],0.12243084860391258,0.2792985451995255,[-0.1   0.33],82
FRONTAL_R/OCCIPITAL_L,0.10210376503356608,0.36746653167803556,[-0.12  0.31],0.09124203328874995,0.4208598346840151,[-0.13  0.3 ],82
FRONTAL_R/OCCIPITAL_R,0.11813890462392061,0.29662588472497886,[-0.1   0.33],0.09528575629569612,0.40048032924274723,[-0.13  0.31],82
TEMPORAL_L/TEMPORAL_R,0.11896160837092751,0.29325102953944693,[-0.1   0.33],0.08028292249954902,0.478998180774856,[-0.14  0.29],82
TEMPORAL_L/PARIETAL_L,0.1096118307700858,0.3331001184887056,[-0.11  0.32],0.08999117429356596,0.42728271341481805,[-0.13  0.3 ],82
TEMPORAL_L/PARIETAL_R,0.12707145735951206,0.2613380097064856,[-0.1   0.34],0.10849855059828915,0.33806318648431144,[-0.11  0.32],82
TEMPORAL_L/OCCIPITAL_L,0.15625348595509123,0.16632909360975145,[-0.07  0.36],0.17730078173095964,0.11563524502769941,[-0.04  0.38],82
TEMPORAL_L/OCCIPITAL_R,0.14096365530885874,0.21231966568014138,[-0.08  0.35],0.15070270719057777,0.1820903337940708,[-0.07  0.36],82
TEMPORAL_R/PARIETAL_L,0.07767496801638238,0.493440152200317,[-0.14  0.29],0.03741604894624941,0.7417719872762014,[-0.18  0.26],82
TEMPORAL_R/PARIETAL_R,0.11472471552721294,0.31090264607418605,[-0.11  0.33],0.06667762519857115,0.5567664453755876,[-0.16  0.28],82
TEMPORAL_R/OCCIPITAL_L,0.10796273578629972,0.34046839468009915,[-0.11  0.32],0.04397778558025315,0.6985000529351113,[-0.18  0.26],82
TEMPORAL_R/OCCIPITAL_R,0.10898042445560312,0.33590927614881483,[-0.11  0.32],0.057818940194865484,0.610446871843066,[-0.16  0.27],82
PARIETAL_L/PARIETAL_R,0.0974258941731546,0.38993411611365647,[-0.12  0.31],0.048679570865821434,0.6680650761682939,[-0.17  0.27],82
PARIETAL_L/OCCIPITAL_L,0.10051338532446191,0.3750146890237931,[-0.12  0.31],0.0590476324053998,0.6028682321508484,[-0.16  0.28],82
PARIETAL_L/OCCIPITAL_R,0.0740660906049623,0.5137957969132724,[-0.15  0.29],0.052332510267141946,0.644780310649885,[-0.17  0.27],82
PARIETAL_R/OCCIPITAL_L,0.11912102821661254,0.2925999995764812,[-0.1   0.33],0.10171569295745536,0.3692997581970492,[-0.12  0.31],82
PARIETAL_R/OCCIPITAL_R,0.0999855516309817,0.37754047797050416,[-0.12  0.31],0.07002069518073428,0.5371123189743552,[-0.15  0.29],82
OCCIPITAL_L/OCCIPITAL_R,0.09998606131667617,0.3775380340752508,[-0.12  0.31],0.07431491183966064,0.512378716345451,[-0.15  0.29],82
