region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,0.1587042480503105,0.15969973896541623,[-0.06  0.37],0.1505901869317024,0.18242068941053113,[-0.07  0.36],82
FRONTAL_L/TEMPORAL_L,0.16076907057702985,0.15426815781553743,[-0.06  0.37],0.17095765541754188,0.1294657374418826,[-0.05  0.38],82
FRONTAL_L/TEMPORAL_R,0.16927651736016125,0.13333436670102675,[-0.05  0.38],0.16334327236368815,0.14769090689508443,[-0.06  0.37],82
FRONTAL_L/PARIETAL_L,0.13659813300962437,0.22696466045867,[-0.09  0.35],0.13882147105050618,0.21942013411367126,[-0.08  0.35],82
FRONTAL_L/PARIETAL_R,0.16992574935431415,0.13183008861602233,[-0.05  0.38],0.17089035084097273,0.12961895761854098,[-0.05  0.38],82
FRONTAL_L/OCCIPITAL_L,0.1628666103043166,0.1488926806423424,[-0.06  0.37],0.1697703231702172,0.1321890333243754,[-0.05  0.38],82
FRONTAL_L/OCCIPITAL_R,0.15357705311890626,0.17379829926310897,[-0.07  0.36],0.15932573261062372,0.15805019471813694,[-0.06  0.37],82
FRONTAL_R/TEMPORAL_L,0.1662809278163131,0.14044434764704333,[-0.06  0.37],0.1533675967850516,0.1743930375426503,[-0.07  0.36],82
FRONTAL_R/TEMPORAL_R,0.17344346683354744,0.12390281947610506,[-0.05  0.38],0.16699563862859898,0.13872256696728946,[-0.05  0.37],82
FRONTAL_R/PARIETAL_L,0.13625941505553066,0.2281297742202865,[-0.09  0.35],0.1087517130189064,0.33693050280689174,[-0.11  0.32],82
FRONTAL_R/PARIETAL_R,0.19939026020610073,0.07619821945697842,[-0.02  0.4 ],0.20450050960648422,0.06881956654640416,[-0.02  0.41],82
FRONTAL_R/OCCIPITAL_L,0.15936798753255643,0.15793850287402683,[-0.06  0.37],0.16363590268096603,0.1469567290778956,[-0.06  0.37],82
FRONTAL_R/OCCIPITAL_R,0.18147347365244257,0.10717765154578518,[-0.04  0.39],0.18511991172847375,0.1001873373178384,[-0.04  0.39],82
TEMPORAL_L/TEMPORAL_R,0.16068266838258508,0.15449264587053135,[-0.06  0.37],0.15424654632312645,0.1719072810548064,[-0.07  0.36],82
TEMPORAL_L/PARIETAL_L,0.14417221997015522,0.201991563077927,[-0.08  0.35],0.12072039265182122,0.286121296430903,[-0.1   0.33],82
TEMPORAL_L/PARIETAL_R,0.1879868340596021,0.09494588246198554,[-0.03  0.39],0.18962190897158168,0.09205448687865322,[-0.03  0.39],82
TEMPORAL_L/OCCIPITAL_L,0.19278768023386406,0.08665377684665822,[-0.03  0.4 ],0.21958606972818112,0.050337596442579034,[-0.    0.42],82
TEMPORAL_L/OCCIPITAL_R,0.19837040058652872,0.07774390666611702,[-0.02  0.4 ],0.2119082406315689,0.05915684927885627,[-0.01  0.41],82
TEMPORAL_R/PARIETAL_L,0.13795285713586986,0.22234633678097548,[-0.08  0.35],0.13215428870448243,0.24258330701559028,[-0.09  0.34],82
TEMPORAL_R/PARIETAL_R,0.15593872648020876,0.16719501341205215,[-0.07  0.36],0.1553063026631848,0.16894487786389054,[-0.07  0.36],82
TEMPORAL_R/OCCIPITAL_L,0.1713982524702899,0.12846611426002605,[-0.05  0.38],0.15675632087505295,0.16495263639742003,[-0.07  0.36],82
TEMPORAL_R/OCCIPITAL_R,0.15633648089624513,0.16610132208492523,[-0.07  0.36],0.14621363551425687,0.19561028963349522,[-0.08  0.35],82
PARIETAL_L/PARIETAL_R,0.15271648783273073,0.176251335704532,[-0.07  0.36],0.14133855804029138,0.21109394659324127,[-0.08  0.35],82
PARIETAL_L/OCCIPITAL_L,0.12675045325459747,0.2625545748207234,[-0.1   0.34],0.09817123482874467,0.386300453748763,[-0.12  0.31],82
PARIETAL_L/OCCIPITAL_R,0.11715062101914223,0.3007135259535271,[-0.11  0.33],0.09729701509021237,0.39056448355208806,[-0.13  0.31],82
PARIETAL_R/OCCIPITAL_L,0.17027977764325686,0.13101525318830928,[-0.05  0.38],0.18154622793956293,0.10703456968582228,[-0.04  0.39],82
PARIETAL_R/OCCIPITAL_R,0.15110859607321592,0.18090227392569463,[-0.07  0.36],0.1508982028199443,0.18151740047908405,[-0.07  0.36],82
OCCIPITAL_L/OCCIPITAL_R,0.11033010106728959,0.32992263422518076,[-0.11  0.32],0.09340198490344996,0.40990081541841483,[-0.13  0.31],82
