region pair,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
FRONTAL_L/FRONTAL_R,-0.1520558770260314,0.17815150473923738,[-0.36  0.07],-0.042609023377741743,0.707452874873477,[-0.26  0.18],82
FRONTAL_L/TEMPORAL_L,-0.15057804230430677,0.1824563716594113,[-0.36  0.07],-0.05473148087904458,0.6296706940382806,[-0.27  0.17],82
FRONTAL_L/TEMPORAL_R,-0.15135872773741782,0.18017294070574383,[-0.36  0.07],-0.05382473915806218,0.635364283063095,[-0.27  0.17],82
FRONTAL_L/PARIETAL_L,-0.13220332759377854,0.24240700534602677,[-0.34  0.09],-0.03922945532963141,0.7297262999765841,[-0.26  0.18],82
FRONTAL_L/PARIETAL_R,-0.14986854622321139,0.1845497667298517,[-0.36  0.07],-0.07446586339724837,0.5115199957496941,[-0.29  0.15],82
FRONTAL_L/OCCIPITAL_L,-0.16888475694839564,0.13424836086149644,[-0.37  0.05],-0.08972694484410296,0.4286465998181277,[-0.3   0.13],82
FRONTAL_L/OCCIPITAL_R,-0.14234102801826085,0.20784110957915727,[-0.35  0.08],-0.05912822319843742,0.602372598171351,[-0.28  0.16],82
FRONTAL_R/TEMPORAL_L,-0.1674283872760745,0.13768782736820337,[-0.37  0.05],-0.03952790836692271,0.7277499662290658,[-0.26  0.18],82
FRONTAL_R/TEMPORAL_R,-0.1709107581985883,0.12957248529481744,[-0.38  0.05],-0.05930954954982178,0.6012580984790672,[-0.28  0.16],82
FRONTAL_R/PARIETAL_L,-0.14889241555244856,0.18745828945105045,[-0.36  0.07],-0.035272876958114985,0.7560883583113412,[-0.25  0.19],82
FRONTAL_R/PARIETAL_R,-0.18231728584020526,0.10552727810119333,[-0.39  0.04],-0.08099737681590655,0.4750816497182887,[-0.3   0.14],82
FRONTAL_R/OCCIPITAL_L,-0.17405582614709966,0.12256094003920619,[-0.38  0.05],-0.06467808320764071,0.5686838144032538,[-0.28  0.16],82
FRONTAL_R/OCCIPITAL_R,-0.17021642919359234,0.13116077463988812,[-0.38  0.05],-0.08489693163560938,0.4540117709806524,[-0.3   0.14],82
TEMPORAL_L/TEMPORAL_R,-0.1490142816256519,0.18709336981203034,[-0.36  0.07],-0.043233847664819997,0.7033610048152968,[-0.26  0.18],82
TEMPORAL_L/PARIETAL_L,-0.1427888559471478,0.20639956616386024,[-0.35  0.08],-0.04805413206770568,0.6720841668000967,[-0.26  0.17],82
TEMPORAL_L/PARIETAL_R,-0.16970077219525298,0.13234989614656398,[-0.38  0.05],-0.0667908161579213,0.5560954078901059,[-0.28  0.16],82
TEMPORAL_L/OCCIPITAL_L,-0.1897297935351688,0.09186617529966798,[-0.39  0.03],-0.11526132059253087,0.3086298194974517,[-0.33  0.11],82
TEMPORAL_L/OCCIPITAL_R,-0.19207020326780908,0.08785523438915976,[-0.4   0.03],-0.10989037044524966,0.3318656226798907,[-0.32  0.11],82
TEMPORAL_R/PARIETAL_L,-0.134270445833873,0.23505568330467347,[-0.34  0.09],-0.038288430138926945,0.7359691793805744,[-0.26  0.18],82
TEMPORAL_R/PARIETAL_R,-0.15443818299146353,0.1713687831346386,[-0.36  0.07],-0.06775912261120186,0.5503708003655785,[-0.28  0.15],82
TEMPORAL_R/OCCIPITAL_L,-0.18839021702126896,0.09422601278067337,[-0.39  0.03],-0.09400253839907996,0.40688359386302775,[-0.31  0.13],82
TEMPORAL_R/OCCIPITAL_R,-0.15109070762409743,0.1809545152555352,[-0.36  0.07],-0.05123252482949422,0.6517573224861559,[-0.27  0.17],82
PARIETAL_L/PARIETAL_R,-0.13862402623856326,0.22008289697923333,[-0.35  0.08],-0.05474442556639404,0.6295895670800504,[-0.27  0.17],82
PARIETAL_L/OCCIPITAL_L,-0.1341533353376115,0.23546798218048967,[-0.34  0.09],-0.027505321788260508,0.8086337436008492,[-0.25  0.19],82
PARIETAL_L/OCCIPITAL_R,-0.10938737632543906,0.3340970190447433,[-0.32  0.11],0.003251514806350371,0.9771638434694935,[-0.22  0.22],82
PARIETAL_R/OCCIPITAL_L,-0.17157568286776037,0.12806522711370907,[-0.38  0.05],-0.09842679645438508,0.3850592293677795,[-0.31  0.12],82
PARIETAL_R/OCCIPITAL_R,-0.1395660007878781,0.21693361327677144,[-0.35  0.08],-0.03965197974743406,0.726928896135097,[-0.26  0.18],82
OCCIPITAL_L/OCCIPITAL_R,-0.10468759855975843,0.35540289815991966,[-0.32  0.12],0.003586393343632593,0.9748126428883296,[-0.22  0.22],82
